Freq	Ohm	Deg
20.0000	6.4818	8.1136
20.1912	6.4851	8.1531
20.3842	6.4885	8.2055
20.5790	6.4918	8.2587
20.7757	6.4951	8.3263
20.9743	6.4985	8.3946
21.1748	6.5018	8.4660
21.3772	6.5051	8.5405
21.5815	6.5085	8.6236
21.7878	6.5118	8.7101
21.9960	6.5152	8.7939
22.2063	6.5185	8.8700
22.4185	6.5219	8.9550
22.6328	6.5252	9.0334
22.8492	6.5286	9.0892
23.0676	6.5319	9.1545
23.2881	6.5353	9.2387
23.5107	6.5386	9.3115
23.7354	6.5420	9.3830
23.9622	6.5454	9.4773
24.1913	6.5487	9.5679
24.4225	6.5521	9.6492
24.6560	6.5555	9.7381
24.8916	6.5588	9.8256
25.1296	6.5622	9.9009
25.3698	6.5656	9.9828
25.6123	6.5689	10.0656
25.8571	6.5723	10.1389
26.1042	6.5757	10.2159
26.3537	6.5791	10.3042
26.6056	6.5824	10.3832
26.8599	6.5858	10.4726
27.1167	6.5892	10.5885
27.3759	6.5926	10.7089
27.6375	6.5960	10.8273
27.9017	6.5994	10.9520
28.1684	6.6028	11.0619
28.4377	6.6062	11.1514
28.7095	6.6096	11.2393
28.9839	6.6129	11.3231
29.2609	6.6170	11.4074
29.5406	6.6209	11.4993
29.8230	6.6246	11.5982
30.1080	6.6287	11.6977
30.3958	6.6324	11.7988
30.6864	6.6365	11.9031
30.9797	6.6404	12.0097
31.2758	6.6447	12.1122
31.5747	6.6483	12.2152
31.8765	6.6522	12.3292
32.1812	6.6562	12.4454
32.4888	6.6604	12.5625
32.7994	6.6646	12.6885
33.1129	6.6695	12.8206
33.4294	6.6749	12.9467
33.7489	6.6804	13.0715
34.0715	6.6862	13.1950
34.3972	6.6920	13.3151
34.7260	6.6979	13.4340
35.0579	6.7037	13.5530
35.3930	6.7095	13.6694
35.7313	6.7150	13.7871
36.0728	6.7206	13.9074
36.4176	6.7259	14.0278
36.7657	6.7312	14.1538
37.1171	6.7364	14.2874
37.4719	6.7420	14.4274
37.8301	6.7480	14.5693
38.1917	6.7542	14.7084
38.5567	6.7605	14.8450
38.9253	6.7667	14.9823
39.2973	6.7728	15.1225
39.6730	6.7789	15.2668
40.0522	6.7851	15.4222
40.4350	6.7920	15.5850
40.8215	6.7994	15.7462
41.2117	6.8072	15.9034
41.6056	6.8150	16.0613
42.0033	6.8234	16.2157
42.4048	6.8314	16.3636
42.8101	6.8392	16.5168
43.2193	6.8471	16.6742
43.6324	6.8550	16.8293
44.0494	6.8625	16.9906
44.4705	6.8703	17.1669
44.8956	6.8787	17.3463
45.3247	6.8872	17.5306
45.7579	6.8965	17.7231
46.1953	6.9066	17.9109
46.6368	6.9170	18.0876
47.0826	6.9271	18.2599
47.5327	6.9371	18.4308
47.9870	6.9466	18.6013
48.4457	6.9555	18.7823
48.9087	6.9645	18.9813
49.3762	6.9740	19.1969
49.8482	6.9844	19.4217
50.3247	6.9958	19.6548
50.8057	7.0084	19.8879
51.2913	7.0219	20.1104
51.7816	7.0356	20.3225
52.2765	7.0492	20.5308
52.7762	7.0628	20.7371
53.2807	7.0758	20.9465
53.7899	7.0887	21.1667
54.3041	7.1015	21.4044
54.8231	7.1153	21.6588
55.3472	7.1299	21.9238
55.8762	7.1458	22.1975
56.4103	7.1630	22.4782
56.9495	7.1820	22.7487
57.4938	7.2014	22.9982
58.0434	7.2206	23.2400
58.5982	7.2394	23.4808
59.1583	7.2578	23.7264
59.7237	7.2759	23.9891
60.2946	7.2945	24.2799
60.8709	7.3146	24.5884
61.4527	7.3363	24.9046
62.0401	7.3599	25.2148
62.6331	7.3841	25.5161
63.2318	7.4093	25.8072
63.8362	7.4341	26.0898
