Freq	Ohm	Deg
20.0000	6.3082	6.8021
20.1912	6.3149	6.8888
20.3842	6.3175	6.9747
20.5790	6.3252	7.0474
20.7757	6.3286	7.0378
20.9743	6.3301	7.0954
21.1748	6.3337	7.1564
21.3772	6.3356	7.1547
21.5815	6.3335	7.2535
21.7878	6.3382	7.3841
21.9960	6.3412	7.4677
22.2063	6.3470	7.5273
22.4185	6.3495	7.5588
22.6328	6.3528	7.6161
22.8492	6.3553	7.6644
23.0676	6.3577	7.7047
23.2881	6.3586	7.7606
23.5107	6.3603	7.8676
23.7354	6.3650	7.9211
23.9623	6.3659	7.9296
24.1913	6.3657	8.0124
24.4225	6.3680	8.0921
24.6560	6.3685	8.1607
24.8916	6.3700	8.2759
25.1296	6.3734	8.3852
25.3698	6.3773	8.4662
25.6123	6.3808	8.5549
25.8571	6.3858	8.6208
26.1042	6.3886	8.6723
26.3537	6.3919	8.7401
26.6056	6.3945	8.8053
26.8599	6.3971	8.8841
27.1167	6.4001	8.9665
27.3759	6.4034	9.0360
27.6375	6.4058	9.1270
27.9017	6.4104	9.2183
28.1684	6.4144	9.2657
28.4377	6.4168	9.2970
28.7095	6.4170	9.3916
28.9839	6.4212	9.4811
29.2609	6.4223	9.5496
29.5406	6.4251	9.6493
29.8230	6.4276	9.7558
30.1080	6.4322	9.8448
30.3958	6.4348	9.9250
30.6864	6.4390	10.0045
30.9797	6.4412	10.0807
31.2758	6.4445	10.1797
31.5747	6.4478	10.2531
31.8765	6.4496	10.3514
32.1812	6.4534	10.4875
32.4888	6.4589	10.5923
32.7994	6.4638	10.6542
33.1129	6.4669	10.7412
33.4294	6.4720	10.8151
33.7489	6.4743	10.8593
34.0715	6.4756	10.9420
34.3972	6.4772	11.0498
34.7260	6.4794	11.1733
35.0579	6.4828	11.2906
35.3930	6.4859	11.4075
35.7313	6.4899	11.5324
36.0728	6.4944	11.6612
36.4176	6.5003	11.7654
36.7657	6.5045	11.8525
37.1171	6.5088	11.9489
37.4719	6.5124	12.0475
37.8301	6.5161	12.1541
38.1917	6.5195	12.2675
38.5567	6.5231	12.3968
38.9253	6.5276	12.5307
39.2973	6.5326	12.6584
39.6730	6.5379	12.7811
40.0522	6.5431	12.9010
40.4350	6.5483	13.0304
40.8215	6.5545	13.1517
41.2117	6.5600	13.2594
41.6056	6.5653	13.3646
42.0033	6.5696	13.4771
42.4048	6.5742	13.5982
42.8101	6.5784	13.7239
43.2193	6.5828	13.8667
43.6324	6.5878	14.0229
44.0495	6.5941	14.1730
44.4705	6.6003	14.3103
44.8956	6.6066	14.4469
45.3247	6.6129	14.5814
45.7579	6.6189	14.7143
46.1953	6.6248	14.8472
46.6369	6.6302	14.9913
47.0826	6.6360	15.1476
47.5327	6.6421	15.3171
47.9870	6.6497	15.4826
48.4457	6.6570	15.6334
48.9087	6.6643	15.7916
49.3762	6.6721	15.9466
49.8482	6.6797	16.0801
50.3247	6.6856	16.2223
50.8057	6.6918	16.3974
51.2913	6.6990	16.5710
51.7816	6.7057	16.7475
52.2765	6.7131	16.9436
52.7762	6.7215	17.1434
53.2807	6.7307	17.3404
53.7899	6.7403	17.5378
54.3041	6.7507	17.7295
54.8231	6.7612	17.9123
55.3472	6.7717	18.0848
55.8762	6.7812	18.2569
56.4103	6.7905	18.4463
56.9495	6.8001	18.6521
57.4938	6.8105	18.8636
58.0434	6.8211	19.0814
58.5982	6.8328	19.3097
59.1583	6.8455	19.5291
59.7237	6.8582	19.7377
60.2946	6.8710	19.9465
60.8709	6.8839	20.1496
61.4528	6.8960	20.3518
62.0401	6.9077	20.5764
62.6331	6.9201	20.8174
63.2318	6.9329	21.0743
63.8362	6.9473	21.3525
64.4464	6.9635	21.6281
65.0624	6.9809	21.8878
65.6843	6.9986	22.1402
66.3121	7.0169	22.3827
66.9460	7.0347	22.6137
67.5859	7.0522	22.8220
68.2319	7.0665	23.0610
68.8841	7.0825	23.3555
69.5425	7.0996	23.6611
70.2072	7.1182	23.9874
70.8783	7.1391	24.3453
71.5558	7.1641	24.6789
72.2397	7.1891	24.9658
72.9302	7.2139	25.2562
73.6273	7.2395	25.5367
74.3311	7.2641	25.7878
