Freq	dB	Phase
20.0000	53.4377	166.6736
20.1912	53.6009	166.5307
20.3842	53.7661	166.3937
20.5790	53.9302	166.2201
20.7757	54.0918	166.0976
20.9743	54.2588	165.9542
21.1748	54.4205	165.7846
21.3772	54.5844	165.6703
21.5815	54.7498	165.5538
21.7878	54.9172	165.3781
21.9960	55.0793	165.2321
22.2063	55.2476	165.0964
22.4185	55.4122	164.9080
22.6328	55.5769	164.7557
22.8492	55.7430	164.5591
23.0676	55.9035	164.4154
23.2881	56.0721	164.2682
23.5107	56.2348	164.0701
23.7354	56.3994	163.9316
23.9623	56.5659	163.7580
24.1913	56.7304	163.5394
24.4225	56.8916	163.3553
24.6560	57.0548	163.2147
24.8916	57.2196	163.0719
25.1296	57.3859	162.9255
25.3698	57.5542	162.7188
25.6123	57.7174	162.4955
25.8571	57.8810	162.3259
26.1042	58.0463	162.1608
26.3537	58.2127	161.9369
26.6056	58.3738	161.7333
26.8599	58.5384	161.5980
27.1167	58.7064	161.3765
27.3759	58.8675	161.1570
27.6375	59.0325	160.9981
27.9017	59.1982	160.8217
28.1684	59.3660	160.5784
28.4377	59.5269	160.3502
28.7095	59.6921	160.1692
28.9839	59.8563	159.9506
29.2609	60.0200	159.7536
29.5406	60.1854	159.5689
29.8230	60.3524	159.3283
30.1080	60.5148	159.0857
30.3958	60.6787	158.8941
30.6864	60.8444	158.6862
30.9797	61.0098	158.4552
31.2758	61.1746	158.2292
31.5747	61.3402	157.9772
31.8765	61.5021	157.7659
32.1812	61.6701	157.5590
32.4888	61.8355	157.2923
32.7994	62.0002	157.0201
33.1129	62.1620	156.7938
33.4294	62.3288	156.5710
33.7489	62.4934	156.3093
34.0715	62.6587	156.0355
34.3972	62.8205	155.8041
34.7260	62.9887	155.5585
35.0579	63.1521	155.2503
35.3930	63.3143	155.0124
35.7313	63.4808	154.7623
36.0728	63.6446	154.4912
36.4176	63.8107	154.2245
36.7657	63.9753	153.9283
37.1171	64.1388	153.6570
37.4719	64.3044	153.3721
37.8301	64.4674	153.1037
38.1917	64.6351	152.8019
38.5567	64.7965	152.4968
38.9253	64.9627	152.2166
39.2973	65.1261	151.9087
39.6730	65.2910	151.6230
40.0522	65.4567	151.2998
40.4350	65.6197	150.9821
40.8215	65.7846	150.6779
41.2117	65.9491	150.3419
41.6056	66.1120	150.0208
