Freq	dB	Phase
20.0000	58.8232	176.0587
20.1912	58.9973	174.1335
20.3842	59.1735	172.2169
20.5790	59.3467	170.3648
20.7757	59.5204	168.5408
20.9743	59.6960	166.7284
21.1748	59.8681	164.9862
21.3772	60.0416	163.2624
21.5815	60.2165	161.5581
21.7878	60.3937	159.8662
21.9960	60.5635	158.2773
22.2063	60.7419	156.6435
22.4185	60.9143	155.0969
22.6328	61.0872	153.5788
22.8492	61.2609	152.0863
23.0676	61.4292	150.6712
23.2881	61.6043	149.2310
23.5107	61.7740	147.8663
23.7354	61.9448	146.5220
23.9623	62.1178	145.1921
24.1913	62.2867	143.9213
24.4225	62.4532	142.6962
24.6560	62.6209	141.4899
24.8916	62.7896	140.3022
25.1296	62.9595	139.1333
25.3698	63.1309	137.9798
25.6123	63.2960	136.8918
25.8571	63.4615	135.8252
26.1042	63.6279	134.7745
26.3537	63.7945	133.7443
26.6056	63.9553	132.7698
26.8599	64.1202	131.7901
27.1167	64.2845	130.8325
27.3759	64.4452	129.9132
27.6375	64.6056	129.0118
27.9017	64.7689	128.1104
28.1684	64.9312	127.2291
28.4377	65.0861	126.4012
28.7095	65.2460	125.5592
28.9839	65.4023	124.7481
29.2609	65.5581	123.9500
29.5406	65.7145	123.1589
29.8230	65.8714	122.3747
30.1080	66.0231	121.6247
30.3958	66.1753	120.8795
30.6864	66.3283	120.1365
30.9797	66.4790	119.4109
31.2758	66.6304	118.6868
31.5747	66.7782	117.9840
31.8765	66.9248	117.2905
32.1812	67.0745	116.5850
32.4888	67.2203	115.9005
32.7994	67.3654	115.2206
33.1129	67.5059	114.5630
33.4294	67.6508	113.8854
33.7489	67.7919	113.2258
34.0715	67.9328	112.5661
34.3972	68.0698	111.9236
34.7260	68.2107	111.2610
35.0579	68.3463	110.6215
35.3930	68.4811	109.9833
35.7313	68.6169	109.3380
36.0728	68.7503	108.7006
36.4176	68.8845	108.0566
36.7657	69.0157	107.4228
37.1171	69.1457	106.7910
37.4719	69.2763	106.1522
37.8301	69.4032	105.5270
38.1917	69.5337	104.8794
38.5567	69.6576	104.2605
38.9253	69.7847	103.6204
39.2973	69.9085	102.9916
39.6730	70.0328	102.3558
40.0522	70.1563	101.7185
40.4350	70.2775	101.0883
40.8215	70.3993	100.4495
41.2117	70.5194	99.8141
41.6056	70.6382	99.1806
42.0033	70.7576	98.5381
42.4048	70.8749	97.9020
42.8101	70.9915	97.2639
43.2193	71.1088	96.6168
43.6324	71.2237	95.9779
44.0495	71.3385	95.3337
44.4705	71.4538	94.6815
44.8956	71.5667	94.0377
45.3247	71.6802	93.3854
45.7579	71.7934	92.7293
46.1953	71.9052	92.0761
46.6369	72.0160	91.4238
47.0826	72.1279	90.7600
47.5327	72.2379	90.1019
47.9870	72.3484	89.4358
48.4457	72.4586	88.7658
48.9087	72.5663	88.1065
49.3762	72.6767	87.4252
49.8482	72.7834	86.7616
50.3247	72.8926	86.0775
50.8057	73.0003	85.3973
51.2913	73.1085	84.7088
51.7816	73.2152	84.0242
52.2765	73.3220	83.3334
52.7762	73.4278	82.6440
53.2807	73.5346	81.9428
53.7899	73.6408	81.2394
54.3041	73.7469	80.5313
54.8231	73.8521	79.8231
55.3472	73.9575	79.1078
55.8762	74.0618	78.3936
56.4103	74.1663	77.6718
56.9495	74.2718	76.9373
57.4938	74.3760	76.2043
58.0434	74.4788	75.4754
58.5982	74.5841	74.7218
59.1583	74.6867	73.9806
59.7237	74.7907	73.2220
60.2946	74.8931	72.4672
60.8709	74.9969	71.6946
61.4528	75.0992	70.9260
62.0401	75.2013	70.1503
62.6331	75.3028	69.3716
63.2318	75.4044	68.5836
63.8362	75.5051	67.7939
64.4464	75.6059	66.9943
65.0624	75.7076	66.1790
65.6843	75.8064	65.3775
66.3121	75.9071	64.5507
66.9460	76.0052	63.7365
67.5859	76.1049	62.8982
68.2319	76.2027	62.0661
68.8841	76.3012	61.2178
69.5425	76.3978	60.3752
70.2072	76.4950	59.5167
70.8783	76.5918	58.6507
71.5558	76.6871	57.7865
72.2397	76.7822	56.9134
72.9302	76.8779	56.0227
73.6273	76.9713	55.1417
74.3311	77.0644	54.2518
75.0416	77.1577	53.3466
75.7588	77.2500	52.4396
76.4830	77.3410	51.5324
77.2140	77.4321	50.6119
77.9521	77.5222	49.6883
78.6972	77.6121	48.7533
79.4494	77.7006	47.8193
80.2088	77.7885	46.8778
80.9755	77.8759	45.9284
81.7495	77.9620	44.9801
82.5309	78.0477	44.0212
83.3197	78.1327	43.0572
84.1161	78.2163	42.0940
84.9201	78.2998	41.1181
85.7318	78.3822	40.1395
86.5513	78.4635	39.1607
87.3786	78.5447	38.1685
88.2138	78.6247	37.1756
89.0570	78.7038	36.1796
89.9082	78.7826	35.1723
90.7676	78.8602	34.1654
91.6352	78.9372	33.1499
92.5111	79.0131	32.1354
93.3953	79.0880	31.1191
94.2881	79.1630	30.0859
95.1893	79.2364	29.0588
96.0992	79.3093	28.0235
97.0177	79.3814	26.9844
97.9450	79.4525	25.9448
98.8812	79.5234	24.8919
99.8264	79.5927	23.8485
100.7806	79.6617	22.7928
101.7439	79.7300	21.7329
102.7164	79.7978	20.6658
103.6982	79.8644	19.6013
104.6894	79.9306	18.5272
105.6900	79.9960	17.4514
106.7003	80.0605	16.3736
107.7202	80.1242	15.2951
108.7498	80.1877	14.2040
109.7893	80.2500	13.1181
110.8387	80.3119	12.0224
111.8981	80.3732	10.9220
112.9677	80.4338	9.8190
114.0475	80.4937	8.7133
115.1376	80.5530	7.6039
116.2381	80.6120	6.4833
117.3492	80.6700	5.3651
118.4708	80.7276	4.2405
119.6032	80.7845	3.1132
120.7465	80.8407	1.9834
121.9006	80.8964	0.8482
123.0658	80.9518	-0.2968
124.2421	81.0062	-1.4364
125.4296	81.0603	-2.5860
126.6286	81.1139	-3.7426
127.8389	81.1671	-4.9045
129.0609	81.2193	-6.0609
130.2945	81.2714	-7.2313
131.5399	81.3230	-8.4067
132.7972	81.3737	-9.5792
134.0665	81.4244	-10.7667
135.3480	81.4745	-11.9560
136.6417	81.5238	-13.1433
137.9478	81.5730	-14.3434
139.2663	81.6216	-15.5484
140.5975	81.6697	-16.7553
141.9414	81.7174	-17.9688
143.2981	81.7647	-19.1890
144.6678	81.8116	-20.4170
146.0506	81.8578	-21.6425
147.4466	81.9040	-22.8835
148.8560	81.9494	-24.1236
150.2788	81.9945	-25.3708
151.7152	82.0393	-26.6263
153.1654	82.0837	-27.8871
154.6294	82.1276	-29.1528
156.1074	82.1713	-30.4292
157.5996	82.2146	-31.7096
159.1060	82.2573	-32.9920
160.6268	82.2998	-34.2869
162.1621	82.3420	-35.5885
163.7121	82.3836	-36.8881
165.2770	82.4251	-38.2040
166.8567	82.4661	-39.5233
168.4516	82.5069	-40.8519
170.0618	82.5472	-42.1820
171.6873	82.5874	-43.5305
173.3283	82.6270	-44.8742
174.9851	82.6665	-46.2349
176.6577	82.7057	-47.6007
178.3462	82.7445	-48.9742
180.0509	82.7830	-50.3550
181.7719	82.8211	-51.7424
183.5094	82.8590	-53.1382
185.2634	82.8967	-54.5476
187.0343	82.9340	-55.9636
188.8220	82.9709	-57.3829
190.6269	83.0075	-58.8138
192.4489	83.0440	-60.2590
194.2884	83.0801	-61.7100
196.1455	83.1158	-63.1663
198.0204	83.1513	-64.6373
199.9131	83.1867	-66.1218
201.8240	83.2216	-67.6118
203.7531	83.2561	-69.1120
205.7007	83.2904	-70.6243
207.6668	83.3243	-72.1428
209.6518	83.3579	-73.6746
211.6557	83.3912	-75.2176
213.6788	83.4241	-76.7677
215.7213	83.4567	-78.3335
217.7832	83.4889	-79.9098
219.8649	83.5207	-81.4946
221.9664	83.5522	-83.0967
224.0881	83.5833	-84.7091
226.2300	83.6139	-86.3313
228.3924	83.6440	-87.9633
230.5755	83.6738	-89.6084
232.7794	83.7031	-91.2702
235.0044	83.7320	-92.9432
237.2507	83.7603	-94.6275
239.5184	83.7882	-96.3234
241.8078	83.8155	-98.0304
244.1191	83.8423	-99.7570
246.4525	83.8685	-101.4906
248.8082	83.8942	-103.2431
251.1864	83.9193	-105.0019
253.5874	83.9438	-106.7810
256.0113	83.9676	-108.5662
258.4583	83.9908	-110.3721
260.9288	84.0133	-112.1864
263.4228	84.0352	-114.0191
265.9407	84.0564	-115.8603
268.4827	84.0768	-117.7160
271.0490	84.0965	-119.5866
273.6398	84.1155	-121.4721
276.2553	84.1337	-123.3738
278.8959	84.1512	-125.2836
281.5617	84.1678	-127.2142
284.2530	84.1837	-129.1559
286.9700	84.1987	-131.1043
289.7130	84.2129	-133.0756
292.4822	84.2262	-135.0562
295.2778	84.2387	-137.0530
298.1002	84.2504	-139.0652
300.9496	84.2612	-141.0881
303.8262	84.2711	-143.1241
306.7303	84.2802	-145.1774
309.6621	84.2883	-147.2434
312.6220	84.2956	-149.3190
315.6102	84.3020	-151.4130
318.6269	84.3075	-153.5185
321.6725	84.3122	-155.6402
324.7472	84.3160	-157.7731
327.8512	84.3189	-159.9231
330.9850	84.3209	-162.0843
334.1487	84.3221	-164.2560
337.3426	84.3225	-166.4457
340.5671	84.3220	-168.6460
343.8223	84.3207	-170.8593
347.1087	84.3186	-173.0895
350.4265	84.3157	-175.3311
353.7761	84.3121	-177.5837
357.1576	84.3077	-179.8528
360.5715	84.3025	177.8627
364.0179	84.2966	175.5658
367.4974	84.2901	173.2564
371.0101	84.2829	170.9341
374.5563	84.2750	168.5987
378.1365	84.2665	166.2499
381.7509	84.2575	163.8875
385.3998	84.2478	161.5044
389.0836	84.2376	159.1136
392.8027	84.2269	156.7083
396.5572	84.2158	154.2880
400.3477	84.2041	151.8517
404.1744	84.1921	149.4037
408.0376	84.1797	146.9442
411.9378	84.1669	144.4617
415.8753	84.1538	141.9714
419.8504	84.1403	139.4618
423.8635	84.1266	136.9388
427.9150	84.1127	134.3988
432.0052	84.0986	131.8471
436.1344	84.0843	129.2702
440.3032	84.0698	126.6869
444.5118	84.0553	124.0837
448.7606	84.0406	121.4616
453.0501	84.0259	118.8235
457.3805	84.0111	116.1662
