Freq	Ohm	Deg
20.0000	5.9599	3.5076
20.1912	5.9614	3.6992
20.3842	5.9629	3.8743
20.5790	5.9644	4.0410
20.7757	5.9659	4.1882
20.9743	5.9674	4.3077
21.1748	5.9688	4.4041
21.3772	5.9703	4.4821
21.5815	5.9718	4.5454
21.7878	5.9733	4.6032
21.9960	5.9748	4.6634
22.2063	5.9763	4.7272
22.4185	5.9778	4.7923
22.6328	5.9793	4.8563
22.8492	5.9808	4.9187
23.0676	5.9823	4.9768
23.2881	5.9838	5.0302
23.5107	5.9853	5.0835
23.7354	5.9868	5.1394
23.9623	5.9883	5.1984
24.1913	5.9898	5.2661
24.4225	5.9913	5.3438
24.6560	5.9928	5.4276
24.8916	5.9943	5.5153
25.1296	5.9967	5.6032
25.3698	5.9997	5.6833
25.6123	6.0028	5.7532
25.8571	6.0057	5.8156
26.1042	6.0084	5.8740
26.3537	6.0107	5.9321
26.6056	6.0127	5.9957
26.8599	6.0147	6.0676
27.1167	6.0170	6.1446
27.3759	6.0196	6.2231
27.6375	6.0224	6.3008
27.9017	6.0256	6.3735
28.1684	6.0289	6.4376
28.4377	6.0319	6.4959
28.7095	6.0346	6.5521
28.9839	6.0370	6.6063
29.2609	6.0390	6.6624
29.5406	6.0408	6.7251
29.8230	6.0425	6.7926
30.1080	6.0442	6.8632
30.3958	6.0459	6.9401
30.6864	6.0480	7.0233
30.9797	6.0504	7.1078
31.2758	6.0532	7.1920
31.5747	6.0563	7.2748
31.8765	6.0598	7.3494
32.1812	6.0633	7.4104
32.4888	6.0661	7.4633
32.7994	6.0685	7.5146
33.1129	6.0702	7.5673
33.4294	6.0713	7.6277
33.7489	6.0722	7.7023
34.0715	6.0733	7.7879
34.3972	6.0748	7.8780
34.7260	6.0766	7.9702
35.0579	6.0787	8.0620
35.3930	6.0811	8.1518
35.7313	6.0836	8.2393
36.0728	6.0861	8.3273
36.4176	6.0886	8.4173
36.7657	6.0913	8.5082
37.1171	6.0942	8.5987
37.4719	6.0971	8.6895
37.8301	6.1001	8.7802
38.1917	6.1031	8.8702
38.5567	6.1062	8.9608
38.9253	6.1093	9.0527
39.2973	6.1125	9.1451
39.6730	6.1158	9.2371
40.0522	6.1192	9.3282
40.4350	6.1226	9.4176
40.8215	6.1258	9.5056
41.2117	6.1289	9.5939
41.6056	6.1319	9.6840
42.0033	6.1348	9.7770
