Freq	dB	Phase
20.0000	46.2811	-170.1780
20.1912	46.4655	-170.3062
20.3842	46.6498	-170.4356
20.5790	46.8342	-170.5662
20.7757	47.0186	-170.6982
20.9743	47.2029	-170.8314
21.1748	47.3873	-170.9659
21.3772	47.5717	-171.1017
21.5815	47.7560	-171.2389
21.7878	47.9404	-171.3774
21.9960	48.1248	-171.5172
22.2063	48.3091	-171.6584
22.4185	48.4935	-171.8010
22.6328	48.6779	-171.9450
22.8492	48.8622	-172.0904
23.0676	49.0466	-172.2372
23.2881	49.2310	-172.3854
23.5107	49.4153	-172.5351
23.7354	49.5997	-172.6863
23.9623	49.7841	-172.8389
24.1913	49.9684	-172.9931
24.4225	50.1528	-173.1487
24.6560	50.3372	-173.3059
24.8916	50.5215	-173.4647
25.1296	50.7059	-173.6250
25.3698	50.8903	-173.7869
25.6123	51.0746	-173.9504
25.8571	51.2590	-174.1154
26.1042	51.4434	-174.2822
26.3537	51.6277	-174.4506
26.6056	51.8121	-174.6206
26.8599	51.9965	-174.7923
27.1167	52.1808	-174.9657
27.3759	52.3652	-175.1409
27.6375	52.5496	-175.3178
27.9017	52.7339	-175.4964
28.1684	52.9183	-175.6769
28.4377	53.1027	-175.8591
28.7095	53.2870	-176.0431
28.9839	53.4714	-176.2290
29.2609	53.6558	-176.4167
29.5406	53.8401	-176.6063
29.8230	54.0245	-176.7978
30.1080	54.2089	-176.9913
30.3958	54.3932	-177.1866
30.6864	54.5776	-177.3840
30.9797	54.7620	-177.5833
31.2758	54.9463	-177.7846
31.5747	55.1307	-177.9879
31.8765	55.3151	-178.1933
32.1812	55.4994	-178.4008
32.4888	55.6838	-178.6104
32.7994	55.8682	-178.8220
33.1129	56.0525	-179.0359
33.4294	56.2369	-179.2519
33.7489	56.4213	-179.4701
34.0715	56.6056	-179.6905
34.3972	56.7900	-179.9132
34.7260	56.9744	179.8619
35.0579	57.1587	179.6346
35.3930	57.3431	179.4051
35.7313	57.5275	179.1731
36.0728	57.7118	178.9388
36.4176	57.8962	178.7021
36.7657	58.0806	178.4629
37.1171	58.2649	178.2213
37.4719	58.4493	177.9772
37.8301	58.6337	177.7305
38.1917	58.8180	177.4813
38.5567	59.0024	177.2295
38.9253	59.1868	176.9751
39.2973	59.3711	176.7180
39.6730	59.5555	176.4583
40.0522	59.7399	176.1958
40.4350	59.9242	175.9305
40.8215	60.1086	175.6625
41.2117	60.2930	175.3916
41.6056	60.4773	175.1179
42.0033	60.6617	174.8413
42.4048	60.8461	174.5617
42.8101	61.0304	174.2792
43.2193	61.2148	173.9937
43.6324	61.3992	173.7051
44.0495	61.5835	173.4134
44.4705	61.7679	173.1185
44.8956	61.9523	172.8205
45.3247	62.1366	172.5193
45.7579	62.3210	172.2148
46.1953	62.5054	171.9071
46.6369	62.6897	171.5959
47.0826	62.8741	171.2814
47.5327	63.0585	170.9634
47.9870	63.2428	170.6419
48.4457	63.4272	170.3168
48.9087	63.6116	169.9882
49.3762	63.7959	169.6559
49.8482	63.9803	169.3199
50.3247	64.1647	168.9801
50.8057	64.3490	168.6365
51.2913	64.5334	168.2891
51.7816	64.7178	167.9377
52.2765	64.9021	167.5823
52.7762	65.0865	167.2229
53.2807	65.2709	166.8593
53.7899	65.4552	166.4915
54.3041	65.6396	166.1195
54.8231	65.8240	165.7432
55.3472	66.0083	165.3624
55.8762	66.1927	164.9772
56.4103	66.3771	164.5875
56.9495	66.5614	164.1931
57.4938	66.7458	163.7940
58.0434	66.9302	163.3901
58.5982	67.1145	162.9813
59.1583	67.2989	162.5676
59.7237	67.4833	162.1488
60.2946	67.6676	161.7248
60.8709	67.8520	161.2956
