Freq	dB	Phase
20.0000	59.2328	173.8787
20.1737	59.4101	173.5925
20.3488	59.5881	173.2945
20.5255	59.7668	172.8888
20.7037	59.9364	172.5585
20.8835	60.1162	172.2253
21.0648	60.2877	171.7882
21.2478	60.4593	171.4258
21.4322	60.6314	171.0631
21.6183	60.8040	170.6959
21.8061	60.9779	170.2342
21.9954	61.1431	169.8280
22.1864	61.3164	169.4384
22.3790	61.4838	168.9550
22.5733	61.6499	168.5300
22.7693	61.8174	168.0424
22.9670	61.9774	167.5964
23.1665	62.1435	167.1806
23.3676	62.3056	166.6853
23.5705	62.4658	166.2253
23.7752	62.6264	165.7915
23.9816	62.7882	165.3016
24.1899	62.9451	164.7717
24.3999	63.0994	164.2926
24.6118	63.2540	163.8442
24.8255	63.4091	163.3965
25.0410	63.5645	162.9506
25.2585	63.7209	162.4637
25.4778	63.8742	161.9271
25.6990	64.0239	161.4221
25.9221	64.1739	160.9595
26.1472	64.3249	160.4738
26.3743	64.4739	159.9355
26.6033	64.6184	159.4387
26.8343	64.7653	159.0104
27.0673	64.9150	158.4770
27.3023	65.0559	157.9617
27.5394	65.2019	157.4846
27.7785	65.3430	157.0190
28.0197	65.4903	156.5427
28.2630	65.6322	155.9581
28.5084	65.7689	155.4800
28.7559	65.9116	155.0100
29.0056	66.0496	154.4866
29.2575	66.1878	154.0118
29.5115	66.3264	153.5432
29.7677	66.4659	153.0261
30.0262	66.6010	152.4989
30.2869	66.7359	152.0203
30.5499	66.8713	151.5540
30.8152	67.0078	151.0416
31.0827	67.1398	150.5626
31.3526	67.2767	150.0585
31.6249	67.4065	149.5303
31.8995	67.5384	149.0916
32.1765	67.6727	148.6043
32.4558	67.8039	148.0869
32.7377	67.9347	147.5680
33.0219	68.0622	147.0800
33.3086	68.1924	146.6187
33.5979	68.3219	146.1247
33.8896	68.4507	145.6117
34.1839	68.5769	145.1215
34.4807	68.7046	144.6641
34.7801	68.8333	144.1527
35.0821	68.9577	143.6378
35.3867	69.0827	143.1779
35.6939	69.2092	142.6956
36.0039	69.3337	142.2076
36.3165	69.4590	141.7319
36.6318	69.5839	141.2259
36.9499	69.7065	140.7326
37.2707	69.8298	140.2605
37.5944	69.9532	139.7627
37.9208	70.0745	139.2976
38.2501	70.1993	138.7945
38.5822	70.3181	138.2966
38.9172	70.4410	137.8299
39.2551	70.5611	137.3310
39.5960	70.6819	136.8644
39.9398	70.8034	136.3666
40.2866	70.9224	135.8644
40.6364	71.0417	135.3951
40.9892	71.1620	134.8983
41.3451	71.2798	134.3949
41.7041	71.3980	133.9230
42.0662	71.5171	133.4275
42.4315	71.6339	132.9229
42.7999	71.7509	132.4478
43.1716	71.8689	131.9530
43.5464	71.9849	131.4468
43.9245	72.1008	130.9675
44.3059	72.2177	130.4727
44.6906	72.3329	129.9642
45.0787	72.4477	129.4795
45.4701	72.5636	128.9833
45.8649	72.6780	128.4737
46.2632	72.7922	127.9620
46.6649	72.9049	127.4670
47.0701	73.0193	126.9709
47.4788	73.1321	126.4537
47.8910	73.2444	125.9572
48.3069	73.3577	125.4401
48.7263	73.4685	124.9178
49.1494	73.5798	124.4175
49.5762	73.6911	123.8942
50.0066	73.8005	123.3842
50.4408	73.9115	122.8782
50.8788	74.0212	122.3545
51.3206	74.1309	121.8264
51.7662	74.2392	121.2984
52.2157	74.3476	120.7671
52.6691	74.4543	120.2381
53.1264	74.5616	119.7272
53.5877	74.6692	119.1931
54.0530	74.7750	118.6558
54.5223	74.8813	118.1169
54.9958	74.9858	117.5758
55.4733	75.0907	117.0341
55.9550	75.1938	116.4897
56.4408	75.2972	115.9644
56.9309	75.4010	115.4214
57.4252	75.5034	114.8528
57.9238	75.6037	114.3163
58.4268	75.7063	113.7689
58.9341	75.8057	113.2140
59.4458	75.9067	112.6596
59.9620	76.0048	112.0996
60.4826	76.1041	111.5579
61.0078	76.2027	110.9871
61.5375	76.2996	110.4178
62.0719	76.3962	109.8535
62.6108	76.4917	109.2872
63.1545	76.5869	108.7210
63.7029	76.6811	108.1512
64.2560	76.7746	107.5941
64.8139	76.8686	107.0220
65.3767	76.9606	106.4404
65.9444	77.0522	105.8684
66.5170	77.1429	105.2923
67.0945	77.2329	104.7187
67.6771	77.3224	104.1408
68.2647	77.4107	103.5660
68.8575	77.4991	102.9810
69.4554	77.5853	102.3966
70.0585	77.6716	101.8285
70.6668	77.7576	101.2457
71.2804	77.8422	100.6534
71.8993	77.9255	100.0740
72.5236	78.0088	99.5039
73.1533	78.0919	98.9094
73.7885	78.1725	98.3153
74.4292	78.2529	97.7450
75.0755	78.3333	97.1640
75.7274	78.4125	96.5707
76.3849	78.4903	95.9880
77.0481	78.5679	95.4069
77.7172	78.6444	94.8257
78.3920	78.7206	94.2455
79.0726	78.7958	93.6549
79.7592	78.8697	93.0728
80.4518	78.9434	92.4941
81.1503	79.0161	91.9064
81.8550	79.0875	91.3262
82.5657	79.1587	90.7503
83.2826	79.2290	90.1667
84.0058	79.2980	89.5893
84.7352	79.3668	89.0170
85.4709	79.4348	88.4382
86.2131	79.5016	87.8642
86.9617	79.5681	87.2960
87.7168	79.6338	86.7225
88.4784	79.6985	86.1524
89.2467	79.7627	85.5885
90.0216	79.8264	85.0206
90.8032	79.8890	84.4550
91.5917	79.9512	83.8918
92.3870	80.0125	83.3246
93.1892	80.0727	82.7673
93.9983	80.1328	82.2154
94.8145	80.1923	81.6550
95.6378	80.2506	81.0997
96.4682	80.3087	80.5488
97.3058	80.3659	79.9967
98.1507	80.4225	79.4511
99.0030	80.4787	78.9015
99.8626	80.5337	78.3556
100.7297	80.5885	77.8169
101.6044	80.6426	77.2806
102.4866	80.6966	76.7408
103.3765	80.7493	76.2025
104.2741	80.8019	75.6722
105.1795	80.8538	75.1388
106.0928	80.9051	74.6074
107.0140	80.9558	74.0780
107.9432	81.0058	73.5561
108.8804	81.0557	73.0327
109.8259	81.1046	72.5101
110.7795	81.1533	71.9948
111.7414	81.2015	71.4781
112.7116	81.2491	70.9626
113.6903	81.2962	70.4489
114.6775	81.3428	69.9414
115.6732	81.3892	69.4339
116.6776	81.4349	68.9266
117.6907	81.4803	68.4218
118.7126	81.5250	67.9185
119.7434	81.5694	67.4179
120.7831	81.6132	66.9185
121.8319	81.6566	66.4248
122.8897	81.6998	65.9294
123.9568	81.7423	65.4341
125.0331	81.7843	64.9453
126.1188	81.8262	64.4585
127.2138	81.8677	63.9695
128.3184	81.9085	63.4812
129.4326	81.9489	62.9992
130.5565	81.9892	62.5183
131.6901	82.0289	62.0352
132.8336	82.0681	61.5577
133.9870	82.1072	61.0825
135.1504	82.1458	60.6035
136.3239	82.1838	60.1271
137.5076	82.2215	59.6576
138.7015	82.2591	59.1864
139.9059	82.2960	58.7141
141.1207	82.3326	58.2459
142.3460	82.3688	57.7791
143.5820	82.4046	57.3138
144.8287	82.4401	56.8471
146.0863	82.4750	56.3840
147.3548	82.5098	55.9227
148.6342	82.5441	55.4599
149.9248	82.5779	55.0006
151.2266	82.6114	54.5429
152.5397	82.6446	54.0841
153.8642	82.6772	53.6280
155.2002	82.7097	53.1738
156.5478	82.7417	52.7185
157.9071	82.7732	52.2637
159.2782	82.8043	51.8116
160.6612	82.8351	51.3618
162.0563	82.8655	50.9093
163.4634	82.8953	50.4596
164.8827	82.9248	50.0127
166.3144	82.9539	49.5653
167.7585	82.9827	49.1180
169.2152	83.0109	48.6729
170.6844	83.0388	48.2289
172.1665	83.0662	47.7845
173.6614	83.0932	47.3424
175.1693	83.1198	46.9012
176.6903	83.1460	46.4601
178.2245	83.1717	46.0198
179.7720	83.1970	45.5806
181.3330	83.2218	45.1424
182.9075	83.2462	44.7057
184.4957	83.2701	44.2708
186.0976	83.2937	43.8354
187.7135	83.3167	43.4001
189.3434	83.3392	42.9673
190.9875	83.3613	42.5366
192.6458	83.3830	42.1058
194.3186	83.4042	41.6749
196.0059	83.4249	41.2463
197.7078	83.4451	40.8200
199.4245	83.4649	40.3938
201.1561	83.4843	39.9676
202.9027	83.5031	39.5434
204.6645	83.5214	39.1207
206.4416	83.5393	38.6983
208.2341	83.5566	38.2779
210.0422	83.5735	37.8590
211.8660	83.5899	37.4407
213.7056	83.6057	37.0244
215.5612	83.6211	36.6097
217.4330	83.6360	36.1958
219.3209	83.6504	35.7837
221.2253	83.6644	35.3734
223.1462	83.6778	34.9641
225.0837	83.6907	34.5562
227.0381	83.7031	34.1499
229.0095	83.7150	33.7457
230.9980	83.7264	33.3435
233.0038	83.7373	32.9427
235.0269	83.7477	32.5435
237.0677	83.7576	32.1461
239.1261	83.7670	31.7506
241.2024	83.7759	31.3573
243.2968	83.7843	30.9660
245.4093	83.7922	30.5764
247.5402	83.7996	30.1890
249.6896	83.8065	29.8036
251.8577	83.8130	29.4204
254.0445	83.8189	29.0394
256.2504	83.8243	28.6607
258.4754	83.8293	28.2842
260.7197	83.8338	27.9101
