Freq	Ohm	Deg
20.0000	6.7685	22.0938
20.1737	6.7825	22.4134
20.3488	6.7939	22.7091
20.5255	6.8073	23.0160
20.7037	6.8195	23.3342
20.8835	6.8348	23.6970
21.0648	6.8527	24.0398
21.2478	6.8725	24.3270
21.4322	6.8912	24.5940
21.6183	6.9111	24.8780
21.8061	6.9325	25.0688
21.9954	6.9479	25.2211
22.1864	6.9618	25.4687
22.3790	6.9773	25.8013
22.5733	6.9979	26.0402
22.7693	7.0118	26.2555
22.9670	7.0284	26.6239
23.1665	7.0513	26.9321
23.3676	7.0717	27.1205
23.5705	7.0884	27.3648
23.7752	7.1074	27.7139
23.9816	7.1312	28.0509
24.1899	7.1563	28.2905
24.3999	7.1785	28.5024
24.6118	7.2002	28.7495
24.8255	7.2224	28.9786
25.0410	7.2423	29.2075
25.2585	7.2621	29.4761
25.4778	7.2822	29.8049
25.6990	7.3067	30.1514
25.9221	7.3326	30.4594
26.1472	7.3595	30.7773
26.3743	7.3893	31.0685
26.6033	7.4185	31.2936
26.8343	7.4454	31.4712
27.0673	7.4677	31.7222
27.3023	7.4939	32.0243
27.5394	7.5192	32.2790
27.7785	7.5432	32.5850
28.0197	7.5700	32.9735
28.2630	7.6021	33.3546
28.5084	7.6361	33.6696
28.7559	7.6697	33.9755
29.0056	7.7049	34.3071
29.2575	7.7426	34.6256
29.5115	7.7814	34.8860
29.7677	7.8183	35.0813
30.0262	7.8508	35.2874
30.2869	7.8822	35.5683
30.5499	7.9154	35.8513
30.8152	7.9463	36.1650
31.0827	7.9805	36.5889
31.3526	8.0218	37.0009
31.6249	8.0649	37.3221
31.8995	8.1065	37.6725
32.1765	8.1533	38.0656
32.4558	8.2036	38.3591
32.7377	8.2502	38.5909
33.0219	8.2952	38.8501
33.3086	8.3395	39.0997
33.5979	8.3805	39.3768
33.8896	8.4223	39.7289
34.1839	8.4667	40.1280
34.4807	8.5147	40.5845
34.7801	8.5699	41.0761
35.0821	8.6323	41.4922
35.3867	8.6951	41.8403
35.6939	8.7598	42.1757
36.0039	8.8255	42.4580
36.3165	8.8890	42.6581
36.6318	8.9453	42.8877
36.9499	9.0021	43.2037
37.2707	9.0595	43.5399
37.5944	9.1172	43.9336
37.9208	9.1792	44.4238
38.2501	9.2504	44.9597
38.5822	9.3302	45.4444
38.9172	9.4141	45.8643
39.2551	9.5012	46.2479
39.5960	9.5903	46.6036
39.9398	9.6814	46.9357
40.2866	9.7739	47.1468
40.6364	9.8555	47.3197
40.9892	9.9335	47.6452
41.3451	10.0167	48.0552
41.7041	10.1034	48.4665
42.0662	10.1927	48.9437
42.4315	10.2912	49.5344
42.7999	10.4052	50.0977
43.1716	10.5259	50.5413
43.5464	10.6491	50.9657
43.9245	10.7795	51.3848
44.3059	10.9149	51.7350
44.6906	11.0519	51.9251
45.0787	11.1753	52.0656
45.4701	11.2936	52.3526
45.8649	11.4154	52.7407
46.2632	11.5417	53.1897
46.6649	11.6754	53.7321
47.0701	11.8227	54.4347
47.4788	11.9994	55.0328
47.8910	12.1761	55.4749
48.3069	12.3626	55.9829
48.7263	12.5627	56.4837
49.1494	12.7758	56.8725
49.5762	12.9911	57.0807
50.0066	13.1959	57.2387
50.4408	13.3964	57.5040
50.8788	13.6015	57.8596
51.3206	13.8125	58.2882
51.7662	14.0347	58.8524
52.2157	14.2801	59.6313
52.6691	14.5726	60.3634
53.1264	14.8847	60.8756
53.5877	15.2138	61.3219
54.0530	15.5618	61.6597
54.5223	15.9184	61.7351
54.9958	16.2518	61.7182
55.4733	16.5766	61.9441
55.9550	16.9208	62.3624
56.4408	17.2865	62.8541
56.9309	17.6785	63.5005
57.4252	18.1188	64.4491
57.9238	18.6549	65.2119
58.4268	19.2096	65.7164
58.9341	19.8205	66.2704
59.4458	20.4827	66.7164
59.9620	21.2003	66.9724
60.4826	21.9509	66.8726
61.0078	22.6896	66.5702
61.5375	23.4188	66.4510
62.0719	24.1852	66.5968
62.6108	25.0099	66.8940
63.1545	25.9084	67.4325
63.7029	26.9371	68.4464
64.2560	28.2170	69.3679
64.8139	29.6542	69.8112
65.3767	31.2679	69.9070
65.9444	33.0068	69.9283
66.5170	35.0068	69.9176
67.0945	37.2648	68.9250
67.6771	39.5109	66.9265
68.2647	41.6448	65.4379
68.8575	44.0577	64.8687
69.4554	46.8984	63.9902
70.0585	49.9725	62.9832
70.6668	53.5911	62.8640
71.2804	58.3567	62.1581
71.8993	63.8656	59.4862
72.5236	69.8719	55.3083
73.1533	76.1993	49.5814
73.7885	82.3718	42.1300
74.4292	87.7742	33.3133
75.0755	91.9573	23.6836
75.7274	94.6316	13.5233
76.3849	95.4996	3.2665
77.0481	94.6887	-6.5767
77.7172	92.4569	-15.8741
78.3920	89.0533	-24.6613
79.0726	84.6520	-32.7441
79.7592	79.6420	-39.9774
80.4518	74.2434	-46.2839
81.1503	68.7684	-51.3990
81.8550	63.5157	-55.0452
82.5657	58.8389	-56.8592
83.2826	55.1813	-58.3954
84.0058	51.8174	-60.7329
84.7352	48.6218	-62.7888
85.4709	45.7333	-64.4047
86.2131	43.1280	-66.7176
86.9617	40.3332	-69.1214
87.7168	37.6582	-69.8991
88.4784	35.4327	-69.9465
89.2467	33.4565	-70.4436
90.0216	31.5679	-70.7781
90.8032	29.8783	-70.4755
91.5917	28.4083	-69.5779
92.3870	27.2428	-69.1643
93.1892	26.0620	-68.9166
93.9983	25.0864	-68.2989
94.8145	24.2015	-68.2219
95.6378	23.3453	-68.7187
96.4682	22.4200	-69.1888
97.3058	21.5233	-68.9006
98.1507	20.7351	-68.2347
99.0030	20.0321	-67.6675
99.8626	19.3804	-67.1804
100.7297	18.7768	-66.6934
101.6044	18.2139	-66.2996
102.4866	17.6694	-66.0328
103.3765	17.1270	-65.5470
104.2741	16.6332	-64.5412
105.1795	16.2298	-63.4774
106.0928	15.8721	-62.7517
107.0140	15.5352	-62.1840
107.9432	15.2200	-61.6920
108.8804	14.9198	-61.4079
109.8259	14.6116	-61.4104
110.7795	14.2722	-61.2705
111.7414	13.9490	-60.8062
112.7116	13.6436	-60.2886
113.6903	13.3527	-59.7447
114.6775	13.0751	-59.1224
115.6732	12.8159	-58.2678
116.6776	12.5989	-57.3413
117.6907	12.4075	-56.6545
118.7126	12.2228	-56.1270
119.7434	12.0449	-55.6332
120.7831	11.8746	-55.2416
121.8319	11.7018	-55.1026
122.8897	11.5035	-54.8950
123.9568	11.3122	-54.4027
125.0331	11.1314	-53.8706
126.1188	10.9569	-53.3479
127.2138	10.7866	-52.7557
128.3184	10.6265	-51.9825
129.4326	10.4894	-51.1382
130.5565	10.3687	-50.4267
131.6901	10.2536	-49.7993
132.8336	10.1462	-49.1715
133.9870	10.0471	-48.6000
135.1504	9.9517	-48.2110
136.3239	9.8449	-47.7936
137.5076	9.7465	-47.2284
138.7015	9.6545	-46.6987
139.9059	9.5662	-46.2044
141.1207	9.4806	-45.6696
142.3460	9.4044	-45.1293
143.5820	9.3334	-44.7201
144.8287	9.2596	-44.4046
146.0863	9.1836	-44.1123
147.3548	9.1050	-43.8554
148.6342	9.0220	-43.6685
149.9248	8.9286	-43.3992
151.2266	8.8381	-42.9687
152.5397	8.7517	-42.4969
153.8642	8.6693	-42.0018
155.2002	8.5911	-41.4874
156.5478	8.5169	-40.9247
157.9071	8.4504	-40.3281
159.2782	8.3910	-39.8050
160.6612	8.3321	-39.3347
162.0563	8.2761	-38.8657
163.4634	8.2219	-38.4375
164.8827	8.1678	-38.1044
166.3144	8.1067	-37.7510
167.7585	8.0475	-37.2837
169.2152	7.9916	-36.7925
170.6844	7.9381	-36.2943
172.1665	7.8875	-35.7764
173.6614	7.8403	-35.2233
175.1693	7.7987	-34.6394
176.6903	7.7637	-34.1133
178.2245	7.7299	-33.6662
179.7720	7.6969	-33.2468
181.3330	7.6646	-32.8680
182.9075	7.6312	-32.5685
184.4957	7.5923	-32.2806
186.0976	7.5517	-31.9227
187.7135	7.5116	-31.5198
189.3434	7.4726	-31.0875
190.9875	7.4354	-30.6114
192.6458	7.4021	-30.0865
194.3186	7.3743	-29.5858
196.0059	7.3485	-29.1407
197.7078	7.3241	-28.7199
199.4245	7.3008	-28.3222
201.1561	7.2781	-27.9822
202.9027	7.2524	-27.6668
204.6645	7.2259	-27.3128
206.4416	7.2000	-26.9460
208.2341	7.1743	-26.5871
210.0422	7.1482	-26.2232
211.8660	7.1223	-25.8264
213.7056	7.0984	-25.3732
215.5612	7.0792	-24.9459
217.4330	7.0598	-24.5679
219.3209	7.0414	-24.1938
221.2253	7.0233	-23.8343
223.1462	7.0055	-23.5066
225.0837	6.9858	-23.1812
227.0381	6.9664	-22.8188
229.0095	6.9479	-22.4462
230.9980	6.9304	-22.0709
233.0038	6.9141	-21.7037
235.0269	6.8980	-21.3444
237.0677	6.8823	-20.9569
239.1261	6.8693	-20.5672
241.2024	6.8572	-20.2126
243.2968	6.8454	-19.8693
245.4093	6.8342	-19.5384
247.5402	6.8228	-19.2427
249.6896	6.8097	-18.9584
251.8577	6.7958	-18.6456
254.0445	6.7824	-18.3133
256.2504	6.7694	-17.9738
258.4754	6.7571	-17.6242
260.7197	6.7459	-17.2528
262.9836	6.7370	-16.8898
265.2671	6.7287	-16.5555
267.5704	6.7209	-16.2326
269.8937	6.7132	-15.9216
