Freq	dB	Phase
20.0000	68.2968	128.2037
20.1737	68.4281	127.9051
20.3488	68.5594	127.6029
20.5255	68.6906	127.2969
20.7037	68.8219	126.9870
20.8835	68.9531	126.6731
21.0648	69.0844	126.3551
21.2478	69.2157	126.0329
21.4322	69.3469	125.7063
21.6183	69.4782	125.3752
21.8061	69.6094	125.0395
21.9954	69.7407	124.6991
22.1864	69.8720	124.3536
22.3790	70.0032	124.0029
22.5733	70.1345	123.6468
22.7693	70.2657	123.2850
22.9670	70.3970	122.9171
23.1665	70.5283	122.5429
23.3676	70.6595	122.1619
23.5705	70.7908	121.7734
23.7752	70.9220	121.3766
23.9816	71.0533	120.9702
24.1899	71.1846	120.5519
24.3999	71.3158	120.0792
24.6118	71.4425	119.5920
24.8255	71.5685	119.1370
25.0410	71.6939	118.6781
25.2585	71.8184	118.2152
25.4778	71.9422	117.7486
25.6990	72.0653	117.2770
25.9221	72.1877	116.8006
26.1472	72.3092	116.3194
26.3743	72.4299	115.8344
26.6033	72.5499	115.3450
26.8343	72.6690	114.8509
27.0673	72.7873	114.3527
27.3023	72.9048	113.8504
27.5394	73.0215	113.3434
27.7785	73.1372	112.8326
28.0197	73.2521	112.3186
28.2630	73.3662	111.8006
28.5084	73.4794	111.2782
28.7559	73.5917	110.7509
29.0056	73.7030	110.2195
29.2575	73.8133	109.6852
29.5115	73.9227	109.1477
29.7677	74.0311	108.6066
30.0262	74.1384	108.0629
30.2869	74.2448	107.5166
30.5499	74.3501	106.9678
30.8152	74.4545	106.4172
31.0827	74.5578	105.8643
31.3526	74.6601	105.3091
31.6249	74.7614	104.7526
31.8995	74.8617	104.1951
32.1765	74.9611	103.6358
32.4558	75.0594	103.0746
32.7377	75.1566	102.5134
33.0219	75.2530	101.9515
33.3086	75.3483	101.3880
33.5979	75.4427	100.8245
33.8896	75.5361	100.2611
34.1839	75.6285	99.6967
34.4807	75.7200	99.1325
34.7801	75.8106	98.5688
35.0821	75.9002	98.0053
35.3867	75.9890	97.4423
35.6939	76.0768	96.8793
36.0039	76.1638	96.3172
36.3165	76.2499	95.7561
36.6318	76.3352	95.1955
36.9499	76.4197	94.6360
37.2707	76.5034	94.0773
37.5944	76.5862	93.5198
37.9208	76.6684	92.9638
38.2501	76.7498	92.4085
38.5822	76.8304	91.8543
38.9172	76.9103	91.3018
39.2551	76.9896	90.7503
39.5960	77.0682	90.2002
39.9398	77.1461	89.6513
40.2866	77.2234	89.1037
40.6364	77.3001	88.5575
40.9892	77.3762	88.0124
41.3451	77.4517	87.4683
41.7041	77.5266	86.9254
42.0662	77.6010	86.3837
42.4315	77.6748	85.8430
42.7999	77.7482	85.3033
43.1716	77.8210	84.7644
43.5464	77.8933	84.2265
43.9245	77.9652	83.6890
44.3059	78.0366	83.1523
44.6906	78.1075	82.6160
45.0787	78.1780	82.0802
45.4701	78.2480	81.5448
45.8649	78.3176	81.0093
46.2632	78.3868	80.4740
