Freq	Ohm	Deg
20.0000	10.7825	42.5671
20.1737	10.9137	43.4911
20.3488	11.0465	44.2654
20.5255	11.1809	44.9537
20.7037	11.3170	45.5821
20.8835	11.4547	46.1652
21.0648	11.5941	46.7121
21.2478	11.7352	47.2296
21.4322	11.8780	47.7225
21.6183	12.0225	48.1949
21.8061	12.1688	48.6500
21.9954	12.3169	49.0907
22.1864	12.4668	49.5195
22.3790	12.6185	49.9390
22.5733	12.7720	50.3514
22.7693	12.9274	50.7590
22.9670	13.0847	51.1644
23.1665	13.2440	51.5704
23.3676	13.4051	51.9799
23.5705	13.5682	52.3970
23.7752	13.7333	52.8269
23.9816	13.9004	53.2775
24.1899	14.0696	53.7642
24.3999	14.2408	54.5301
24.6118	14.4574	55.4215
24.8255	14.6972	56.1923
25.0410	14.9687	56.5800
25.2585	15.2028	56.8625
25.4778	15.4547	57.3931
25.6990	15.7160	57.9016
25.9221	15.9907	58.4073
26.1472	16.2752	58.8869
26.3743	16.5686	59.3994
26.6033	16.8789	59.9427
26.8343	17.2039	60.4981
27.0673	17.5478	61.1630
27.3023	17.9312	61.9587
27.5394	18.3711	62.2916
27.7785	18.7570	62.4761
28.0197	19.1707	63.1487
28.2630	19.6438	63.6920
28.5084	20.1144	64.2039
28.7559	20.6428	64.9941
29.0056	21.2527	65.2614
29.2575	21.8020	65.2177
29.5115	22.3596	65.6917
29.7677	22.9946	66.2889
30.0262	23.6722	66.7266
30.2869	24.3912	67.0944
30.5499	25.1418	67.4762
30.8152	25.9447	67.9768
31.0827	26.8225	68.5351
31.3526	27.7800	69.2417
31.6249	28.8847	70.0254
31.8995	30.1470	69.7081
32.1765	31.1907	69.5772
32.4558	32.4786	70.3773
32.7377	33.9033	70.9373
33.0219	35.5013	71.7743
33.3086	37.4140	72.9603
33.5979	39.8015	72.3617
33.8896	41.7918	71.1402
34.1839	44.0365	71.2612
34.4807	46.5844	71.5266
34.7801	49.5216	72.2624
35.0821	53.1928	73.5784
35.3867	58.0000	72.8037
35.6939	62.5610	70.9314
36.0039	67.9201	69.9004
36.3165	74.0322	68.5875
36.6318	81.2938	66.9639
36.9499	89.8484	64.0785
37.2707	99.2823	60.1780
37.5944	110.0897	55.7626
37.9208	122.7240	48.2513
38.2501	133.9737	37.0672
38.5822	142.3760	26.0876
38.9172	150.2022	14.0061
39.2551	153.4889	-1.1893
39.5960	150.6591	-15.9997
39.9398	144.0161	-28.7490
40.2866	134.9644	-40.4199
40.6364	123.7425	-50.9586
40.9892	111.4841	-57.8941
41.3451	101.3944	-62.5802
41.7041	92.0035	-67.0921
42.0662	83.5743	-70.3671
42.4315	76.2648	-72.8513
42.7999	69.8616	-76.1151
43.1716	63.2282	-77.4443
43.5464	58.4251	-76.9151
43.9245	54.2472	-77.3503
44.3059	50.6074	-77.8459
44.6906	47.2982	-78.0588
45.0787	44.4837	-78.4275
45.4701	41.7551	-78.8054
45.8649	39.3593	-78.5447
46.2632	37.2479	-78.0105
46.6649	35.4627	-77.5948
47.0701	33.8331	-78.2786
47.4788	32.0174	-78.2475
47.8910	30.5971	-77.2497
48.3069	29.3127	-76.9078
48.7263	28.1085	-76.8771
49.1494	26.9119	-76.5632
49.5762	25.8680	-76.3044
50.0066	24.7835	-75.7122
50.4408	23.9087	-74.6092
50.8788	23.1168	-73.9218
51.3206	22.3844	-73.3636
51.7662	21.6967	-72.9942
52.2157	21.0175	-72.8825
52.6691	20.3082	-72.1770
53.1264	19.7412	-71.1209
53.5877	19.2126	-70.4796
54.0530	18.7117	-69.8627
54.5223	18.2437	-69.2445
54.9958	17.8028	-68.6917
55.4733	17.3791	-68.1775
55.9550	16.9732	-67.5921
56.4408	16.5986	-67.0460
56.9309	16.2337	-66.6757
57.4252	15.8657	-66.4725
57.9238	15.4714	-65.8013
58.4268	15.1550	-64.8503
58.9341	14.8561	-64.1986
59.4458	14.5739	-63.5967
59.9620	14.3032	-63.1283
60.4826	14.0280	-62.8222
61.0078	13.7346	-62.1502
61.5375	13.4937	-61.2560
62.0719	13.2659	-60.5795
62.6108	13.0511	-59.9347
63.1545	12.8466	-59.4041
63.7029	12.6392	-59.0416
64.2560	12.4154	-58.3751
64.8139	12.2323	-57.5331
65.3767	12.0558	-56.8998
65.9444	11.8865	-56.2701
66.5170	11.7246	-55.6514
67.0945	11.5690	-55.0624
67.6771	11.4170	-54.4756
68.2647	11.2713	-53.8721
68.8575	11.1318	-53.2819
69.4554	10.9974	-52.7672
70.0585	10.8599	-52.3557
70.6668	10.7127	-51.7120
71.2804	10.5907	-50.9306
71.8993	10.4747	-50.3088
72.5236	10.3622	-49.7161
73.1533	10.2534	-49.1668
73.7885	10.1436	-48.7121
74.4292	10.0248	-48.0540
75.0755	9.9280	-47.2523
75.7274	9.8379	-46.6140
76.3849	9.7492	-46.0122
77.0481	9.6638	-45.3792
77.7172	9.5841	-44.7567
78.3920	9.5068	-44.1595
79.0726	9.4327	-43.5547
79.7592	9.3624	-42.9350
80.4518	9.2978	-42.3923
81.1503	9.2291	-41.9124
81.8550	9.1589	-41.2745
82.5657	9.1016	-40.5396
83.2826	9.0530	-39.8405
84.0058	9.0149	-39.2983
84.7352	8.9722	-38.9487
85.4709	8.9231	-38.6399
86.2131	8.8677	-38.1983
86.9617	8.8217	-37.8000
87.7168	8.7653	-37.4589
88.4784	8.7126	-37.0524
89.2467	8.6571	-36.6850
90.0216	8.6011	-36.3958
90.8032	8.5332	-35.9880
91.5917	8.4750	-35.3898
92.3870	8.4222	-34.8097
93.1892	8.3754	-34.2975
93.9983	8.3269	-33.7990
94.8145	8.2835	-33.3103
95.6378	8.2381	-32.8755
96.4682	8.1930	-32.5367
97.3058	8.1358	-32.1303
98.1507	8.0828	-31.3116
99.0030	8.0561	-30.6183
99.8626	8.0197	-30.1423
100.7297	7.9884	-29.4335
101.6044	7.9721	-28.7885
102.4866	7.9576	-28.5865
103.3765	7.9181	-28.3406
104.2741	7.8864	-27.8204
105.1795	7.8556	-27.3225
106.0928	7.8289	-26.8316
107.0140	7.8024	-26.3770
107.9432	7.7768	-25.9185
108.8804	7.7523	-25.4826
109.8259	7.7270	-25.0926
110.7795	7.6984	-24.6291
111.7414	7.6756	-24.1179
112.7116	7.6536	-23.6625
113.6903	7.6320	-23.1915
114.6775	7.6130	-22.7271
115.6732	7.5942	-22.3191
