Freq	dB	Phase
10.0000	57.2451	-124.2502
10.0956	57.7538	-124.5185
10.1921	58.1973	-126.2821
10.2895	58.5851	-128.2179
10.3879	58.9263	-130.1464
10.4871	59.2303	-131.9676
10.5874	59.5065	-133.5789
10.6886	59.7701	-135.0011
10.7908	60.0251	-136.3645
10.8939	60.2706	-137.6642
10.9980	60.5117	-138.8706
11.1031	60.7517	-140.0645
11.2093	60.9869	-141.2830
11.3164	61.2170	-142.5031
11.4246	61.4412	-143.7098
11.5338	61.6607	-144.8913
11.6440	61.8756	-146.0889
11.7553	62.0811	-147.2214
11.8677	62.2859	-148.2031
11.9811	62.4945	-148.9947
12.0957	62.7217	-149.7454
12.2113	62.9577	-150.6889
12.3280	63.1931	-151.8523
12.4458	63.4168	-153.1548
12.5648	63.6279	-154.4273
12.6849	63.8331	-155.6267
12.8061	64.0342	-156.7864
12.9285	64.2329	-157.9283
13.0521	64.4286	-159.0627
13.1769	64.6218	-160.1790
13.3028	64.8132	-161.2847
13.4300	65.0026	-162.3863
13.5583	65.1900	-163.4812
13.6879	65.3754	-164.5683
13.8188	65.5591	-165.6467
13.9509	65.7412	-166.7166
14.0842	65.9219	-167.7791
14.2188	66.1014	-168.8362
14.3547	66.2795	-169.8859
14.4919	66.4568	-170.9310
14.6305	66.6331	-171.9806
14.7703	66.8079	-173.0390
14.9115	66.9806	-174.1045
15.0540	67.1507	-175.1641
15.1979	67.3191	-176.2100
15.3432	67.4859	-177.2450
15.4898	67.6517	-178.2723
15.6379	67.8163	-179.2951
15.7874	67.9798	179.6886
15.9383	68.1423	178.6775
16.0906	68.3038	177.6702
16.2444	68.4644	176.6669
16.3997	68.6240	175.6671
16.5564	68.7827	174.6703
16.7147	68.9406	173.6763
16.8745	69.0976	172.6847
17.0358	69.2537	171.6953
17.1986	69.4089	170.7076
17.3630	69.5633	169.7217
17.5289	69.7169	168.7371
17.6965	69.8695	167.7536
17.8656	70.0213	166.7709
18.0364	70.1722	165.7894
18.2088	70.3223	164.8095
18.3829	70.4715	163.8311
18.5586	70.6199	162.8536
18.7360	70.7675	161.8759
18.9150	70.9143	160.8982
19.0958	71.0603	159.9204
19.2784	71.2054	158.9421
19.4626	71.3497	157.9634
19.6487	71.4931	156.9841
19.8365	71.6356	156.0038
20.0261	71.7772	155.0225
20.2175	71.9179	154.0399
20.4108	72.0576	153.0561
20.6058	72.1964	152.0709
20.8028	72.3342	151.0843
21.0016	72.4710	150.0962
21.2024	72.6067	149.1067
21.4050	72.7415	148.1157
21.6096	72.8752	147.1231
21.8162	73.0077	146.1287
22.0247	73.1392	145.1326
22.2353	73.2696	144.1348
22.4478	73.3988	143.1353
22.6624	73.5268	142.1341
22.8790	73.6537	141.1312
23.0977	73.7793	140.1268
23.3184	73.9037	139.1208
23.5413	74.0269	138.1134
23.7663	74.1488	137.1044
23.9935	74.2693	136.0939
24.2228	74.3886	135.0818
24.4544	74.5066	134.0684
24.6881	74.6231	133.0538
24.9241	74.7383	132.0380
25.1623	74.8521	131.0211
25.4028	74.9645	130.0033
25.6457	75.0755	128.9846
25.8908	75.1850	127.9652
26.1383	75.2930	126.9453
26.3881	75.3995	125.9248
26.6403	75.5046	124.9040
26.8950	75.6081	123.8830
27.1520	75.7101	122.8621
27.4116	75.8105	121.8414
27.6736	75.9094	120.8211
27.9381	76.0067	119.8014
28.2051	76.1025	118.7823
28.4747	76.1967	117.7642
28.7469	76.2892	116.7473
29.0217	76.3802	115.7316
29.2991	76.4696	114.7176
29.5791	76.5573	113.7053
29.8619	76.6435	112.6949
30.1473	76.7281	111.6867
30.4355	76.8110	110.6809
30.7264	76.8923	109.6779
31.0201	76.9721	108.6776
31.3166	77.0502	107.6804
31.6159	77.1268	106.6865
31.9181	77.2018	105.6960
32.2232	77.2752	104.7093
32.5312	77.3470	103.7264
32.8421	77.4173	102.7476
33.1561	77.4861	101.7732
33.4730	77.5533	100.8033
33.7929	77.6191	99.8382
34.1159	77.6833	98.8779
34.4420	77.7461	97.9229
34.7712	77.8074	96.9732
35.1036	77.8673	96.0289
35.4391	77.9258	95.0904
35.7779	77.9829	94.1578
36.1199	78.0387	93.2312
36.4651	78.0931	92.3108
36.8137	78.1463	91.3968
37.1655	78.1981	90.4892
37.5208	78.2488	89.5881
37.8794	78.2982	88.6939
38.2415	78.3464	87.8064
38.6070	78.3935	86.9259
38.9760	78.4395	86.0523
39.3486	78.4845	85.1857
39.7247	78.5283	84.3261
40.1044	78.5712	83.4735
40.4877	78.6131	82.6280
40.8747	78.6541	81.7896
41.2654	78.6942	80.9581
41.6599	78.7334	80.1335
42.0581	78.7717	79.3157
42.4601	78.8092	78.5048
42.8659	78.8460	77.7005
43.2757	78.8819	76.9029
43.6893	78.9172	76.1118
44.1069	78.9517	75.3271
44.5285	78.9855	74.5486
44.9541	79.0187	73.7764
45.3838	79.0512	73.0101
45.8176	79.0830	72.2497
46.2555	79.1143	71.4951
46.6977	79.1449	70.7461
47.1440	79.1749	70.0026
47.5947	79.2044	69.2645
48.0496	79.2332	68.5316
48.5089	79.2615	67.8038
48.9725	79.2893	67.0811
49.4406	79.3165	66.3632
49.9132	79.3431	65.6500
50.3903	79.3692	64.9414
50.8719	79.3948	64.2372
51.3582	79.4198	63.5373
51.8491	79.4443	62.8417
52.3447	79.4683	62.1501
52.8450	79.4917	61.4624
53.3501	79.5145	60.7786
53.8601	79.5368	60.0984
54.3749	79.5586	59.4219
54.8946	79.5797	58.7489
55.4193	79.6003	58.0793
55.9491	79.6203	57.4132
56.4838	79.6396	56.7503
57.0237	79.6584	56.0907
57.5688	79.6765	55.4343
58.1191	79.6939	54.7812
58.6746	79.7107	54.1313
59.2354	79.7268	53.4847
59.8016	79.7422	52.8415
60.3732	79.7569	52.2015
60.9503	79.7708	51.5651
61.5329	79.7841	50.9322
62.1210	79.7966	50.3030
62.7148	79.8083	49.6775
63.3143	79.8192	49.0559
63.9195	79.8294	48.4384
64.5304	79.8389	47.8250
65.1472	79.8475	47.2159
65.7699	79.8554	46.6114
66.3986	79.8625	46.0114
67.0333	79.8688	45.4162
67.6740	79.8744	44.8260
68.3209	79.8792	44.2408
68.9739	79.8832	43.6609
69.6332	79.8865	43.0864
70.2988	79.8890	42.5175
70.9707	79.8909	41.9541
71.6491	79.8920	41.3967
72.3339	79.8924	40.8451
73.0253	79.8922	40.2996
73.7233	79.8912	39.7602
74.4280	79.8897	39.2272
75.1394	79.8875	38.7006
75.8576	79.8846	38.1805
76.5827	79.8812	37.6671
77.3147	79.8772	37.1604
78.0537	79.8727	36.6605
78.7998	79.8676	36.1677
79.5530	79.8621	35.6819
80.3134	79.8560	35.2032
81.0811	79.8496	34.7318
81.8561	79.8427	34.2677
82.6385	79.8354	33.8108
83.4284	79.8277	33.3614
84.2258	79.8197	32.9195
85.0309	79.8114	32.4850
85.8436	79.8028	32.0580
86.6642	79.7941	31.6384
87.4925	79.7851	31.2263
88.3288	79.7759	30.8216
89.1731	79.7666	30.4242
90.0255	79.7572	30.0341
90.8860	79.7477	29.6512
91.7547	79.7382	29.2754
92.6317	79.7287	28.9065
93.5171	79.7191	28.5445
94.4110	79.7097	28.1891
95.3134	79.7003	27.8403
96.2245	79.6909	27.4979
97.1442	79.6817	27.1616
98.0728	79.6727	26.8314
99.0102	79.6638	26.5070
99.9566	79.6550	26.1883
100.9120	79.6465	25.8751
101.8766	79.6381	25.5672
102.8503	79.6300	25.2645
103.8334	79.6220	24.9666
104.8259	79.6144	24.6736
105.8279	79.6069	24.3852
106.8394	79.5998	24.1011
107.8606	79.5928	23.8213
108.8916	79.5862	23.5456
109.9324	79.5798	23.2737
110.9832	79.5737	23.0056
112.0440	79.5679	22.7410
113.1150	79.5623	22.4798
114.1962	79.5571	22.2218
115.2877	79.5521	21.9668
116.3897	79.5474	21.7147
117.5022	79.5430	21.4653
118.6253	79.5389	21.2184
119.7592	79.5350	20.9738
120.9039	79.5315	20.7314
122.0596	79.5281	20.4911
123.2263	79.5251	20.2527
124.4041	79.5223	20.0159
125.5932	79.5197	19.7807
126.7937	79.5173	19.5470
128.0056	79.5152	19.3145
129.2292	79.5132	19.0832
130.4644	79.5115	18.8530
131.7114	79.5099	18.6237
132.9704	79.5084	18.3953
134.2414	79.5071	18.1677
135.5245	79.5060	17.9409
136.8199	79.5049	17.7147
138.1277	79.5040	17.4891
139.4480	79.5031	17.2642
140.7809	79.5022	17.0399
142.1265	79.5015	16.8161
143.4850	79.5007	16.5929
144.8565	79.5000	16.3702
146.2411	79.4993	16.1481
147.6389	79.4986	15.9266
149.0501	79.4979	15.7057
150.4748	79.4972	15.4854
151.9131	79.4964	15.2657
153.3651	79.4956	15.0466
154.8311	79.4947	14.8282
156.3110	79.4938	14.6105
157.8051	79.4928	14.3935
159.3135	79.4918	14.1772
160.8362	79.4907	13.9617
162.3736	79.4894	13.7471
163.9256	79.4881	13.5333
165.4925	79.4867	13.3205
167.0743	79.4852	13.1087
168.6713	79.4836	12.8979
170.2835	79.4818	12.6883
171.9112	79.4800	12.4800
173.5544	79.4780	12.2730
175.2133	79.4759	12.0677
176.8880	79.4737	11.8642
178.5788	79.4714	11.6626
180.2857	79.4689	11.4582
182.0090	79.4656	11.2373
183.7487	79.4593	11.0597
185.5050	79.4557	10.9689
