Freq	Ohm	Deg
10.0000	9.8676	36.9206
10.0956	9.9255	37.6868
10.1921	9.9817	38.4051
10.2895	10.0405	39.1355
10.3879	10.1018	39.8714
10.4871	10.1669	40.6368
10.5874	10.2382	41.4497
10.6886	10.3190	42.3139
10.7908	10.4131	43.1957
10.8939	10.5209	44.0414
10.9980	10.6408	44.7999
11.1031	10.7676	45.4585
11.2093	10.8988	46.0337
11.3164	11.0318	46.5268
11.4246	11.1636	46.9376
11.5338	11.2901	47.2953
11.6440	11.4106	47.6528
11.7553	11.5271	48.0571
11.8677	11.6444	48.5105
11.9811	11.7642	48.9841
12.0957	11.8868	49.4631
12.2113	12.0115	49.9494
12.3280	12.1389	50.4535
12.4458	12.2698	50.9781
12.5648	12.4051	51.5296
12.6849	12.5462	52.1219
12.8061	12.6962	52.7793
12.9285	12.8617	53.4850
13.0521	13.0447	54.1823
13.1769	13.2448	54.8097
13.3028	13.4557	55.3442
13.4300	13.6740	55.8039
13.5583	13.8971	56.2011
13.6879	14.1236	56.5267
13.8188	14.3478	56.7863
13.9509	14.5676	57.0092
14.0842	14.7805	57.2389
14.2188	14.9903	57.5129
14.3547	15.1996	57.8394
14.4919	15.4123	58.2249
14.6305	15.6321	58.6599
14.7703	15.8608	59.1385
14.9115	16.1011	59.6659
15.0540	16.3570	60.2449
15.1979	16.6332	60.8563
15.3432	16.9315	61.4718
15.4898	17.2533	62.0547
15.6379	17.5945	62.5799
15.7874	17.9525	63.0303
15.9383	18.3189	63.4105
16.0906	18.6902	63.7671
16.2444	19.0667	64.1524
16.3997	19.4551	64.5969
16.5564	19.8616	65.0937
16.7147	20.2905	65.6334
16.8745	20.7460	66.2261
17.0358	21.2368	66.8760
17.1986	21.7714	67.5488
17.3630	22.3527	68.1874
17.5289	22.9763	68.7591
17.6965	23.6369	69.2879
17.8656	24.3370	69.8234
18.0364	25.0868	70.3885
18.2088	25.8974	70.9633
18.3829	26.7757	71.5115
18.5586	27.7241	72.0176
18.7360	28.7476	72.4829
18.9150	29.8523	72.9169
19.0958	31.0511	73.3124
19.2784	32.3533	73.6207
19.4626	33.7581	73.7778
19.6487	35.2500	73.7157
19.8365	36.7870	73.5176
20.0261	38.3749	73.3572
20.2175	40.0366	73.3992
20.4108	41.8568	73.6706
20.6058	43.8799	74.1017
20.8028	46.1717	74.6831
21.0016	48.7982	75.4678
21.2024	51.9081	76.4301
21.4050	55.6269	77.3720
21.6096	60.0608	78.1151
21.8162	65.2853	78.7451
22.0247	71.5705	79.6983
22.2353	79.6201	81.2471
22.4478	90.6218	82.4237
22.6624	105.2603	81.5257
22.8790	123.6243	76.9526
23.0977	143.9239	68.5830
23.3184	164.6071	57.3527
23.5413	183.4790	43.7071
23.7663	198.0764	27.8049
23.9935	204.8767	10.5103
24.2228	202.8418	-6.5536
24.4544	192.9533	-21.6106
24.6881	179.2878	-34.1011
24.9241	163.8216	-44.5752
25.1623	148.2160	-53.4238
25.4028	132.9503	-60.9309
25.6457	118.6174	-66.9932
25.8908	105.5929	-71.5553
26.1383	94.2073	-74.7022
26.3881	84.4905	-76.7821
26.6403	76.2688	-78.2431
26.8950	69.1978	-79.3609
27.1520	63.0290	-80.0603
27.4116	57.6638	-80.1309
27.6736	53.1111	-79.5786
27.9381	49.3032	-78.6469
28.2051	46.1313	-77.6111
28.4747	43.4438	-76.6094
28.7469	41.1474	-75.6470
29.0217	39.1695	-74.7221
29.2991	37.4727	-73.9429
29.5791	35.9709	-73.4290
29.8619	34.6021	-73.1955
30.1473	33.3024	-73.2175
30.4355	32.0317	-73.3385
30.7264	30.7952	-73.4313
31.0201	29.5958	-73.4228
31.3166	28.4543	-73.3360
31.6159	27.3530	-73.1745
31.9181	26.3017	-72.8213
32.2232	25.3188	-72.1511
32.5312	24.4508	-71.2154
32.8421	23.6977	-70.2036
33.1561	23.0533	-69.3210
33.4730	22.4714	-68.6720
33.7929	21.9310	-68.2407
34.1159	21.4033	-68.0183
34.4420	20.8716	-67.9075
34.7712	20.3330	-67.8047
35.1036	19.7933	-67.6302
35.4391	19.2639	-67.3832
35.7779	18.7447	-67.0764
36.1199	18.2393	-66.6820
36.4651	17.7518	-66.1451
36.8137	17.2974	-65.4781
37.1655	16.8770	-64.7748
37.5208	16.4858	-64.1197
37.8794	16.1085	-63.4995
38.2415	15.7451	-62.8119
38.6070	15.4023	-61.9864
38.9760	15.0936	-61.0631
39.3486	14.8184	-60.1604
39.7247	14.5696	-59.3582
40.1044	14.3354	-58.6665
40.4877	14.1103	-58.0523
40.8747	13.8906	-57.5083
41.2654	13.6715	-57.0276
41.6599	13.4493	-56.5701
42.0581	13.2243	-56.0720
42.4601	13.0017	-55.4841
42.8659	12.7883	-54.8164
43.2757	12.5860	-54.1059
43.6893	12.3952	-53.3806
44.1069	12.2143	-52.6507
44.5285	12.0428	-51.9125
44.9541	11.8803	-51.1683
45.3838	11.7266	-50.4206
45.8176	11.5812	-49.6726
46.2555	11.4438	-48.9280
46.6977	11.3137	-48.1913
47.1440	11.1904	-47.4660
47.5947	11.0731	-46.7553
48.0496	10.9607	-46.0583
48.5089	10.8529	-45.3711
48.9725	10.7492	-44.6908
49.4406	10.6495	-44.0168
49.9132	10.5534	-43.3491
50.3903	10.4607	-42.6862
50.8719	10.3711	-42.0236
51.3582	10.2850	-41.3571
51.8491	10.2024	-40.6857
52.3447	10.1238	-40.0100
52.8450	10.0493	-39.3336
53.3501	9.9788	-38.6576
53.8601	9.9126	-37.9819
54.3749	9.8508	-37.3117
54.8946	9.7934	-36.6583
55.4193	9.7395	-36.0354
55.9491	9.6875	-35.4459
56.4838	9.6363	-34.8800
57.0237	9.5856	-34.3285
57.5688	9.5352	-33.7856
58.1191	9.4849	-33.2468
58.6746	9.4349	-32.7046
59.2354	9.3856	-32.1500
59.8016	9.3379	-31.5823
60.3732	9.2923	-31.0079
60.9503	9.2489	-30.4315
61.5329	9.2077	-29.8563
62.1210	9.1686	-29.2820
62.7148	9.1317	-28.7090
63.3143	9.0969	-28.1397
63.9195	9.0643	-27.5774
64.5304	9.0335	-27.0265
65.1472	9.0041	-26.4873
65.7699	8.9758	-25.9557
66.3986	8.9484	-25.4284
67.0333	8.9222	-24.9039
67.6740	8.8970	-24.3820
68.3209	8.8729	-23.8615
68.9739	8.8499	-23.3394
69.6332	8.8285	-22.8148
70.2988	8.8087	-22.2894
70.9707	8.7908	-21.7656
71.6491	8.7748	-21.2478
72.3339	8.7606	-20.7400
73.0253	8.7478	-20.2458
73.7233	8.7360	-19.7644
74.4280	8.7251	-19.2935
75.1394	8.7149	-18.8316
75.8576	8.7054	-18.3796
76.5827	8.6962	-17.9376
77.3147	8.6873	-17.5027
78.0537	8.6786	-17.0709
78.7998	8.6704	-16.6409
79.5530	8.6628	-16.2148
80.3134	8.6556	-15.7951
81.0811	8.6486	-15.3815
81.8561	8.6419	-14.9704
82.6385	8.6355	-14.5586
83.4284	8.6297	-14.1463
84.2258	8.6245	-13.7364
85.0309	8.6200	-13.3321
85.8436	8.6159	-12.9338
