Freq	dB	Phase
10.0000	57.4148	-150.5992
10.0956	57.6429	-151.0330
10.1921	57.8711	-151.4722
10.2895	58.0992	-151.9169
10.3879	58.3274	-152.3671
10.4871	58.5555	-152.8231
10.5874	58.7837	-153.2848
10.6886	59.0118	-153.7525
10.7908	59.2399	-154.2264
10.8939	59.4681	-154.7064
10.9980	59.6962	-155.1928
11.1031	59.9244	-155.6857
11.2093	60.1525	-156.1854
11.3164	60.3806	-156.6919
11.4246	60.6088	-157.2054
11.5338	60.8369	-157.7263
11.6440	61.0651	-158.2545
11.7553	61.2932	-158.7905
11.8677	61.5214	-159.3343
11.9811	61.7495	-159.8863
12.0957	61.9776	-160.4468
12.2113	62.2058	-161.0161
12.3280	62.4339	-161.5944
12.4458	62.6621	-162.1821
12.5648	62.8902	-162.7797
12.6849	63.1183	-163.3875
12.8061	63.3465	-164.0061
12.9285	63.5746	-164.6360
13.0521	63.8028	-165.2779
13.1769	64.0309	-165.9324
13.3028	64.2591	-166.6005
13.4300	64.4872	-167.2831
13.5583	64.7153	-167.9815
13.6879	64.9435	-168.6974
13.8188	65.1716	-169.4326
13.9509	65.3998	-170.1901
14.0842	65.6279	-170.9741
14.2188	65.8561	-171.7915
14.3547	66.0842	-172.6572
14.4919	66.3123	-173.8305
14.6305	66.5073	-175.0259
14.7703	66.7011	-175.9498
14.9115	66.8934	-176.8506
15.0540	67.0842	-177.7358
15.1979	67.2736	-178.6077
15.3432	67.4618	-179.4705
15.4898	67.6490	179.6727
15.6379	67.8351	178.8194
15.7874	68.0201	177.9695
15.9383	68.2042	177.1217
16.0906	68.3872	176.2749
16.2444	68.5693	175.4288
16.3997	68.7503	174.5828
16.5564	68.9304	173.7364
16.7147	69.1096	172.8891
16.8745	69.2877	172.0409
17.0358	69.4648	171.1913
17.1986	69.6410	170.3401
17.3630	69.8161	169.4873
17.5289	69.9903	168.6327
17.6965	70.1634	167.7760
17.8656	70.3356	166.9170
18.0364	70.5067	166.0560
18.2088	70.6767	165.1929
18.3829	70.8458	164.3277
18.5586	71.0139	163.4601
18.7360	71.1809	162.5895
18.9150	71.3469	161.7159
19.0958	71.5119	160.8393
19.2784	71.6757	159.9597
19.4626	71.8385	159.0772
19.6487	72.0002	158.1917
19.8365	72.1608	157.3028
20.0261	72.3203	156.4105
20.2175	72.4787	155.5148
20.4108	72.6358	154.6157
20.6058	72.7918	153.7131
20.8028	72.9466	152.8070
21.0016	73.1002	151.8975
21.2024	73.2525	150.9845
21.4050	73.4036	150.0683
21.6096	73.5534	149.1486
21.8162	73.7019	148.2254
22.0247	73.8491	147.2988
22.2353	73.9949	146.3687
22.4478	74.1394	145.4354
22.6624	74.2824	144.4989
22.8790	74.4241	143.5593
23.0977	74.5643	142.6168
23.3184	74.7031	141.6714
23.5413	74.8404	140.7233
23.7663	74.9762	139.7724
23.9935	75.1106	138.8188
24.2228	75.2434	137.8626
24.4544	75.3747	136.9039
24.6881	75.5044	135.9431
24.9241	75.6325	134.9802
25.1623	75.7590	134.0153
25.4028	75.8839	133.0487
25.6457	76.0072	132.0806
25.8908	76.1288	131.1109
26.1383	76.2488	130.1401
26.3881	76.3672	129.1682
26.6403	76.4838	128.1954
26.8950	76.5987	127.2220
27.1520	76.7120	126.2482
27.4116	76.8235	125.2742
27.6736	76.9334	124.3002
27.9381	77.0415	123.3264
28.2051	77.1479	122.3530
28.4747	77.2525	121.3803
28.7469	77.3555	120.4085
29.0217	77.4567	119.4378
29.2991	77.5562	118.4684
29.5791	77.6539	117.5006
29.8619	77.7500	116.5346
30.1473	77.8443	115.5706
30.4355	77.9369	114.6089
30.7264	78.0278	113.6498
31.0201	78.1170	112.6933
31.3166	78.2045	111.7398
31.6159	78.2904	110.7896
31.9181	78.3745	109.8427
32.2232	78.4571	108.8993
32.5312	78.5380	107.9599
32.8421	78.6173	107.0244
33.1561	78.6950	106.0931
33.4730	78.7711	105.1663
33.7929	78.8456	104.2442
34.1159	78.9186	103.3268
34.4420	78.9901	102.4145
34.7712	79.0601	101.5074
35.1036	79.1286	100.6056
35.4391	79.1956	99.7094
35.7779	79.2612	98.8188
36.1199	79.3255	97.9341
36.4651	79.3883	97.0554
36.8137	79.4498	96.1827
37.1655	79.5100	95.3161
37.5208	79.5689	94.4559
