Freq	Ohm	Deg
10.0000	8.0308	28.5843
10.0956	8.0730	29.0950
10.1921	8.1154	29.5414
10.2895	8.1580	29.9511
10.3879	8.2008	30.3354
10.4871	8.2439	30.7004
10.5874	8.2872	31.0500
10.6886	8.3307	31.3872
10.7908	8.3744	31.7138
10.8939	8.4184	32.0314
10.9980	8.4626	32.3414
11.1031	8.5071	32.6447
11.2093	8.5517	32.9423
11.3164	8.5967	33.2349
11.4246	8.6418	33.5233
11.5338	8.6872	33.8079
11.6440	8.7328	34.0894
11.7553	8.7787	34.3683
11.8677	8.8248	34.6451
11.9811	8.8711	34.9203
12.0957	8.9177	35.1942
12.2113	8.9645	35.4674
12.3280	9.0116	35.7402
12.4458	9.0589	36.0131
12.5648	9.1065	36.2865
12.6849	9.1543	36.5610
12.8061	9.2024	36.8369
12.9285	9.2507	37.1148
13.0521	9.2993	37.3953
13.1769	9.3481	37.6788
13.3028	9.3972	37.9662
13.4300	9.4466	38.2580
13.5583	9.4962	38.5553
13.6879	9.5461	38.8589
13.8188	9.5962	39.1703
13.9509	9.6466	39.4911
14.0842	9.6973	39.8239
14.2188	9.7482	40.1726
14.3547	9.7994	40.5465
14.4919	9.8508	41.1429
14.6305	9.9323	41.6468
14.7703	10.0026	41.8033
14.9115	10.0553	42.1386
15.0540	10.1215	42.6703
15.1979	10.1953	43.1044
15.3432	10.2663	43.5243
15.4898	10.3412	44.1172
15.6379	10.4378	44.6639
15.7874	10.5325	45.0295
15.9383	10.6243	45.4512
16.0906	10.7242	45.9457
16.2444	10.8341	46.3421
16.3997	10.9404	46.5383
16.5564	11.0275	46.8169
16.7147	11.1226	47.2858
16.8745	11.2250	47.6933
17.0358	11.3213	48.1509
17.1986	11.4283	48.8405
17.3630	11.5635	49.5105
17.5289	11.7066	50.0284
17.6965	11.8571	50.4898
17.8656	12.0117	50.9366
18.0364	12.1783	51.2142
18.2088	12.3266	51.2333
18.3829	12.4433	51.4522
18.5586	12.5716	51.9055
18.7360	12.6981	52.4208
18.9150	12.8318	53.2188
19.0958	12.9951	55.3809
19.2784	13.4300	56.0232
19.4626	13.6386	55.1913
19.6487	13.8752	55.4453
19.8365	14.1121	55.5073
20.0261	14.3481	54.3757
20.2175	14.3300	54.4838
20.4108	14.5327	56.1393
20.6058	14.7664	56.9057
20.8028	15.0252	57.4790
21.0016	15.2834	58.0409
21.2024	15.5701	58.6885
21.4050	15.8794	59.2554
21.6096	16.2054	59.7037
21.8162	16.5328	60.2502
22.0247	16.9074	60.7169
22.2353	17.2722	60.9025
22.4478	17.6204	61.2185
22.6624	17.9874	61.7499
22.8790	18.3820	62.3808
23.0977	18.8107	63.0890
23.3184	19.2777	64.1606
23.5413	19.8809	65.1046
23.7663	20.5040	65.6477
23.9935	21.1789	66.1704
24.2228	21.8954	66.6922
24.4544	22.6966	66.9174
24.6881	23.4794	66.7030
24.9241	24.2230	66.6941
25.1623	25.0139	67.0755
25.4028	25.8853	67.6090
25.6457	26.8464	68.3325
25.8908	27.9616	69.2194
26.1383	29.2533	70.1802
26.3881	30.7941	70.7291
26.6403	32.4247	70.9364
26.8950	34.2577	71.2265
27.1520	36.3329	71.3128
27.4116	38.6684	70.2010
27.6736	40.7166	69.2471
27.9381	43.1813	69.3283
28.2051	46.0030	69.0753
28.4747	49.1312	69.1083
28.7469	52.9680	70.1752
29.0217	58.2449	70.5735
29.2991	64.3836	69.6448
29.5791	71.8399	68.6244
29.8619	81.4740	65.4112
30.1473	91.8256	58.6069
30.4355	101.6605	51.1990
30.7264	112.8514	42.0423
31.0201	122.0626	28.8749
31.3166	126.8346	15.0214
31.6159	128.3904	2.5589
31.9181	127.9070	-11.2616
32.2232	121.7131	-25.3406
32.5312	112.9889	-36.5644
32.8421	103.2566	-45.8263
33.1561	93.2726	-53.4812
33.4730	83.4767	-57.9655
33.7929	76.0673	-61.0144
34.1159	69.1823	-64.2382
34.4420	63.2806	-66.5264
34.7712	58.1451	-68.6662
35.1036	53.5544	-71.6514
35.4391	48.6922	-73.5862
35.7779	44.7635	-73.8754
36.1199	41.3035	-74.3144
36.4651	38.2033	-74.2472
36.8137	35.5328	-73.3461
37.1655	33.3582	-71.5592
37.5208	31.7984	-70.6157
37.8794	30.2055	-70.3744
38.2415	28.8621	-69.8340
38.6070	27.6293	-69.9187
38.9760	26.3889	-70.7472
39.3486	24.9745	-70.6125
39.7247	23.8633	-69.5643
40.1044	22.8317	-68.8737
40.4877	21.8982	-68.1147
40.8747	21.0253	-67.1346
41.2654	20.2723	-65.7610
41.6599	19.6597	-64.5632
42.0581	19.0959	-63.7100
42.4601	18.5756	-62.8867
42.8659	18.1081	-62.3287
43.2757	17.6284	-62.1755
43.6893	17.1069	-61.8042
44.1069	16.6253	-61.0967
44.5285	16.1674	-60.3006
44.9541	15.7469	-59.3086
45.3838	15.3761	-58.1857
45.8176	15.0579	-57.1571
46.2555	14.7634	-56.2517
46.6977	14.4971	-55.4373
47.1440	14.2421	-54.8206
47.5947	13.9812	-54.2956
48.0496	13.7162	-53.6009
48.5089	13.4765	-52.8085
48.9725	13.2462	-52.0764
49.4406	13.0232	-51.2066
49.9132	12.8295	-50.2218
50.3903	12.6590	-49.2572
50.8719	12.5121	-48.3574
51.3582	12.3790	-47.5101
51.8491	12.2655	-46.7253
52.3447	12.1635	-46.2056
52.8450	12.0438	-45.7417
53.3501	11.9327	-45.0600
53.8601	11.8470	-44.5163
54.3749	11.7541	-44.3757
54.8946	11.6267	-44.1336
55.4193	11.5135	-43.6536
55.9491	11.4058	-43.3502
56.4838	11.2817	-42.9601
57.0237	11.1766	-42.3500
57.5688	11.0920	-42.0058
58.1191	10.9890	-42.0032
58.6746	10.8589	-41.9622
59.2354	10.7178	-41.7038
59.8016	10.5770	-41.2967
60.3732	10.4368	-40.7067
60.9503	10.3120	-39.8113
61.5329	10.2228	-38.8027
62.1210	10.1626	-38.2394
62.7148	10.0767	-37.8118
63.3143	10.0057	-37.1812
63.9195	9.9432	-36.8251
64.5304	9.8598	-36.6012
65.1472	9.7674	-36.0688
65.7699	9.6956	-35.4813
66.3986	9.6193	-35.0138
67.0333	9.5446	-34.4624
67.6740	9.4754	-33.8513
68.3209	9.4131	-33.1694
68.9739	9.3646	-32.5147
69.6332	9.3203	-31.9731
70.2988	9.2775	-31.4956
70.9707	9.2342	-31.0777
71.6491	9.1872	-30.6862
72.3339	9.1374	-30.2349
73.0253	9.0917	-29.7536
73.7233	9.0465	-29.2758
74.4280	9.0044	-28.7928
75.1394	8.9631	-28.3015
75.8576	8.9256	-27.7788
76.5827	8.8930	-27.2730
