Freq	Ohm	Deg
10.0000	4.6349	32.2349
10.0956	4.6365	33.1719
10.1921	4.6640	33.5989
10.2895	4.6853	34.2134
10.3879	4.7208	34.8194
10.4871	4.7475	35.2440
10.5874	4.7777	35.8015
10.6886	4.8092	36.3543
10.7907	4.8446	36.8537
10.8939	4.8790	37.2374
10.9980	4.9101	37.7458
11.1031	4.9498	38.2514
11.2093	4.9871	38.5942
11.3164	5.0228	38.9418
11.4246	5.0573	39.3733
11.5338	5.0972	39.6356
11.6440	5.1236	39.8897
11.7553	5.1534	40.4584
11.8677	5.1907	41.0419
11.9811	5.2308	41.5691
12.0956	5.2738	42.1294
12.2113	5.3226	42.7006
12.3280	5.3768	43.1559
12.4458	5.4309	43.4044
12.5648	5.4770	43.7471
12.6849	5.5323	44.0469
12.8061	5.5774	44.2472
12.9285	5.6251	44.3628
13.0521	5.6542	44.7922
13.1769	5.7088	45.3601
13.3028	5.7542	45.6115
13.4300	5.7981	46.0045
13.5583	5.8428	46.6515
13.6879	5.9050	47.2619
13.8188	5.9641	47.7431
13.9509	6.0307	48.3396
14.0842	6.1064	48.8047
14.2188	6.1817	49.0263
14.3547	6.2488	49.1640
14.4919	6.3102	49.2827
14.6305	6.3595	49.7300
14.7703	6.4288	50.3569
14.9115	6.4984	50.9426
15.0540	6.5836	51.4359
15.1979	6.6611	51.9259
15.3432	6.7554	52.4727
15.4898	6.8497	52.8524
15.6379	6.9477	53.1691
15.7874	7.0427	53.4562
15.9383	7.1411	53.6741
16.0906	7.2310	53.7875
16.2444	7.3124	54.0972
16.3997	7.4019	54.6062
16.5564	7.4987	55.2022
16.7147	7.6098	55.7985
16.8745	7.7276	56.3298
17.0358	7.8534	56.9128
17.1986	7.9946	57.3852
17.3630	8.1350	57.7313
17.5289	8.2804	58.1193
17.6965	8.4342	58.3338
17.8656	8.5753	58.4259
18.0364	8.7096	58.7672
18.2088	8.8578	59.3050
18.3829	9.0187	59.8673
18.5586	9.1938	60.4358
18.7360	9.3820	61.0384
18.9150	9.5905	61.6728
19.0958	9.8209	62.1499
19.2784	10.0567	62.4878
19.4626	10.3014	62.9739
19.6487	10.5816	63.2829
19.8365	10.8554	63.0361
20.0261	11.0864	62.9792
20.2175	11.3375	63.3561
20.4107	11.6036	63.8555
20.6058	11.8999	64.4824
20.8028	12.2252	65.4126
21.0016	12.6349	66.2816
21.2024	13.0750	66.7818
21.4050	13.5538	67.2812
21.6096	14.0892	67.5342
21.8162	14.6444	67.3850
22.0247	15.2034	66.9175
22.2352	15.7284	66.6714
22.4478	16.3072	66.6593
22.6623	16.8948	66.7350
22.8790	17.5443	67.4407
23.0976	18.3520	68.5060
23.3184	19.3414	68.9126
23.5413	20.3634	69.3620
23.7663	21.6625	69.6905
23.9935	23.0485	69.1170
24.2228	24.5367	68.7910
24.4544	26.3113	68.5145
24.6881	28.3777	66.2720
24.9241	30.1076	63.9813
25.1623	32.2085	63.1770
25.4028	34.6901	61.9306
25.6457	37.5152	60.5222
25.8908	40.9155	59.7931
26.1383	45.5594	57.8518
26.3881	50.8528	53.5537
26.6403	56.9634	46.3210
26.8950	62.5485	35.6523
27.1520	66.8566	23.2195
27.4116	69.3188	10.0511
27.6736	69.8477	-3.5560
27.9381	68.0428	-16.5724
28.2051	64.7972	-28.0131
28.4747	60.6000	-38.3041
28.7469	55.7828	-47.4116
29.0217	50.7356	-55.6601
29.2991	45.3977	-61.8837
29.5791	40.7298	-65.7251
29.8619	36.6673	-68.7687
30.1473	33.0440	-71.0236
30.4355	29.8751	-71.7566
30.7264	27.3473	-71.0941
31.0201	25.4193	-70.9154
31.3166	23.6380	-70.8618
31.6159	22.2258	-70.5846
31.9181	20.9532	-71.0065
32.2232	19.7706	-72.2018
32.5312	18.4859	-72.7809
32.8421	17.4145	-72.5045
33.1561	16.4024	-72.1543
33.4730	15.5289	-71.3514
33.7929	14.7566	-70.4670
34.1159	14.0798	-69.2025
34.4420	13.5414	-68.1076
34.7712	13.0425	-67.4585
35.1036	12.5906	-66.9320
