Freq	dB	Phase
200.0000	49.8377	133.9602
201.3306	49.9027	134.2826
202.6701	49.9678	134.6170
204.0186	50.0328	134.9599
205.3759	50.0979	135.3033
206.7423	50.1630	135.6553
208.1178	50.2280	136.0159
209.5025	50.2931	136.3854
210.8964	50.3581	136.7657
212.2995	50.4232	137.1575
213.7120	50.4882	137.5620
215.1339	50.5533	137.9802
216.5652	50.6184	138.4138
218.0060	50.6834	138.8644
219.4565	50.7485	139.3343
220.9166	50.8135	139.8268
222.3864	50.8786	140.3466
223.8660	50.9436	140.9272
225.3554	51.0107	141.6006
226.8547	51.0819	142.3671
228.3641	51.1592	143.2115
229.8834	51.2436	144.1252
231.4129	51.3369	145.1100
232.9525	51.4409	146.1556
234.5024	51.5573	147.1921
236.0626	51.6840	148.1507
237.6332	51.8187	149.0242
239.2142	51.9594	149.8331
240.8057	52.1058	150.5827
242.4079	52.2564	151.2529
244.0207	52.4096	151.8414
245.6442	52.5636	152.3775
247.2785	52.7188	152.8905
248.9237	52.8753	153.3801
250.5799	53.0332	153.8334
252.2470	53.1916	154.2462
253.9253	53.3503	154.6283
255.6147	53.5092	154.9820
257.3154	53.6680	155.3092
259.0273	53.8265	155.6125
260.7507	53.9847	155.8939
262.4855	54.1425	156.1553
264.2319	54.2997	156.3986
265.9899	54.4563	156.6254
267.7596	54.6123	156.8376
269.5411	54.7677	157.0369
271.3344	54.9225	157.2243
273.1396	55.0767	157.4008
274.9569	55.2304	157.5674
276.7862	55.3836	157.7245
278.6277	55.5364	157.8724
280.4815	55.6887	158.0110
282.3476	55.8405	158.1400
284.2261	55.9920	158.2592
286.1172	56.1430	158.3679
288.0208	56.2936	158.4656
289.9370	56.4436	158.5525
291.8660	56.5930	158.6286
293.8079	56.7417	158.6940
295.7627	56.8898	158.7490
297.7304	57.0370	158.7938
299.7113	57.1834	158.8292
301.7054	57.3289	158.8559
303.7127	57.4735	158.8743
305.7333	57.6170	158.8851
307.7674	57.7595	158.8892
309.8151	57.9009	158.8880
311.8764	58.0412	158.8827
313.9513	58.1804	158.8749
316.0401	58.3186	158.8662
318.1428	58.4557	158.8582
320.2595	58.5920	158.8522
322.3902	58.7274	158.8494
324.5352	58.8622	158.8506
326.6944	58.9964	158.8564
328.8679	59.1303	158.8670
331.0560	59.2638	158.8824
333.2586	59.3972	158.9020
335.4758	59.5306	158.9254
337.7078	59.6641	158.9520
339.9546	59.7977	158.9812
342.2164	59.9316	159.0121
344.4933	60.0658	159.0438
346.7853	60.2002	159.0755
349.0925	60.3351	159.1064
351.4151	60.4704	159.1355
353.7531	60.6060	159.1618
356.1067	60.7420	159.1844
358.4760	60.8784	159.2025
360.8610	61.0151	159.2153
363.2619	61.1520	159.2222
365.6788	61.2891	159.2228
368.1117	61.4263	159.2167
370.5608	61.5636	159.2038
373.0263	61.7008	159.1839
375.5081	61.8379	159.1571
378.0064	61.9749	159.1237
380.5214	62.1116	159.0841
383.0531	62.2480	159.0386
385.6016	62.3840	158.9879
388.1671	62.5197	158.9328
390.7497	62.6549	158.8742
393.3494	62.7897	158.8130
395.9665	62.9240	158.7503
398.6009	63.0580	158.6867
401.2529	63.1915	158.6233
403.9225	63.3248	158.5608
406.6099	63.4578	158.4998
409.3152	63.5905	158.4407
412.0384	63.7232	158.3839
414.7798	63.8558	158.3296
417.5394	63.9885	158.2780
420.3174	64.1213	158.2293
423.1139	64.2542	158.1833
425.9289	64.3875	158.1402
428.7627	64.5211	158.0996
431.6154	64.6552	158.0614
434.4870	64.7899	158.0250
437.3778	64.9252	157.9900
440.2877	65.0611	157.9554
443.2171	65.1978	157.9203
446.1659	65.3354	157.8837
449.1343	65.4737	157.8442
452.1225	65.6128	157.8007
455.1306	65.7528	157.7519
458.1587	65.8935	157.6967
461.2069	66.0349	157.6341
464.2754	66.1770	157.5632
467.3643	66.3196	157.4833
470.4738	66.4628	157.3940
473.6040	66.6063	157.2950
476.7550	66.7501	157.1861
479.9269	66.8941	157.0671
483.1200	67.0383	156.9383
486.3343	67.1826	156.7998
489.5700	67.3268	156.6519
492.8272	67.4710	156.4950
496.1061	67.6150	156.3293
499.4068	67.7589	156.1552
502.7295	67.9026	155.9732
506.0742	68.0460	155.7837
509.4413	68.1891	155.5870
512.8307	68.3320	155.3837
516.2427	68.4745	155.1743
519.6773	68.6167	154.9591
523.1349	68.7586	154.7387
526.6154	68.9002	154.5134
530.1191	69.0415	154.2834
533.6461	69.1826	154.0489
537.1965	69.3234	153.8099
540.7706	69.4641	153.5663
544.3685	69.6045	153.3177
547.9903	69.7448	153.0639
551.6362	69.8850	152.8043
555.3064	70.0249	152.5385
559.0009	70.1646	152.2663
562.7201	70.3041	151.9871
566.4640	70.4434	151.7007
570.2328	70.5824	151.4067
574.0267	70.7210	151.1049
577.8458	70.8593	150.7951
581.6904	70.9972	150.4770
585.5605	71.1346	150.1503
589.4563	71.2715	149.8150
593.3781	71.4078	149.4708
597.3260	71.5434	149.1178
601.3001	71.6783	148.7562
605.3007	71.8123	148.3859
609.3279	71.9455	148.0076
613.3819	72.0778	147.6214
617.4629	72.2090	147.2280
621.5710	72.3392	146.8280
625.7064	72.4683	146.4219
629.8694	72.5962	146.0105
634.0601	72.7230	145.5945
638.2786	72.8486	145.1746
642.5252	72.9730	144.7517
646.8001	73.0961	144.3266
651.1034	73.2181	143.9002
655.4353	73.3388	143.4734
659.7961	73.4584	143.0470
664.1858	73.5769	142.6219
668.6048	73.6943	142.1988
673.0532	73.8107	141.7785
677.5312	73.9262	141.3615
682.0389	74.0408	140.9483
686.5767	74.1546	140.5393
691.1446	74.2677	140.1348
695.7430	74.3801	139.7349
700.3719	74.4920	139.3399
705.0316	74.6035	138.9498
709.7223	74.7145	138.5647
714.4443	74.8253	138.1845
719.1976	74.9358	137.8092
723.9826	75.0462	137.4387
728.7994	75.1565	137.0729
733.6483	75.2669	136.7112
738.5294	75.3773	136.3535
743.4430	75.4879	135.9992
748.3893	75.5987	135.6477
753.3685	75.7098	135.2984
758.3808	75.8211	134.9506
763.4265	75.9328	134.6038
768.5058	76.0448	134.2572
773.6188	76.1573	133.9103
778.7659	76.2700	133.5627
783.9472	76.3832	133.2139
789.1629	76.4967	132.8635
794.4134	76.6106	132.5112
799.6988	76.7249	132.1566
805.0194	76.8396	131.7994
810.3754	76.9546	131.4393
815.7670	77.0700	131.0762
821.1944	77.1857	130.7096
826.6580	77.3018	130.3396
832.1580	77.4183	129.9658
837.6945	77.5350	129.5881
843.2679	77.6522	129.2065
848.8783	77.7696	128.8206
854.5261	77.8874	128.4304
860.2114	78.0056	128.0355
865.9346	78.1241	127.6356
871.6959	78.2429	127.2305
877.4955	78.3621	126.8197
883.3336	78.4816	126.4028
889.2106	78.6015	125.9793
895.1268	78.7217	125.5490
901.0822	78.8422	125.1114
907.0773	78.9630	124.6661
913.1123	79.0841	124.2127
919.1875	79.2054	123.7507
925.3030	79.3270	123.2795
931.4593	79.4487	122.7987
937.6565	79.5707	122.3075
943.8949	79.6927	121.8053
950.1748	79.8148	121.2914
956.4966	79.9368	120.7652
962.8603	80.0588	120.2261
969.2665	80.1806	119.6736
975.7152	80.3022	119.1074
982.2069	80.4234	118.5273
988.7417	80.5442	117.9330
995.3200	80.6644	117.3243
1001.9420	80.7841	116.7012
1008.6080	80.9030	116.0634
1015.3190	81.0211	115.4108
1022.0740	81.1383	114.7431
1028.8740	81.2545	114.0603
1035.7190	81.3696	113.3623
1042.6100	81.4834	112.6492
1049.5470	81.5959	111.9211
1056.5300	81.7069	111.1786
1063.5590	81.8163	110.4223
1070.6350	81.9239	109.6529
1077.7580	82.0298	108.8715
1084.9290	82.1339	108.0790
1092.1470	82.2360	107.2764
1099.4130	82.3362	106.4646
1106.7280	82.4344	105.6446
1114.0910	82.5306	104.8170
1121.5040	82.6247	103.9826
1128.9650	82.7168	103.1419
1136.4770	82.8069	102.2956
1144.0380	82.8949	101.4441
1151.6490	82.9808	100.5881
1159.3120	83.0647	99.7280
1167.0250	83.1465	98.8645
1174.7890	83.2262	97.9980
1182.6050	83.3040	97.1290
1190.4730	83.3797	96.2577
1198.3940	83.4533	95.3845
1206.3670	83.5250	94.5093
1214.3930	83.5947	93.6324
1222.4730	83.6624	92.7537
1230.6060	83.7281	91.8733
1238.7940	83.7918	90.9913
1247.0360	83.8534	90.1076
1255.3330	83.9130	89.2227
1263.6850	83.9705	88.3365
1272.0920	84.0260	87.4496
1280.5560	84.0793	86.5621
1289.0750	84.1304	85.6744
1297.6520	84.1794	84.7870
1306.2860	84.2262	83.9002
1314.9770	84.2708	83.0146
1323.7250	84.3131	82.1308
1332.5320	84.3532	81.2494
1341.3980	84.3910	80.3712
1350.3230	84.4266	79.4970
1359.3070	84.4600	78.6278
1368.3500	84.4911	77.7645
1377.4540	84.5200	76.9081
1386.6190	84.5467	76.0592
1395.8440	84.5714	75.2189
1405.1310	84.5940	74.3877
1414.4800	84.6146	73.5663
1423.8910	84.6334	72.7554
1433.3640	84.6502	71.9557
1442.9010	84.6653	71.1676
1452.5010	84.6787	70.3919
1462.1640	84.6906	69.6292
1471.8920	84.7009	68.8800
1481.6850	84.7098	68.1449
1491.5430	84.7175	67.4240
1501.4670	84.7240	66.7175
1511.4560	84.7294	66.0254
1521.5130	84.7339	65.3475
1531.6350	84.7376	64.6833
1541.8260	84.7405	64.0326
1552.0840	84.7427	63.3950
1562.4100	84.7444	62.7701
1572.8050	84.7455	62.1575
1583.2700	84.7461	61.5571
1593.8030	84.7463	60.9687
1604.4070	84.7461	60.3920
1615.0820	84.7457	59.8268
1625.8270	84.7450	59.2730
1636.6440	84.7441	58.7299
1647.5330	84.7430	58.1973
1658.4950	84.7419	57.6747
1669.5290	84.7406	57.1615
1680.6370	84.7393	56.6573
1691.8180	84.7380	56.1616
1703.0740	84.7366	55.6739
1714.4050	84.7351	55.1891
1725.8120	84.7331	54.7085
1737.2940	84.7306	54.2459
1748.8520	84.7281	53.8135
1760.4880	84.7263	53.4139
1772.2010	84.7259	53.0492
1783.9920	84.7276	52.7278
1795.8610	84.7327	52.4650
1807.8090	84.7437	52.2446
1819.8370	84.7611	52.0043
1831.9450	84.7837	51.6858
1844.1330	84.8091	51.2620
1856.4030	84.8347	50.7194
1868.7540	84.8575	50.0372
1881.1870	84.8737	49.1991
1893.7030	84.8788	48.2377
1906.3020	84.8702	47.2404
1918.9850	84.8482	46.2984
1931.7520	84.8151	45.4735
1944.6050	84.7741	44.7982
1957.5430	84.7289	44.2845
1970.5670	84.6829	43.9257
1983.6770	84.6392	43.7035
1996.8750	84.6001	43.5932
2010.1610	84.5674	43.5549
2023.5350	84.5417	43.5327
2036.9980	84.5216	43.4802
2050.5500	84.5048	43.3914
2064.1930	84.4901	43.2987
2077.9270	84.4775	43.2277
2091.7520	84.4675	43.1726
2105.6690	84.4595	43.1294
2119.6780	84.4534	43.1343
2133.7810	84.4510	43.2379
2147.9770	84.4556	43.4584
2162.2680	84.4704	43.7667
2176.6540	84.4972	44.1030
2191.1360	84.5360	44.4161
2205.7140	84.5862	44.6735
2220.3890	84.6468	44.8301
2235.1620	84.7149	44.8382
2250.0330	84.7873	44.6569
2265.0030	84.8588	44.2672
2280.0720	84.9247	43.7010
2295.2420	84.9818	43.0219
2310.5130	85.0289	42.2883
2325.8850	85.0657	41.5489
2341.3600	85.0929	40.8494
2356.9380	85.1123	40.2497
2372.6190	85.1277	39.8023
2388.4040	85.1441	39.5088
2404.2950	85.1654	39.3200
2420.2910	85.1935	39.1675
2436.3940	85.2289	38.9788
2452.6040	85.2695	38.6785
2468.9220	85.3116	38.2084
2485.3480	85.3499	37.5577
2501.8830	85.3797	36.7676
2518.5290	85.3981	35.9139
2535.2850	85.4045	35.0885
2552.1530	85.4007	34.3909
2569.1330	85.3918	33.8996
2586.2260	85.3842	33.6285
2603.4330	85.3836	33.5252
2620.7540	85.3935	33.5063
2638.1910	85.4154	33.4764
2655.7430	85.4478	33.3227
2673.4120	85.4863	32.9304
2691.1990	85.5229	32.2434
2709.1040	85.5499	31.2760
2727.1290	85.5601	30.0813
2745.2730	85.5483	28.7497
2763.5380	85.5113	27.4083
2781.9240	85.4500	26.2173
2800.4330	85.3693	25.3386
2819.0650	85.2786	24.8711
2837.8210	85.1879	24.8554
2856.7010	85.1087	25.2837
2875.7080	85.0512	26.0528
2894.8400	85.0217	26.9888
2914.1000	85.0213	27.8899
2933.4880	85.0459	28.5559
2953.0060	85.0860	28.8579
2972.6530	85.1308	28.7717
2992.4300	85.1700	28.3436
3012.3400	85.1957	27.6804
3032.3810	85.2032	26.9336
3052.5560	85.1923	26.2896
3072.8660	85.1685	25.9548
3093.3100	85.1434	26.0374
3113.8910	85.1288	26.4634
3134.6080	85.1315	27.0931
3155.4630	85.1549	27.8158
3176.4570	85.2006	28.5097
3197.5910	85.2664	29.0094
3218.8650	85.3449	29.1363
3240.2810	85.4236	28.8154
3261.8390	85.4905	28.1501
3283.5410	85.5390	27.3107
3305.3870	85.5670	26.4490
3327.3790	85.5755	25.7479
3349.5160	85.5716	25.3928
3371.8020	85.5671	25.4706
3394.2350	85.5738	25.9532
3416.8180	85.6019	26.7054
3439.5500	85.6557	27.5535
3462.4340	85.7359	28.3372
3485.4710	85.8391	28.8685
3508.6600	85.9557	29.0189
3532.0040	86.0750	28.8246
3555.5030	86.1904	28.4057
3579.1590	86.2993	27.8988
3602.9720	86.4033	27.3946
3626.9430	86.5048	26.9146
3651.0740	86.6064	26.4746
3675.3660	86.7115	26.0519
3699.8190	86.8216	25.5431
3724.4340	86.9339	24.8360
3749.2140	87.0434	23.8594
3774.1580	87.1429	22.5760
3799.2680	87.2248	21.0271
3824.5460	87.2839	19.3233
3849.9910	87.3184	17.5781
3875.6060	87.3287	15.9251
3901.3910	87.3201	14.4620
3927.3480	87.2979	13.2003
3953.4780	87.2667	12.1815
3979.7810	87.2345	11.3887
4006.2600	87.2052	10.6945
4032.9140	87.1790	9.9743
4059.7460	87.1527	9.0846
4086.7560	87.1177	7.9472
4113.9460	87.0652	6.6486
4141.3170	86.9917	5.3206
4168.8700	86.8957	4.1132
4196.6070	86.7811	3.1923
4224.5280	86.6553	2.6707
4252.6350	86.5277	2.6515
4280.9280	86.4114	3.2224
4309.4100	86.3223	4.2805
4338.0820	86.2684	5.5721
4366.9440	86.2509	6.8955
4395.9980	86.2675	8.1054
4425.2460	86.3132	9.1017
4454.6880	86.3818	9.8139
4484.3260	86.4660	10.1421
4514.1610	86.5535	10.1215
4544.1950	86.6397	9.9099
4574.4280	86.7230	9.5723
4604.8630	86.8018	9.1401
4635.5000	86.8756	8.6984
4666.3410	86.9476	8.3096
4697.3870	87.0210	7.9797
4728.6400	87.0995	7.6452
4760.1010	87.1823	7.2020
4791.7710	87.2665	6.6142
4823.6520	87.3498	5.8857
4855.7440	87.4304	4.9587
4888.0510	87.5017	3.8001
4920.5720	87.5596	2.4641
4953.3100	87.6007	1.0083
4986.2650	87.6235	-0.4925
5019.4400	87.6283	-1.9519
5052.8350	87.6181	-3.3371
5086.4530	87.5944	-4.6466
5120.2940	87.5592	-5.8821
5154.3610	87.5130	-7.0376
5188.6540	87.4576	-8.0556
5223.1750	87.3970	-8.8810
5257.9260	87.3367	-9.5518
5292.9080	87.2784	-10.1796
5328.1230	87.2201	-10.7999
5363.5720	87.1617	-11.3902
5399.2570	87.1035	-11.9586
5435.1800	87.0452	-12.5356
5471.3410	86.9850	-13.1823
5507.7430	86.9183	-13.8984
5544.3870	86.8428	-14.5143
5581.2750	86.7648	-14.9223
5618.4090	86.6887	-15.1553
5655.7890	86.6182	-15.2488
5693.4190	86.5558	-15.2669
5731.2980	86.5013	-15.2571
5769.4300	86.4546	-15.2233
5807.8150	86.4166	-15.2192
5846.4560	86.3841	-15.3005
5885.3530	86.3546	-15.4691
5924.5100	86.3253	-15.7207
5963.9270	86.2937	-16.0077
6003.6060	86.2596	-16.2117
6043.5500	86.2283	-16.2956
6083.7590	86.2020	-16.3288
6124.2350	86.1812	-16.3440
6164.9810	86.1661	-16.3501
6205.9980	86.1573	-16.3574
6247.2880	86.1551	-16.3999
6288.8530	86.1585	-16.5903
6330.6940	86.1604	-16.9580
6372.8130	86.1579	-17.4235
6415.2130	86.1494	-17.9421
6457.8950	86.1340	-18.4605
6500.8610	86.1129	-18.9117
6544.1120	86.0891	-19.2671
6587.6520	86.0652	-19.5253
6631.4810	86.0442	-19.7303
6675.6020	86.0257	-19.9292
6720.0160	86.0098	-20.1210
6764.7260	85.9969	-20.3229
6809.7330	85.9863	-20.5859
6855.0390	85.9750	-20.9292
6900.6470	85.9611	-21.3251
6946.5590	85.9432	-21.7204
6992.7760	85.9226	-22.0509
7039.3000	85.9021	-22.2996
7086.1350	85.8840	-22.5119
7133.2800	85.8677	-22.7358
7180.7390	85.8524	-22.9613
7228.5140	85.8384	-23.1341
7276.6070	85.8290	-23.2682
7325.0200	85.8241	-23.4582
7373.7550	85.8205	-23.7578
7422.8140	85.8148	-24.1287
7472.2000	85.8066	-24.4886
7521.9140	85.7978	-24.8237
7571.9590	85.7891	-25.2060
7622.3370	85.7772	-25.6543
7673.0500	85.7610	-26.1078
7724.1010	85.7413	-26.5183
7775.4910	85.7201	-26.8737
7827.2230	85.6986	-27.2069
7879.2990	85.6764	-27.5505
7931.7220	85.6526	-27.8792
7984.4930	85.6282	-28.1474
8037.6160	85.6055	-28.3626
8091.0920	85.5854	-28.5853
8144.9240	85.5660	-28.8515
8199.1140	85.5457	-29.1376
8253.6640	85.5244	-29.3997
8308.5780	85.5035	-29.6295
8363.8570	85.4832	-29.8579
8419.5030	85.4627	-30.0821
8475.5200	85.4422	-30.2567
8531.9090	85.4240	-30.3752
8588.6740	85.4087	-30.4531
8645.8160	85.3976	-30.4838
8703.3390	85.3920	-30.4797
8761.2440	85.3929	-30.4945
8819.5350	85.3984	-30.5846
8878.2130	85.4058	-30.7207
8937.2820	85.4157	-30.8288
8996.7430	85.4309	-30.9462
9056.6010	85.4498	-31.2052
9116.8560	85.4661	-31.6294
9177.5130	85.4762	-32.0576
9238.5730	85.4851	-32.4006
9300.0390	85.4950	-32.7671
9361.9140	85.5028	-33.2371
9424.2010	85.5049	-33.7380
9486.9020	85.5030	-34.1254
9550.0210	85.5032	-34.3715
9613.5590	85.5091	-34.6480
9677.5200	85.5149	-34.9989
9741.9070	85.5216	-35.3315
9806.7220	85.5307	-35.6890
9871.9680	85.5402	-36.1265
9937.6490	85.5479	-36.6459
10003.7700	85.5518	-37.2233
10070.3200	85.5514	-37.8135
10137.3200	85.5475	-38.4722
10204.7700	85.5351	-39.2026
