Freq	Ohm	Deg
200.0000	3.0769	2.2870
201.3306	3.0772	2.3068
202.6701	3.0774	2.3258
204.0186	3.0777	2.3446
205.3759	3.0780	2.3635
206.7423	3.0782	2.3821
208.1178	3.0785	2.4005
209.5025	3.0788	2.4188
210.8964	3.0791	2.4370
212.2995	3.0793	2.4551
213.7120	3.0796	2.4732
215.1339	3.0799	2.4913
216.5652	3.0801	2.5094
218.0060	3.0804	2.5275
219.4565	3.0807	2.5456
220.9166	3.0809	2.5638
222.3864	3.0812	2.5819
223.8660	3.0815	2.5998
225.3554	3.0817	2.6163
226.8547	3.0820	2.6326
228.3641	3.0822	2.6501
229.8834	3.0824	2.6686
231.4129	3.0826	2.6877
232.9525	3.0828	2.7086
234.5024	3.0830	2.7318
236.0626	3.0832	2.7570
237.6332	3.0835	2.7835
239.2142	3.0839	2.8091
240.8057	3.0842	2.8339
242.4079	3.0847	2.8585
244.0207	3.0851	2.8812
245.6442	3.0856	2.9018
247.2785	3.0860	2.9232
248.9237	3.0865	2.9456
250.5799	3.0869	2.9668
252.2470	3.0874	2.9886
253.9253	3.0879	3.0096
255.6147	3.0884	3.0273
257.3154	3.0888	3.0461
259.0273	3.0893	3.0654
260.7507	3.0897	3.0822
262.4855	3.0901	3.1013
264.2319	3.0905	3.1193
265.9899	3.0907	3.1405
267.7596	3.0911	3.1701
269.5411	3.0916	3.1972
271.3344	3.0920	3.2217
273.1396	3.0925	3.2495
274.9569	3.0931	3.2776
276.7862	3.0937	3.3046
278.6277	3.0943	3.3268
280.4815	3.0949	3.3454
282.3476	3.0955	3.3676
284.2261	3.0960	3.3979
286.1172	3.0967	3.4274
288.0208	3.0975	3.4493
289.9370	3.0982	3.4696
291.8660	3.0988	3.4937
293.8079	3.0996	3.5197
295.7627	3.1004	3.5427
297.7304	3.1012	3.5510
299.7113	3.1017	3.5542
301.7054	3.1021	3.5704
303.7127	3.1025	3.5971
305.7333	3.1031	3.6218
307.7674	3.1035	3.6392
309.8151	3.1040	3.6593
311.8764	3.1043	3.6902
313.9513	3.1049	3.7267
316.0401	3.1056	3.7569
318.1428	3.1063	3.7811
320.2595	3.1069	3.8066
322.3902	3.1076	3.8380
324.5352	3.1084	3.8695
326.6944	3.1092	3.8970
328.8679	3.1100	3.9179
331.0560	3.1108	3.9371
333.2586	3.1115	3.9571
335.4758	3.1122	3.9780
337.7078	3.1129	3.9999
339.9546	3.1135	4.0211
342.2164	3.1141	4.0443
344.4933	3.1146	4.0762
346.7853	3.1153	4.1108
349.0925	3.1161	4.1419
351.4151	3.1169	4.1708
353.7531	3.1177	4.1980
356.1067	3.1185	4.2268
358.4760	3.1193	4.2556
360.8610	3.1202	4.2805
363.2619	3.1209	4.3042
365.6788	3.1217	4.3316
368.1117	3.1225	4.3632
370.5608	3.1233	4.3945
373.0263	3.1242	4.4214
375.5081	3.1250	4.4495
378.0064	3.1258	4.4790
380.5214	3.1266	4.5131
383.0531	3.1276	4.5509
385.6016	3.1286	4.5813
388.1671	3.1295	4.6119
390.7497	3.1305	4.6503
393.3494	3.1316	4.6853
395.9665	3.1327	4.7182
398.6009	3.1338	4.7471
401.2529	3.1349	4.7692
403.9225	3.1359	4.8017
406.6099	3.1370	4.8374
409.3152	3.1381	4.8648
412.0384	3.1391	4.8963
414.7798	3.1402	4.9327
417.5394	3.1414	4.9691
420.3174	3.1426	5.0052
423.1139	3.1438	5.0363
425.9289	3.1450	5.0655
428.7627	3.1462	5.0995
431.6154	3.1474	5.1338
434.4870	3.1487	5.1646
437.3778	3.1498	5.1988
440.2877	3.1511	5.2391
443.2171	3.1524	5.2776
446.1659	3.1538	5.3159
449.1343	3.1552	5.3532
452.1225	3.1567	5.3875
455.1306	3.1581	5.4253
