Freq	dB	Phase
200.0000	64.5592	163.1264
201.3306	64.6740	162.9957
202.6701	64.7888	162.8641
204.0186	64.9036	162.7316
205.3759	65.0184	162.5982
206.7423	65.1332	162.4639
208.1178	65.2480	162.3287
209.5025	65.3628	162.1925
210.8964	65.4776	162.0555
212.2995	65.5924	161.9175
213.7120	65.7072	161.7785
215.1339	65.8220	161.6386
216.5652	65.9368	161.4977
218.0060	66.0516	161.3559
219.4565	66.1664	161.2131
220.9166	66.2812	161.0693
222.3864	66.3960	160.9245
223.8660	66.5108	160.7787
225.3554	66.6256	160.6319
226.8547	66.7404	160.4841
228.3641	66.8552	160.3352
229.8834	66.9700	160.1853
231.4129	67.0848	160.0344
232.9525	67.1996	159.8824
234.5024	67.3144	159.7294
236.0626	67.4292	159.5753
237.6332	67.5440	159.4201
239.2142	67.6588	159.2638
240.8057	67.7736	159.1064
242.4079	67.8884	158.9479
244.0207	68.0032	158.7883
245.6442	68.1180	158.6275
247.2785	68.2328	158.4657
248.9237	68.3476	158.3026
250.5799	68.4624	158.1385
252.2470	68.5772	157.9731
253.9253	68.6920	157.8066
255.6147	68.8068	157.6389
257.3154	68.9216	157.4700
259.0273	69.0364	157.2998
260.7507	69.1512	157.1285
262.4855	69.2661	156.9559
264.2319	69.3809	156.7821
265.9899	69.4957	156.6071
267.7596	69.6105	156.4307
269.5411	69.7253	156.2531
271.3344	69.8401	156.0742
273.1396	69.9549	155.8941
274.9569	70.0697	155.7126
276.7862	70.1845	155.5297
278.6277	70.2993	155.3456
280.4815	70.4141	155.1601
282.3476	70.5289	154.9732
284.2261	70.6437	154.7850
286.1172	70.7585	154.5953
288.0208	70.8733	154.4043
289.9370	70.9881	154.2119
291.8660	71.1029	154.0180
293.8079	71.2177	153.8227
295.7627	71.3325	153.6259
297.7304	71.4473	153.4277
299.7113	71.5621	153.2280
301.7054	71.6769	153.0268
303.7127	71.7917	152.8241
305.7333	71.9065	152.6198
307.7674	72.0213	152.4140
309.8151	72.1361	152.2067
311.8764	72.2509	151.9978
313.9513	72.3657	151.7873
316.0401	72.4805	151.5751
318.1428	72.5953	151.3614
320.2595	72.7101	151.1460
322.3902	72.8249	150.9290
324.5352	72.9397	150.7103
326.6944	73.0545	150.4899
328.8679	73.1693	150.2677
331.0560	73.2841	150.0439
333.2586	73.3989	149.8183
335.4758	73.5137	149.5909
337.7078	73.6285	149.3618
339.9546	73.7433	149.1308
342.2164	73.8581	148.8981
344.4933	73.9729	148.6634
346.7853	74.0877	148.4269
349.0925	74.2025	148.1885
351.4151	74.3173	147.9482
353.7531	74.4321	147.7060
356.1067	74.5469	147.4618
358.4760	74.6617	147.2156
