Freq	Ohm	Deg
200.0000	6.6656	9.4129
201.3306	6.6718	9.5259
202.6701	6.6779	9.6487
204.0186	6.6841	9.7563
205.3759	6.6902	9.8579
206.7423	6.6964	9.9517
208.1178	6.7026	10.0446
209.5025	6.7088	10.1405
210.8964	6.7150	10.2333
212.2995	6.7212	10.3247
213.7120	6.7274	10.4150
215.1339	6.7336	10.5049
216.5652	6.7398	10.5946
218.0060	6.7460	10.6835
219.4565	6.7522	10.7722
220.9166	6.7585	10.8610
222.3864	6.7647	10.9499
223.8660	6.7709	11.0387
225.3554	6.7772	11.1277
226.8547	6.7834	11.2169
228.3641	6.7897	11.3062
229.8834	6.7960	11.3957
231.4129	6.8022	11.4852
232.9525	6.8085	11.5747
234.5024	6.8160	11.6642
236.0626	6.8237	11.7537
237.6332	6.8314	11.8432
239.2142	6.8393	11.9328
240.8057	6.8474	12.0224
242.4079	6.8555	12.1119
244.0207	6.8638	12.2013
245.6442	6.8723	12.2904
247.2785	6.8808	12.3794
248.9237	6.8895	12.4686
250.5799	6.8984	12.5583
252.2470	6.9073	12.6482
253.9253	6.9164	12.7382
255.6147	6.9257	12.8283
257.3154	6.9351	12.9185
259.0273	6.9447	13.0087
260.7507	6.9544	13.0992
262.4855	6.9643	13.1901
264.2319	6.9743	13.2816
265.9899	6.9845	13.3736
267.7596	6.9949	13.4658
269.5411	7.0055	13.5579
271.3344	7.0163	13.6499
273.1396	7.0272	13.7422
274.9569	7.0384	13.8347
276.7862	7.0497	13.9274
278.6277	7.0613	14.0200
280.4815	7.0730	14.1126
282.3476	7.0850	14.2054
284.2261	7.0971	14.2981
286.1172	7.1095	14.3909
288.0208	7.1221	14.4838
289.9370	7.1349	14.5768
291.8660	7.1479	14.6699
293.8079	7.1612	14.7625
295.7627	7.1747	14.8548
297.7304	7.1884	14.9473
299.7113	7.2023	15.0401
301.7054	7.2165	15.1332
303.7127	7.2309	15.2263
305.7333	7.2456	15.3192
307.7674	7.2605	15.4120
309.8151	7.2757	15.5049
311.8764	7.2911	15.5979
313.9513	7.3068	15.6913
316.0401	7.3228	15.7856
318.1428	7.3392	15.8804
320.2595	7.3559	15.9754
322.3902	7.3729	16.0701
324.5352	7.3903	16.1647
326.6944	7.4081	16.2591
328.8679	7.4262	16.3534
331.0560	7.4447	16.4471
333.2586	7.4636	16.5400
335.4758	7.4829	16.6319
337.7078	7.5026	16.7229
339.9546	7.5227	16.8127
342.2164	7.5432	16.9013
344.4933	7.5640	16.9887
346.7853	7.5853	17.0751
349.0925	7.6070	17.1600
351.4151	7.6290	17.2430
353.7531	7.6515	17.3243
356.1067	7.6743	17.4045
358.4760	7.6976	17.4840
360.8610	7.7212	17.5623
363.2619	7.7453	17.6391
365.6788	7.7699	17.7142
368.1117	7.7949	17.7875
370.5608	7.8203	17.8590
373.0263	7.8462	17.9284
375.5081	7.8726	17.9961
378.0064	7.8994	18.0623
380.5214	7.9268	18.1267
383.0531	7.9547	18.1881
385.6016	7.9831	18.2460
388.1671	8.0120	18.3002
390.7497	8.0413	18.3504
393.3494	8.0712	18.3964
395.9665	8.1015	18.4373
398.6009	8.1322	18.4726
401.2529	8.1632	18.5022
403.9225	8.1945	18.5259
406.6099	8.2261	18.5432
409.3152	8.2578	18.5543
412.0384	8.2897	18.5593
414.7798	8.3216	18.5586
417.5394	8.3535	18.5524
420.3174	8.3853	18.5407
423.1139	8.4170	18.5246
425.9289	8.4484	18.5055
428.7627	8.4797	18.4850
431.6154	8.5108	18.4636
434.4870	8.5418	18.4418
437.3778	8.5727	18.4206
440.2877	8.6034	18.4009
443.2171	8.6342	18.3839
446.1659	8.6649	18.3703
449.1343	8.6959	18.3609
452.1225	8.7271	18.3567
455.1306	8.7588	18.3575
458.1587	8.7910	18.3625
461.2069	8.8239	18.3709
464.2754	8.8576	18.3823
467.3643	8.8921	18.3962
470.4738	8.9275	18.4119
473.6040	8.9640	18.4280
476.7550	9.0016	18.4426
479.9269	9.0403	18.4549
483.1200	9.0801	18.4643
486.3343	9.1210	18.4697
489.5700	9.1630	18.4702
492.8272	9.2061	18.4651
496.1061	9.2502	18.4536
499.4068	9.2954	18.4351
502.7295	9.3415	18.4085
506.0742	9.3885	18.3738
