Freq	Ohm	Deg
200.0000	3.6045	10.4682
201.3306	3.6074	10.4577
202.6701	3.6081	10.5022
204.0186	3.6099	10.5561
205.3759	3.6117	10.6287
206.7423	3.6144	10.6918
208.1178	3.6157	10.7852
209.5025	3.6187	10.9002
210.8964	3.6210	10.9607
212.2995	3.6234	11.0406
213.7120	3.6258	11.1162
215.1339	3.6281	11.1826
216.5652	3.6301	11.2722
218.0060	3.6327	11.3683
219.4565	3.6350	11.4993
220.9166	3.6391	11.5897
222.3864	3.6417	11.6241
223.8660	3.6444	11.7077
225.3554	3.6473	11.7885
226.8547	3.6501	11.8665
228.3641	3.6529	11.9515
229.8834	3.6560	11.9774
231.4129	3.6573	12.0552
232.9525	3.6602	12.2169
234.5024	3.6638	12.3116
236.0626	3.6671	12.3890
237.6332	3.6705	12.4649
239.2142	3.6735	12.5424
240.8057	3.6768	12.6417
242.4079	3.6803	12.7190
244.0207	3.6834	12.7953
245.6442	3.6868	12.8883
247.2785	3.6902	12.9585
248.9237	3.6932	13.0523
250.5799	3.6969	13.1640
252.2470	3.7007	13.2353
253.9253	3.7039	13.3227
255.6147	3.7077	13.4065
257.3154	3.7109	13.4966
259.0273	3.7147	13.6278
260.7507	3.7192	13.7106
262.4855	3.7228	13.7742
264.2319	3.7265	13.8817
265.9899	3.7307	13.9877
267.7596	3.7348	14.0843
269.5411	3.7392	14.1704
271.3344	3.7432	14.2612
273.1396	3.7475	14.3682
274.9569	3.7519	14.4603
276.7862	3.7562	14.5618
278.6277	3.7609	14.6688
280.4815	3.7656	14.7554
282.3476	3.7700	14.8537
284.2261	3.7749	14.9460
286.1172	3.7792	15.0520
288.0208	3.7844	15.1657
289.9370	3.7892	15.2418
291.8660	3.7937	15.3422
293.8079	3.7985	15.4770
295.7627	3.8040	15.5806
297.7304	3.8089	15.6950
299.7113	3.8147	15.8235
301.7054	3.8203	15.9239
303.7127	3.8260	16.0339
305.7333	3.8318	16.1327
307.7674	3.8372	16.2369
309.8151	3.8430	16.3833
311.8764	3.8497	16.4899
313.9513	3.8553	16.5797
316.0401	3.8614	16.7277
318.1428	3.8682	16.8557
320.2595	3.8748	16.9709
322.3902	3.8817	17.0837
324.5352	3.8883	17.1819
326.6944	3.8948	17.3235
328.8679	3.9023	17.4483
331.0560	3.9090	17.5826
333.2586	3.9170	17.7454
335.4758	3.9251	17.8605
337.7078	3.9329	17.9820
339.9546	3.9411	18.1002
342.2164	3.9490	18.2222
344.4933	3.9573	18.3920
346.7853	3.9668	18.4957
349.0925	3.9746	18.5992
351.4151	3.9835	18.7865
353.7531	3.9935	18.9164
356.1067	4.0026	19.0327
358.4760	4.0125	19.1416
360.8610	4.0213	19.2459
363.2619	4.0305	19.4145
365.6788	4.0408	19.5471
368.1117	4.0502	19.6730
370.5608	4.0604	19.8542
373.0263	4.0714	20.0137
375.5081	4.0824	20.1997
378.0064	4.0952	20.3734
380.5214	4.1076	20.4613
383.0531	4.1190	20.5874
385.6016	4.1315	20.7033
388.1671	4.1425	20.8378
390.7497	4.1551	21.0450
393.3494	4.1686	21.1717
395.9665	4.1809	21.3103
398.6009	4.1945	21.5215
401.2529	4.2093	21.6729
403.9225	4.2234	21.8295
406.6099	4.2389	21.9550
409.3152	4.2526	22.0908
412.0384	4.2681	22.3181
414.7798	4.2849	22.4474
417.5394	4.2998	22.5975
420.3174	4.3168	22.8498
423.1139	4.3357	23.0201
425.9289	4.3536	23.1856
428.7627	4.3734	23.3184
431.6154	4.3912	23.4523
434.4870	4.4109	23.6918
437.3778	4.4325	23.8190
440.2877	4.4518	23.9480
443.2171	4.4732	24.1888
446.1659	4.4964	24.3447
449.1343	4.5186	24.4914
452.1225	4.5427	24.6013
455.1306	4.5643	24.7231
458.1587	4.5880	24.9770
461.2069	4.6144	25.1138
464.2754	4.6383	25.2586
467.3643	4.6652	25.5146
470.4738	4.6939	25.6874
473.6040	4.7223	25.9287
476.7550	4.7556	26.1431
479.9269	4.7880	26.1858
483.1200	4.8189	26.3185
486.3343	4.8529	26.3969
489.5700	4.8832	26.5073
492.8272	4.9179	26.7817
496.1061	4.9558	26.8464
499.4068	4.9896	26.9196
502.7295	5.0272	27.1815
506.0742	5.0688	27.3118
509.4413	5.1089	27.4339
512.8307	5.1533	27.4843
516.2427	5.1938	27.4756
519.6773	5.2364	27.6564
523.1349	5.2836	27.6878
526.6154	5.3266	27.6717
530.1191	5.3725	27.8097
533.6461	5.4212	27.8740
537.1965	5.4696	27.9724
540.7706	5.5229	27.9984
544.3685	5.5728	28.0202
547.9903	5.6277	28.2265
551.6362	5.6884	28.2297
555.3064	5.7449	28.2593
559.0009	5.8093	28.4424
562.7201	5.8781	28.3750
566.4640	5.9437	28.3135
570.2328	6.0156	28.1754
574.0267	6.0813	28.0266
577.8458	6.1535	28.1149
581.6904	6.2327	27.9073
585.5605	6.3041	27.6783
589.4563	6.3825	27.7351
593.3781	6.4694	27.5592
597.3260	6.5521	27.4221
601.3001	6.6477	27.2632
605.3007	6.7405	26.7423
609.3279	6.8284	26.3720
613.3819	6.9245	25.8778
617.4629	7.0102	25.3196
621.5710	7.1017	25.0550
625.7064	7.2017	24.4646
629.8694	7.2899	23.8140
634.0601	7.3849	23.4447
638.2786	7.4872	22.8105
642.5252	7.5822	22.1196
646.8001	7.6842	21.3243
651.1034	7.7745	20.4346
655.4353	7.8678	19.7868
659.7961	7.9677	18.8305
664.1858	8.0525	17.7859
668.6048	8.1403	16.9861
673.0532	8.2320	15.9600
677.5312	8.3137	14.8405
682.0389	8.3961	13.6114
686.5767	8.4636	12.2874
691.1446	8.5270	11.1518
695.7430	8.5909	9.8247
700.3719	8.6389	8.3531
705.0316	8.6787	7.0231
709.7223	8.7140	5.6548
714.4443	8.7393	4.2265
719.1976	8.7570	2.7253
723.9826	8.7602	1.1902
728.7994	8.7537	-0.2540
733.6483	8.7392	-1.6549
738.5294	8.7177	-3.1093
743.4430	8.6838	-4.5639
748.3893	8.6421	-5.8751
753.3685	8.5975	-7.2553
758.3808	8.5392	-8.7341
763.4265	8.4697	-10.0061
768.5058	8.3996	-11.2271
773.6188	8.3195	-12.3423
778.7659	8.2439	-13.4696
783.9472	8.1561	-14.7725
789.1629	8.0586	-15.7406
794.4134	7.9696	-16.6803
799.6988	7.8705	-17.8471
805.0194	7.7622	-18.7198
810.3754	7.6608	-19.5428
815.7670	7.5500	-20.2166
821.1944	7.4522	-20.8067
826.6580	7.3479	-21.6665
832.1580	7.2369	-22.1207
837.6945	7.1419	-22.5042
843.2679	7.0420	-23.2229
848.8783	6.9355	-23.6324
854.5261	6.8402	-23.9864
860.2114	6.7388	-24.2184
865.9346	6.6526	-24.3413
871.6959	6.5646	-24.7821
877.4955	6.4721	-24.8908
883.3336	6.3946	-24.8533
889.2106	6.3194	-25.2673
895.1268	6.2341	-25.5418
901.0822	6.1580	-25.7539
907.0773	6.0739	-25.9769
913.1123	5.9962	-25.8438
919.1875	5.9269	-25.8512
925.3030	5.8552	-25.8492
931.4593	5.7911	-25.7046
937.6565	5.7308	-25.7646
943.8949	5.6677	-25.6829
950.1748	5.6150	-25.5911
956.4966	5.5603	-25.8319
962.8603	5.5007	-25.9692
969.2665	5.4446	-26.1390
975.7152	5.3822	-26.5205
982.2069	5.3130	-26.6871
988.7417	5.2461	-26.6232
995.3200	5.1803	-26.4668
1001.9420	5.1182	-26.2154
1008.6080	5.0592	-25.9409
1015.3190	5.0029	-25.5745
1022.0740	4.9513	-24.8649
1028.8740	4.9153	-24.2785
1035.7190	4.8785	-24.1030
1042.6100	4.8406	-23.7740
1049.5470	4.8088	-23.4387
1056.5300	4.7765	-23.2980
1063.5590	4.7429	-23.0669
1070.6350	4.7127	-22.8929
1077.7580	4.6787	-22.7002
1084.9290	4.6485	-22.3305
1092.1470	4.6213	-22.0794
1099.4130	4.5929	-21.7815
1106.7280	4.5692	-21.4716
1114.0910	4.5449	-21.2845
1121.5040	4.5207	-20.9984
1128.9650	4.4997	-20.7434
1136.4770	4.4779	-20.6086
1144.0380	4.4549	-20.3852
1151.6490	4.4343	-20.1489
1159.3120	4.4129	-19.8800
1167.0250	4.3951	-19.6270
1174.7890	4.3758	-19.4550
1182.6050	4.3571	-19.1190
1190.4730	4.3430	-18.8659
1198.3940	4.3267	-18.7807
1206.3670	4.3092	-18.5934
1214.3930	4.2932	-18.3868
1222.4730	4.2768	-18.1553
1230.6060	4.2626	-17.9291
1238.7940	4.2479	-17.8367
1247.0360	4.2307	-17.6045
1255.3330	4.2177	-17.2980
1263.6850	4.2049	-17.1319
1272.0920	4.1913	-16.9288
1280.5560	4.1793	-16.7429
1289.0750	4.1659	-16.5661
1297.6520	4.1537	-16.3189
1306.2860	4.1427	-16.1180
1314.9770	4.1312	-15.8953
1323.7250	4.1217	-15.6866
1332.5320	4.1114	-15.5745
1341.3980	4.0997	-15.3771
1350.3230	4.0902	-15.1262
1359.3070	4.0811	-14.9439
1368.3500	4.0719	-14.7572
1377.4540	4.0633	-14.5963
1386.6190	4.0536	-14.3890
1395.8440	4.0463	-14.1515
1405.1310	4.0389	-13.9936
1414.4800	4.0311	-13.8084
1423.8910	4.0243	-13.6231
1433.3640	4.0173	-13.4744
1442.9010	4.0101	-13.2856
1452.5010	4.0041	-13.1110
1462.1640	3.9975	-12.9327
1471.8920	3.9921	-12.7467
1481.6850	3.9866	-12.6253
1491.5430	3.9803	-12.4765
1501.4670	3.9748	-12.3122
1511.4560	3.9692	-12.1777
1521.5130	3.9634	-12.0263
1531.6350	3.9581	-11.8895
1541.8260	3.9520	-11.7509
1552.0840	3.9465	-11.5647
1562.4100	3.9418	-11.3940
1572.8050	3.9369	-11.2282
1583.2700	3.9328	-11.0768
1593.8030	3.9282	-10.9368
1604.4070	3.9240	-10.7480
1615.0820	3.9208	-10.5607
1625.8270	3.9180	-10.4180
1636.6440	3.9150	-10.2845
1647.5330	3.9122	-10.1592
1658.4950	3.9090	-10.0173
1669.5290	3.9067	-9.8828
1680.6370	3.9038	-9.7926
1691.8180	3.9005	-9.6834
1703.0740	3.8974	-9.5626
1714.4050	3.8942	-9.4476
1725.8120	3.8909	-9.3110
1737.2940	3.8882	-9.1755
1748.8520	3.8854	-9.0423
1760.4880	3.8831	-8.9073
1772.2010	3.8808	-8.7952
1783.9920	3.8783	-8.6722
1795.8610	3.8763	-8.5467
1807.8090	3.8742	-8.4333
1819.8370	3.8722	-8.3125
1831.9450	3.8704	-8.2071
1844.1330	3.8681	-8.0934
1856.4030	3.8665	-7.9625
1868.7540	3.8649	-7.8523
1881.1870	3.8633	-7.7334
1893.7030	3.8622	-7.6258
1906.3020	3.8607	-7.5396
1918.9850	3.8591	-7.4262
1931.7520	3.8580	-7.3197
1944.6050	3.8566	-7.2324
1957.5430	3.8552	-7.1300
1970.5670	3.8540	-7.0364
1983.6770	3.8524	-6.9307
1996.8750	3.8515	-6.8168
2010.1610	3.8505	-6.7253
2023.5350	3.8495	-6.6261
2036.9980	3.8487	-6.5232
2050.5500	3.8480	-6.4365
2064.1930	3.8471	-6.3482
2077.9270	3.8464	-6.2612
2091.7520	3.8455	-6.1751
2105.6690	3.8448	-6.0800
2119.6780	3.8442	-6.0024
2133.7810	3.8433	-5.9348
2147.9770	3.8423	-5.8499
2162.2680	3.8416	-5.7565
2176.6540	3.8409	-5.6800
2191.1360	3.8401	-5.6081
2205.7140	3.8392	-5.5328
2220.3890	3.8383	-5.4483
2235.1620	3.8376	-5.3537
2250.0330	3.8371	-5.2745
2265.0030	3.8365	-5.2108
2280.0720	3.8356	-5.1338
2295.2420	3.8351	-5.0504
2310.5130	3.8345	-4.9838
2325.8850	3.8337	-4.9195
2341.3600	3.8328	-4.8461
2356.9380	3.8320	-4.7632
2372.6190	3.8315	-4.6791
2388.4040	3.8310	-4.6101
2404.2950	3.8303	-4.5436
2420.2910	3.8297	-4.4635
2436.3940	3.8293	-4.3846
2452.6040	3.8289	-4.3251
2468.9220	3.8283	-4.2705
2485.3480	3.8275	-4.2124
2501.8830	3.8265	-4.1460
2518.5290	3.8258	-4.0768
2535.2850	3.8248	-4.0070
2552.1530	3.8240	-3.9276
2569.1330	3.8233	-3.8498
2586.2260	3.8228	-3.7811
2603.4330	3.8221	-3.7059
2620.7540	3.8217	-3.6351
2638.1910	3.8210	-3.5718
2655.7430	3.8204	-3.5047
2673.4120	3.8197	-3.4438
2691.1990	3.8188	-3.3708
2709.1040	3.8181	-3.2873
2727.1290	3.8176	-3.2092
2745.2730	3.8170	-3.1193
2763.5380	3.8170	-3.0218
2781.9240	3.8171	-2.9354
2800.4330	3.8174	-2.8434
2819.0650	3.8181	-2.7507
2837.8210	3.8190	-2.6742
2856.7010	3.8200	-2.6037
2875.7080	3.8212	-2.5441
2894.8400	3.8222	-2.5063
2914.1000	3.8229	-2.4877
2933.4880	3.8230	-2.4881
2953.0060	3.8223	-2.4811
2972.6530	3.8213	-2.4502
2992.4300	3.8201	-2.4188
3012.3400	3.8184	-2.3822
3032.3810	3.8166	-2.3149
3052.5560	3.8151	-2.2192
3072.8660	3.8142	-2.1145
3093.3100	3.8137	-2.0206
3113.8910	3.8135	-1.9346
3134.6080	3.8135	-1.8510
3155.4630	3.8137	-1.7783
3176.4570	3.8139	-1.7172
3197.5910	3.8140	-1.6648
3218.8650	3.8138	-1.6081
3240.2810	3.8138	-1.5551
3261.8390	3.8134	-1.5179
3283.5410	3.8126	-1.4668
3305.3870	3.8119	-1.4012
3327.3790	3.8111	-1.3407
3349.5160	3.8102	-1.2595
3371.8020	3.8098	-1.1744
3394.2350	3.8092	-1.1020
3416.8180	3.8087	-0.9992
3439.5500	3.8089	-0.8983
3462.4340	3.8091	-0.8114
3485.4710	3.8095	-0.7109
3508.6600	3.8104	-0.6207
3532.0040	3.8112	-0.5410
3555.5030	3.8122	-0.4555
3579.1590	3.8134	-0.3856
3602.9720	3.8142	-0.3144
3626.9430	3.8154	-0.2208
3651.0740	3.8169	-0.1426
3675.3660	3.8182	-0.0821
3699.8190	3.8195	-0.0101
