Freq	dB	Phase
200.0000	68.0653	-164.9137
201.3306	68.2030	-165.0784
202.6701	68.3407	-165.2441
204.0186	68.4784	-165.4110
205.3759	68.6160	-165.5789
206.7423	68.7537	-165.7479
208.1178	68.8914	-165.9179
209.5025	69.0291	-166.0890
210.8964	69.1668	-166.2612
212.2995	69.3045	-166.4345
213.7120	69.4422	-166.6088
215.1339	69.5798	-166.7841
216.5652	69.7175	-166.9604
218.0060	69.8552	-167.1376
219.4565	69.9929	-167.3158
220.9166	70.1306	-167.4947
222.3864	70.2683	-167.6744
223.8660	70.4060	-167.8546
225.3554	70.5436	-168.0352
226.8547	70.6813	-168.2157
228.3641	70.8190	-168.3957
229.8834	70.9567	-168.5741
231.4129	71.0944	-168.7482
232.9525	71.2321	-168.8312
234.5024	71.3763	-168.9151
236.0626	71.5207	-169.0950
237.6332	71.6655	-169.3290
239.2142	71.8075	-169.5757
240.8057	71.9496	-169.7902
242.4079	72.0917	-170.0139
244.0207	72.2334	-170.2422
245.6442	72.3753	-170.4724
247.2785	72.5170	-170.7261
248.9237	72.6576	-170.9984
250.5799	72.7972	-171.2687
252.2470	72.9360	-171.5363
253.9253	73.0743	-171.7998
255.6147	73.2124	-172.0638
257.3154	73.3500	-172.3339
259.0273	73.4872	-172.6138
260.7507	73.6236	-172.9047
262.4855	73.7590	-173.2055
264.2319	73.8932	-173.5131
265.9899	74.0262	-173.8187
267.7596	74.1581	-174.1233
269.5411	74.2889	-174.4341
271.3344	74.4183	-174.7455
273.1396	74.5464	-175.0487
274.9569	74.6735	-175.3494
276.7862	74.7993	-175.6447
278.6277	74.9241	-175.9234
280.4815	75.0483	-176.1886
282.3476	75.1721	-176.4435
284.2261	75.2955	-176.6856
286.1172	75.4188	-176.9144
288.0208	75.5423	-177.1311
289.9370	75.6660	-177.3385
291.8660	75.7901	-177.5384
293.8079	75.9145	-177.7292
295.7627	76.0394	-177.9074
297.7304	76.1652	-178.0733
299.7113	76.2920	-178.2338
301.7054	76.4196	-178.3893
303.7127	76.5483	-178.5340
305.7333	76.6784	-178.6727
307.7674	76.8098	-178.8096
309.8151	76.9426	-178.9448
311.8764	77.0769	-179.0844
313.9513	77.2123	-179.2273
316.0401	77.3490	-179.3728
318.1428	77.4870	-179.5253
320.2595	77.6261	-179.6836
322.3902	77.7663	-179.8504
324.5352	77.9074	179.9683
326.6944	78.0492	179.7739
328.8679	78.1915	179.5680
331.0560	78.3341	179.3526
333.2586	78.4771	179.1234
335.4758	78.6201	178.8742
337.7078	78.7627	178.6076
339.9546	78.9046	178.3276
342.2164	79.0456	178.0410
344.4933	79.1859	177.7516
346.7853	79.3255	177.4561
349.0925	79.4641	177.1556
351.4151	79.6019	176.8538
353.7531	79.7387	176.5517
356.1067	79.8747	176.2536
358.4760	80.0099	175.9636
360.8610	80.1448	175.6814
363.2619	80.2792	175.4071
365.6788	80.4135	175.1407
368.1117	80.5478	174.8847
370.5608	80.6823	174.6404
373.0263	80.8173	174.4059
375.5081	80.9529	174.1820
378.0064	81.0893	173.9671
380.5214	81.2267	173.7630
383.0531	81.3655	173.5728
385.6016	81.5060	173.3918
388.1671	81.6484	173.2139
390.7497	81.7928	173.0348
393.3494	81.9391	172.8502
395.9665	82.0873	172.6550
398.6009	82.2371	172.4485
401.2529	82.3885	172.2299
403.9225	82.5413	171.9954
406.6099	82.6953	171.7421
409.3152	82.8502	171.4684
412.0384	83.0057	171.1755
414.7798	83.1615	170.8633
417.5394	83.3175	170.5317
420.3174	83.4735	170.1805
423.1139	83.6290	169.8102
425.9289	83.7840	169.4226
428.7627	83.9382	169.0189
431.6154	84.0915	168.6020
434.4870	84.2437	168.1749
437.3778	84.3948	167.7379
440.2877	84.5447	167.2930
443.2171	84.6933	166.8456
446.1659	84.8407	166.3996
449.1343	84.9872	165.9576
452.1225	85.1328	165.5223
455.1306	85.2779	165.0948
458.1587	85.4227	164.6743
461.2069	85.5673	164.2622
464.2754	85.7121	163.8575
467.3643	85.8572	163.4593
470.4738	86.0027	163.0676
473.6040	86.1489	162.6826
476.7550	86.2960	162.3045
479.9269	86.4441	161.9333
483.1200	86.5936	161.5671
486.3343	86.7447	161.2024
489.5700	86.8973	160.8370
492.8272	87.0517	160.4682
496.1061	87.2078	160.0935
499.4068	87.3658	159.7103
502.7295	87.5255	159.3175
506.0742	87.6870	158.9114
509.4413	87.8501	158.4867
512.8307	88.0148	158.0419
516.2427	88.1807	157.5749
519.6773	88.3476	157.0830
523.1349	88.5154	156.5666
526.6154	88.6837	156.0280
530.1191	88.8525	155.4672
533.6461	89.0217	154.8817
537.1965	89.1910	154.2707
540.7706	89.3604	153.6333
544.3685	89.5295	152.9675
547.9903	89.6982	152.2714
551.6362	89.8662	151.5446
555.3064	90.0330	150.7870
559.0009	90.1986	149.9983
562.7201	90.3624	149.1789
566.4640	90.5243	148.3284
570.2328	90.6838	147.4475
574.0267	90.8407	146.5391
577.8458	90.9946	145.6081
581.6904	91.1455	144.6607
585.5605	91.2933	143.6998
589.4563	91.4381	142.7281
593.3781	91.5799	141.7482
597.3260	91.7188	140.7606
601.3001	91.8547	139.7664
605.3007	91.9879	138.7677
609.3279	92.1183	137.7674
613.3819	92.2461	136.7672
617.4629	92.3716	135.7668
621.5710	92.4947	134.7665
625.7064	92.6158	133.7664
629.8694	92.7349	132.7629
634.0601	92.8520	131.7532
638.2786	92.9669	130.7361
642.5252	93.0797	129.7111
646.8001	93.1901	128.6795
651.1034	93.2981	127.6447
655.4353	93.4039	126.6089
659.7961	93.5073	125.5729
664.1858	93.6086	124.5367
668.6048	93.7078	123.5000
673.0532	93.8050	122.4622
677.5312	93.9001	121.4232
682.0389	93.9932	120.3829
686.5767	94.0842	119.3410
691.1446	94.1733	118.2968
695.7430	94.2603	117.2484
700.3719	94.3453	116.1944
705.0316	94.4279	115.1343
709.7223	94.5082	114.0678
714.4443	94.5858	112.9945
719.1976	94.6607	111.9167
723.9826	94.7326	110.8401
728.7994	94.8018	109.7694
733.6483	94.8682	108.7085
738.5294	94.9322	107.6604
743.4430	94.9941	106.6247
748.3893	95.0539	105.5991
753.3685	95.1119	104.5814
758.3808	95.1680	103.5710
763.4265	95.2224	102.5685
768.5058	95.2750	101.5741
773.6188	95.3260	100.5882
778.7659	95.3755	99.6101
783.9472	95.4234	98.6382
789.1629	95.4697	97.6726
794.4134	95.5145	96.7145
799.6988	95.5577	95.7660
805.0194	95.5996	94.8309
810.3754	95.6403	93.9108
815.7670	95.6801	93.0046
821.1944	95.7191	92.1115
826.6580	95.7576	91.2308
832.1580	95.7956	90.3618
837.6945	95.8334	89.5047
843.2679	95.8712	88.6587
848.8783	95.9092	87.8209
854.5261	95.9475	86.9870
860.2114	95.9862	86.1515
865.9346	96.0251	85.3078
871.6959	96.0639	84.4497
877.4955	96.1022	83.5738
883.3336	96.1396	82.6782
889.2106	96.1756	81.7630
895.1268	96.2097	80.8319
901.0822	96.2417	79.8911
907.0773	96.2714	78.9463
913.1123	96.2988	78.0020
919.1875	96.3241	77.0585
925.3030	96.3472	76.1150
931.4593	96.3681	75.1715
937.6565	96.3868	74.2275
943.8949	96.4030	73.2825
950.1748	96.4168	72.3374
956.4966	96.4280	71.3931
962.8603	96.4365	70.4512
969.2665	96.4420	69.5159
975.7152	96.4448	68.5923
982.2069	96.4447	67.6867
988.7417	96.4423	66.8080
995.3200	96.4379	65.9617
1001.9420	96.4323	65.1483
1008.6080	96.4260	64.3645
1015.3190	96.4194	63.6067
1022.0740	96.4128	62.8701
1028.8740	96.4064	62.1482
1035.7190	96.4004	61.4361
1042.6100	96.3946	60.7295
1049.5470	96.3889	60.0257
1056.5300	96.3832	59.3230
1063.5590	96.3773	58.6198
1070.6350	96.3710	57.9182
1077.7580	96.3644	57.2220
1084.9290	96.3575	56.5330
1092.1470	96.3505	55.8488
1099.4130	96.3433	55.1613
1106.7280	96.3358	54.4642
1114.0910	96.3274	53.7550
1121.5040	96.3178	53.0342
1128.9650	96.3067	52.3012
1136.4770	96.2935	51.5543
1144.0380	96.2778	50.7972
1151.6490	96.2592	50.0447
1159.3120	96.2379	49.3123
1167.0250	96.2146	48.6031
1174.7890	96.1896	47.9102
1182.6050	96.1630	47.2272
1190.4730	96.1346	46.5537
1198.3940	96.1046	45.8892
1206.3670	96.0726	45.2310
1214.3930	96.0385	44.5798
1222.4730	96.0021	43.9440
1230.6060	95.9635	43.3324
1238.7940	95.9231	42.7475
1247.0360	95.8810	42.1925
1255.3330	95.8375	41.6795
1263.6850	95.7935	41.2199
1272.0920	95.7501	40.8123
1280.5560	95.7080	40.4429
1289.0750	95.6676	40.1002
1297.6520	95.6289	39.7817
1306.2860	95.5922	39.4860
1314.9770	95.5577	39.2009
1323.7250	95.5249	38.9142
1332.5320	95.4934	38.6286
1341.3980	95.4629	38.3573
1350.3230	95.4339	38.1012
1359.3070	95.4062	37.8527
1368.3500	95.3798	37.6149
1377.4540	95.3547	37.4048
1386.6190	95.3320	37.2322
1395.8440	95.3126	37.0797
1405.1310	95.2965	36.9242
1414.4800	95.2832	36.7532
1423.8910	95.2722	36.5631
1433.3640	95.2629	36.3507
1442.9010	95.2546	36.1135
1452.5010	95.2467	35.8566
1462.1640	95.2390	35.5873
1471.8920	95.2311	35.3078
1481.6850	95.2228	35.0195
1491.5430	95.2139	34.7303
1501.4670	95.2045	34.4475
1511.4560	95.1949	34.1718
1521.5130	95.1852	33.9007
1531.6350	95.1755	33.6257
1541.8260	95.1651	33.3471
1552.0840	95.1542	33.0747
1562.4100	95.1428	32.8168
1572.8050	95.1314	32.5655
1583.2700	95.1194	32.3176
1593.8030	95.1071	32.0871
1604.4070	95.0948	31.8852
1615.0820	95.0832	31.7194
1625.8270	95.0732	31.5885
1636.6440	95.0657	31.4782
1647.5330	95.0605	31.3733
1658.4950	95.0575	31.2674
1669.5290	95.0565	31.1618
1680.6370	95.0577	31.0575
1691.8180	95.0608	30.9450
1703.0740	95.0654	30.8201
1714.4050	95.0712	30.6990
1725.8120	95.0788	30.5955
1737.2940	95.0888	30.4963
1748.8520	95.1012	30.3813
1760.4880	95.1152	30.2456
1772.2010	95.1306	30.0938
1783.9920	95.1470	29.9284
1795.8610	95.1645	29.7496
1807.8090	95.1827	29.5540
1819.8370	95.2014	29.3442
1831.9450	95.2204	29.1281
1844.1330	95.2400	28.8987
1856.4030	95.2597	28.6479
1868.7540	95.2791	28.3883
1881.1870	95.2985	28.1267
1893.7030	95.3181	27.8521
1906.3020	95.3373	27.5561
1918.9850	95.3557	27.2510
1931.7520	95.3736	26.9482
1944.6050	95.3913	26.6427
1957.5430	95.4090	26.3142
1970.5670	95.4253	25.9496
1983.6770	95.4395	25.5594
1996.8750	95.4510	25.1669
2010.1610	95.4603	24.7973
2023.5350	95.4684	24.4644
2036.9980	95.4764	24.1606
2050.5500	95.4847	23.8703
2064.1930	95.4937	23.5843
2077.9270	95.5031	23.2953
2091.7520	95.5129	22.9904
2105.6690	95.5221	22.6636
2119.6780	95.5302	22.3235
2133.7810	95.5366	21.9821
2147.9770	95.5414	21.6572
2162.2680	95.5450	21.3694
2176.6540	95.5481	21.1418
2191.1360	95.5516	21.5988
2205.7140	95.6036	21.9473
2220.3890	95.6505	21.4955
2235.1620	95.6936	20.7782
2250.0330	95.7196	19.5874
2265.0030	95.7109	18.5445
2280.0720	95.6954	18.1489
2295.2420	95.6889	17.9350
2310.5130	95.6850	17.6500
2325.8850	95.6827	17.3344
2341.3600	95.6796	16.9741
2356.9380	95.6738	16.5002
2372.6190	95.6562	16.3376
2388.4040	95.6537	16.9906
2404.2950	95.6945	18.1171
2420.2910	95.7859	18.4783
2436.3940	95.8735	17.6593
2452.6040	95.9391	16.4364
2468.9220	95.9844	15.0943
2485.3480	96.0090	13.1074
2501.8830	95.9718	10.8647
2518.5290	95.8942	9.4193
2535.2850	95.8047	8.8332
2552.1530	95.7244	8.9036
2569.1330	95.6669	9.5812
2586.2260	95.6543	10.2857
2603.4330	95.6648	10.3174
2620.7540	95.6750	9.9646
2638.1910	95.6878	9.1879
2655.7430	95.6767	7.9780
2673.4120	95.6411	6.8079
2691.1990	95.5851	6.2796
2709.1040	95.5493	6.0263
2727.1290	95.5120	5.2150
2745.2730	95.4556	3.9732
2763.5380	95.3683	2.2561
2781.9240	95.2238	1.1328
2800.4330	95.0810	1.2609
2819.0650	94.9571	1.8087
2837.8210	94.8496	2.8901
2856.7010	94.7871	4.6100
2875.7080	94.7805	6.2753
2894.8400	94.8154	7.4007
2914.1000	94.8757	7.6968
2933.4880	94.9321	6.8827
2953.0060	94.9491	5.2600
2972.6530	94.9159	3.4300
2992.4300	94.8333	1.3573
3012.3400	94.6761	0.3990
3032.3810	94.5335	1.5029
3052.5560	94.4448	3.6902
3072.8660	94.4336	5.2750
3093.3100	94.4270	5.9065
3113.8910	94.4294	6.7263
3134.6080	94.4523	7.9090
3155.4630	94.5124	9.3028
3176.4570	94.6146	9.8018
3197.5910	94.7001	9.1654
3218.8650	94.7576	8.6565
3240.2810	94.8187	7.9244
3261.8390	94.8428	6.7058
3283.5410	94.8394	5.5838
3305.3870	94.8069	4.1755
3327.3790	94.7198	3.2764
3349.5160	94.6270	3.9607
3371.8020	94.5757	5.8467
3394.2350	94.5877	8.0934
3416.8180	94.6558	11.3156
3439.5500	94.8607	13.8407
3462.4340	95.0902	13.1806
3485.4710	95.2559	9.4586
3508.6600	95.2479	6.5610
3532.0040	95.2401	6.9498
3555.5030	95.2866	8.2529
3579.1590	95.3896	8.6351
3602.9720	95.4813	8.1575
3626.9430	95.5754	7.5959
3651.0740	95.6623	6.6251
3675.3660	95.7307	5.1488
3699.8190	95.7626	3.0483
3724.4340	95.7316	1.7414
3749.2140	95.7156	2.2064
3774.1580	95.7584	2.5558
3799.2680	95.8054	1.9089
3824.5460	95.8442	0.7031
3849.9910	95.8549	-0.9843
3875.6060	95.8268	-2.6888
3901.3910	95.7677	-3.5939
3927.3480	95.7213	-3.7419
3953.4780	95.6908	-3.7650
3979.7810	95.6757	-3.0772
4006.2600	95.7299	-3.0972
4032.9140	95.7575	-5.0386
4059.7460	95.7278	-7.6658
4086.7560	95.6312	-10.2024
4113.9460	95.4815	-11.4917
4141.3170	95.3453	-12.1257
4168.8700	95.1903	-13.5672
4196.6070	94.9729	-14.2200
4224.5280	94.7707	-11.7192
4252.6350	94.7109	-8.0108
4280.9280	94.7405	-6.2192
4309.4100	94.7762	-5.7426
4338.0820	94.8196	-5.5354
4366.9440	94.8643	-5.8978
4395.9980	94.8873	-7.1048
