Freq	dB	Phase
20.0000	60.7180	161.2543
20.1912	60.8827	161.0540
20.3842	61.0474	160.8517
20.5790	61.2121	160.6472
20.7757	61.3768	160.4405
20.9743	61.5415	160.2317
21.1748	61.7061	160.0207
21.3772	61.8708	159.8075
21.5815	62.0355	159.5920
21.7878	62.2002	159.3742
21.9960	62.3649	159.1540
22.2063	62.5296	158.9315
22.4185	62.6943	158.7066
22.6328	62.8590	158.4793
22.8492	63.0237	158.2496
23.0676	63.1884	158.0173
23.2881	63.3531	157.7825
23.5107	63.5178	157.5451
23.7354	63.6825	157.3051
23.9623	63.8472	157.0625
24.1913	64.0118	156.8172
24.4225	64.1765	156.5692
24.6560	64.3412	156.3184
24.8916	64.5059	156.0647
25.1296	64.6706	155.8082
25.3698	64.8353	155.5488
25.6123	65.0000	155.2865
25.8571	65.1647	155.0211
26.1042	65.3294	154.7527
26.3537	65.4941	154.4811
26.6056	65.6588	154.2064
26.8599	65.8235	153.9284
27.1167	65.9882	153.6471
27.3759	66.1528	153.3624
27.6375	66.3175	153.0743
27.9017	66.4822	152.7827
28.1684	66.6469	152.4874
28.4377	66.8116	152.1884
28.7095	66.9763	151.8855
28.9839	67.1410	151.5786
29.2609	67.3057	151.2676
29.5406	67.4703	150.9524
29.8230	67.6349	150.6328
30.1080	67.7995	150.3087
30.3958	67.9641	149.9799
30.6864	68.1285	149.6461
30.9797	68.2930	149.3073
31.2758	68.4573	148.9634
31.5747	68.6214	148.6141
31.8765	68.7855	148.2594
32.1812	68.9494	147.8993
32.4888	69.1130	147.5337
32.7994	69.2765	147.1627
33.1129	69.4397	146.7862
33.4294	69.6027	146.4043
33.7489	69.7654	146.0170
34.0715	69.9278	145.6243
34.3972	70.0899	145.2262
34.7260	70.2517	144.8226
35.0579	70.4132	144.4135
35.3930	70.5743	143.9988
35.7313	70.7351	143.5784
36.0728	70.8955	143.1522
36.4176	71.0554	142.7203
36.7657	71.2150	142.2824
37.1171	71.3740	141.8385
37.4719	71.5326	141.3885
37.8301	71.6906	140.9325
38.1917	71.8481	140.4704
38.5567	72.0049	140.0022
38.9253	72.1611	139.5280
39.2973	72.3166	139.0480
39.6730	72.4713	138.5624
40.0522	72.6253	138.0713
40.4350	72.7784	137.5751
40.8215	72.9308	137.0742
41.2117	73.0822	136.5688
41.6056	73.2328	136.0594
42.0033	73.3825	135.5464
42.4048	73.5313	135.0301
42.8101	73.6791	134.5112
43.2193	73.8261	133.9902
43.6324	73.9722	133.4675
44.0495	74.1174	132.9438
44.4705	74.2618	132.4195
44.8956	74.4054	131.8949
45.3247	74.5483	131.3702
45.7579	74.6906	130.8456
46.1953	74.8322	130.3211
46.6369	74.9733	129.7967
47.0826	75.1138	129.2723
47.5327	75.2539	128.7478
47.9870	75.3935	128.2230
48.4457	75.5327	127.6978
48.9087	75.6715	127.1723
49.3762	75.8099	126.6465
49.8482	75.9479	126.1204
50.3247	76.0855	125.5941
50.8057	76.2229	125.0678
51.2913	76.3600	124.5416
51.7816	76.4969	124.0156
52.2765	76.6336	123.4899
52.7762	76.7701	122.9647
53.2807	76.9066	122.4401
53.7899	77.0431	121.9162
54.3041	77.1797	121.3927
54.8231	77.3165	120.8696
55.3472	77.4535	120.3466
55.8762	77.5909	119.8231
56.4103	77.7286	119.2987
56.9495	77.8668	118.7727
57.4938	78.0056	118.2443
58.0434	78.1449	117.7127
58.5982	78.2848	117.1771
59.1583	78.4254	116.6365
59.7237	78.5667	116.0901
60.2946	78.7086	115.5366
60.8709	78.8511	114.9752
61.4528	78.9944	114.4046
62.0401	79.1382	113.8236
62.6331	79.2825	113.2312
63.2318	79.4272	112.6264
63.8362	79.5724	112.0082
64.4464	79.7178	111.3759
65.0624	79.8633	110.7290
65.6843	80.0088	110.0668
66.3121	80.1543	109.3889
66.9460	80.2996	108.6951
67.5859	80.4446	107.9851
68.2319	80.5892	107.2586
68.8841	80.7334	106.5155
69.5425	80.8769	105.7553
70.2072	81.0197	104.9779
70.8783	81.1617	104.1829
71.5558	81.3028	103.3701
72.2397	81.4428	102.5392
72.9302	81.5817	101.6900
73.6273	81.7193	100.8221
74.3311	81.8555	99.9353
75.0416	81.9901	99.0294
75.7588	82.1230	98.1043
76.4830	82.2540	97.1598
77.2140	82.3830	96.1961
77.9521	82.5098	95.2132
78.6972	82.6342	94.2117
79.4494	82.7561	93.1919
80.2088	82.8752	92.1544
80.9755	82.9915	91.1000
81.7495	83.1048	90.0295
82.5309	83.2149	88.9439
83.3197	83.3217	87.8440
84.1161	83.4252	86.7308
84.9201	83.5251	85.6054
85.7318	83.6215	84.4690
86.5513	83.7141	83.3225
87.3786	83.8030	82.1673
88.2138	83.8881	81.0046
89.0570	83.9692	79.8357
89.9082	84.0465	78.6618
90.7676	84.1198	77.4841
91.6352	84.1891	76.3036
92.5111	84.2544	75.1215
93.3953	84.3158	73.9389
94.2881	84.3731	72.7568
95.1893	84.4265	71.5764
96.0992	84.4759	70.3988
97.0177	84.5213	69.2250
97.9450	84.5628	68.0563
98.8812	84.6003	66.8936
99.8264	84.6341	65.7381
100.7806	84.6640	64.5909
101.7439	84.6901	63.4529
102.7164	84.7126	62.3252
103.6982	84.7314	61.2088
104.6894	84.7467	60.1045
105.6900	84.7585	59.0133
106.7003	84.7670	57.9360
107.7202	84.7722	56.8736
108.7498	84.7742	55.8266
109.7893	84.7731	54.7960
