Freq	Ohm	Deg
20.0000	5.8942	13.7758
20.1912	5.8992	13.9744
20.3842	5.9056	14.1684
20.5790	5.9110	14.3588
20.7757	5.9177	14.5549
20.9743	5.9240	14.7413
21.1748	5.9308	14.9513
21.3772	5.9392	15.1682
21.5815	5.9490	15.3437
21.7878	5.9573	15.5080
21.9960	5.9666	15.6733
22.2063	5.9750	15.8035
22.4185	5.9816	15.9427
22.6328	5.9880	16.1179
22.8492	5.9953	16.3067
23.0676	6.0030	16.4934
23.2881	6.0112	16.6834
23.5107	6.0200	16.8739
23.7354	6.0292	17.0570
23.9622	6.0386	17.2239
24.1913	6.0472	17.3901
24.4225	6.0559	17.5723
24.6560	6.0650	17.7488
24.8916	6.0734	17.9302
25.1296	6.0823	18.1379
25.3698	6.0924	18.3540
25.6123	6.1034	18.5587
25.8571	6.1146	18.7679
26.1042	6.1273	18.9728
26.3537	6.1402	19.1460
26.6056	6.1522	19.3044
26.8599	6.1635	19.4771
27.1167	6.1752	19.6494
27.3759	6.1859	19.8093
27.6375	6.1958	19.9929
27.9017	6.2063	20.2081
28.1684	6.2182	20.4177
28.4377	6.2299	20.6217
28.7095	6.2422	20.8483
28.9839	6.2562	21.0668
29.2609	6.2702	21.2505
29.5406	6.2829	21.4331
29.8230	6.2956	21.6317
30.1080	6.3083	21.8299
30.3958	6.3205	22.0481
30.6864	6.3338	22.2923
30.9797	6.3484	22.5338
31.2758	6.3637	22.7713
31.5747	6.3798	23.0023
31.8765	6.3962	23.2059
32.1812	6.4112	23.4024
32.4888	6.4256	23.6299
32.7994	6.4409	23.8710
33.1129	6.4561	24.1189
33.4294	6.4721	24.3997
33.7489	6.4903	24.7069
34.0715	6.5113	24.9898
34.3972	6.5323	25.2502
34.7260	6.5543	25.5157
35.0579	6.5774	25.7581
35.3930	6.6000	25.9677
35.7313	6.6209	26.1834
36.0728	6.6418	26.4170
36.4176	6.6624	26.6528
36.7657	6.6824	26.9169
37.1171	6.7040	27.2154
37.4719	6.7275	27.5225
37.8301	6.7526	27.8275
38.1917	6.7794	28.1280
38.5567	6.8077	28.3993
38.9253	6.8352	28.6415
39.2973	6.8619	28.8871
39.6730	6.8880	29.1433
40.0522	6.9137	29.4188
40.4350	6.9399	29.7356
40.8215	6.9685	30.0806
41.2117	6.9995	30.4227
41.6056	7.0322	30.7616
42.0033	7.0668	31.0889
42.4048	7.1023	31.3914
42.8101	7.1375	31.6855
43.2193	7.1727	31.9890
43.6324	7.2082	32.3026
44.0494	7.2441	32.6386
44.4705	7.2817	33.0099
44.8956	7.3221	33.4003
45.3247	7.3654	33.7971
45.7579	7.4120	34.1908
46.1953	7.4614	34.5660
46.6368	7.5130	34.8877
47.0826	7.5628	35.1809
47.5327	7.6123	35.4944
47.9870	7.6618	35.8278
48.4457	7.7126	36.1653
48.9087	7.7625	36.5611
49.3762	7.8185	37.0143
49.8482	7.8791	37.4330
50.3247	7.9417	37.8269
50.8057	8.0063	38.2372
51.2913	8.0753	38.6039
51.7816	8.1419	38.9283
52.2765	8.2079	39.3067
52.7762	8.2765	39.7306
53.2807	8.3477	40.1950
53.7899	8.4237	40.7533
54.3041	8.5119	41.3368
54.8231	8.6078	41.8651
55.3472	8.7107	42.3517
55.8762	8.8193	42.7610
56.4103	8.9291	43.0601
56.9495	9.0339	43.3343
57.4938	9.1378	43.6455
58.0434	9.2405	43.9979
58.5982	9.3450	44.4349
59.1583	9.4553	44.9895
59.7237	9.5792	45.6144
60.2946	9.7160	46.2459
60.8709	9.8671	46.8643
61.4527	10.0319	47.4185
62.0401	10.2068	47.8460
62.6331	10.3826	48.1823
63.2318	10.5595	48.5094
63.8362	10.7377	48.8531
64.4464	10.9183	49.2684
65.0624	11.1075	49.8335
65.6843	11.3182	50.5042
66.3121	11.5514	51.2048
66.9460	11.8119	51.9094
67.5859	12.1007	52.5569
68.2319	12.4164	53.0712
68.8841	12.7500	53.4261
69.5425	13.0953	53.6632
70.2072	13.4481	53.8477
70.8783	13.8099	54.0441
71.5557	14.1838	54.3226
72.2397	14.5819	54.7926
72.9302	15.0298	55.4092
73.6273	15.5364	56.0349
74.3311	16.1088	56.6068
75.0415	16.7533	57.0161
75.7588	17.4626	57.0940
76.4830	18.2066	56.8533
77.2140	18.9736	56.5300
77.9521	19.7833	56.2268
78.6972	20.6431	56.0054
79.4494	21.5879	56.0324
80.2088	22.6859	56.2683
80.9755	23.9946	56.2806
81.7495	25.4848	55.8925
82.5309	27.1947	55.0243
83.3197	29.0925	53.3090
84.1161	31.0788	50.8442
84.9201	33.1351	47.9869
85.7318	35.2925	44.5975
86.5513	37.4488	40.6271
87.3786	39.5931	36.3860
88.2138	41.7848	31.5172
89.0570	43.8168	25.6326
89.9082	45.4928	19.0046
90.7676	46.7085	11.8203
91.6352	47.3169	4.2215
92.5111	47.2426	-3.3630
93.3953	46.5699	-10.5887
94.2880	45.4062	-17.3857
95.1893	43.8375	-23.6068
96.0992	42.0275	-29.2572
97.0177	40.0231	-34.3041
97.9450	37.9706	-38.7436
98.8812	35.8964	-42.6547
99.8264	33.8818	-46.1253
100.7806	31.9078	-49.2699
101.7439	29.9975	-52.1410
102.7164	28.1110	-54.5275
103.6982	26.3442	-56.2808
104.6894	24.6972	-57.4893
105.6900	23.2062	-58.0504
106.7003	21.9027	-58.0779
107.7202	20.7888	-57.9075
108.7498	19.8147	-57.7137
109.7893	18.9630	-57.5558
110.8387	18.1983	-57.6386
111.8981	17.4679	-57.8819
112.9677	16.7684	-58.0843
114.0475	16.0979	-58.1997
115.1376	15.4561	-58.1606
116.2381	14.8496	-57.8488
117.3492	14.2980	-57.2480
118.4708	13.8084	-56.5054
119.6032	13.3733	-55.7313
120.7465	12.9860	-54.9617
121.9006	12.6409	-54.2645
123.0658	12.3264	-53.7721
124.2421	12.0183	-53.4184
125.4296	11.7186	-53.0542
126.6286	11.4269	-52.6666
127.8389	11.1426	-52.1993
129.0609	10.8710	-51.5426
130.2945	10.6265	-50.7536
131.5399	10.4052	-49.9493
132.7972	10.2062	-49.1424
134.0665	10.0278	-48.3941
135.3480	9.8637	-47.7943
136.6417	9.7018	-47.2922
137.9478	9.5433	-46.7821
139.2663	9.3895	-46.2590
140.5975	9.2399	-45.6975
141.9414	9.0977	-45.0267
143.2981	8.9714	-44.3215
144.6678	8.8555	-43.7063
146.0506	8.7446	-43.1493
147.4466	8.6390	-42.6284
148.8560	8.5365	-42.2082
150.2788	8.4288	-41.8117
151.7152	8.3220	-41.3379
153.1654	8.2180	-40.8202
154.6294	8.1173	-40.2564
156.1074	8.0217	-39.6031
157.5996	7.9367	-38.9056
159.1060	7.8595	-38.2244
160.6268	7.7904	-37.5627
162.1621	7.7278	-36.9533
163.7121	7.6694	-36.4243
165.2769	7.6113	-35.9538
166.8567	7.5533	-35.5024
168.4516	7.4950	-35.0553
170.0618	7.4370	-34.5862
171.6873	7.3808	-34.0683
173.3283	7.3292	-33.5202
174.9851	7.2819	-32.9761
176.6577	7.2389	-32.4498
178.3462	7.1993	-31.9628
180.0509	7.1617	-31.5329
181.7719	7.1235	-31.1443
183.5094	7.0848	-30.7696
185.2634	7.0453	-30.3930
187.0343	7.0057	-29.9963
188.8220	6.9671	-29.5660
190.6268	6.9313	-29.1225
192.4489	6.8976	-28.6875
194.2885	6.8660	-28.2609
196.1455	6.8362	-27.8516
198.0204	6.8077	-27.4770
199.9131	6.7784	-27.1168
201.8240	6.7498	-26.7488
203.7531	6.7217	-26.3905
205.7007	6.6935	-26.0355
207.6668	6.6655	-25.6569
209.6518	6.6394	-25.2593
211.6557	6.6152	-24.8681
213.6788	6.5925	-24.4825
215.7213	6.5715	-24.1082
217.7832	6.5517	-23.7650
219.8649	6.5316	-23.4511
221.9664	6.5109	-23.1444
224.0881	6.4899	-22.8355
226.2300	6.4687	-22.5238
228.3924	6.4475	-22.1996
230.5755	6.4270	-21.8609
232.7794	6.4076	-21.5191
235.0044	6.3890	-21.1780
237.2507	6.3716	-20.8399
239.5184	6.3549	-20.5119
241.8078	6.3388	-20.1988
244.1191	6.3225	-19.8954
246.4525	6.3060	-19.5906
248.8082	6.2895	-19.2739
251.1864	6.2737	-18.9426
253.5874	6.2588	-18.5992
256.0113	6.2455	-18.2487
258.4583	6.2336	-17.9016
260.9288	6.2230	-17.5636
263.4229	6.2135	-17.2382
265.9407	6.2048	-16.9295
268.4827	6.1964	-16.6339
271.0490	6.1883	-16.3485
273.6398	6.1802	-16.0765
276.2553	6.1718	-15.8102
278.8959	6.1632	-15.5384
281.5617	6.1551	-15.2632
284.2530	6.1472	-14.9933
286.9700	6.1395	-14.7264
289.7130	6.1319	-14.4564
292.4822	6.1249	-14.1922
295.2778	6.1179	-13.9366
298.1002	6.1107	-13.6716
300.9496	6.1043	-13.3981
303.8262	6.0987	-13.1362
306.7303	6.0930	-12.8789
309.6621	6.0878	-12.6124
312.6220	6.0837	-12.3553
315.6102	6.0795	-12.1116
318.6269	6.0755	-11.8671
321.6725	6.0720	-11.6288
324.7472	6.0687	-11.4132
327.8512	6.0643	-11.2018
330.9850	6.0600	-10.9853
334.1487	6.0552	-10.7695
337.3426	6.0504	-10.5459
340.5670	6.0457	-10.3110
343.8223	6.0418	-10.0742
347.1087	6.0382	-9.8384
350.4265	6.0354	-9.6045
353.7761	6.0328	-9.3819
357.1576	6.0304	-9.1674
360.5715	6.0279	-8.9590
364.0179	6.0253	-8.7548
367.4974	6.0224	-8.5527
371.0101	6.0193	-8.3464
374.5563	6.0164	-8.1330
378.1365	6.0138	-7.9163
381.7509	6.0116	-7.7047
385.3998	6.0094	-7.4943
389.0836	6.0076	-7.2829
392.8026	6.0059	-7.0791
396.5572	6.0041	-6.8795
400.3477	6.0023	-6.6726
404.1744	6.0009	-6.4641
408.0376	5.9996	-6.2616
411.9378	5.9983	-6.0555
415.8753	5.9975	-5.8467
419.8504	5.9970	-5.6431
423.8635	5.9966	-5.4408
427.9150	5.9965	-5.2358
432.0052	5.9968	-5.0366
436.1344	5.9972	-4.8453
440.3032	5.9976	-4.6571
444.5118	5.9979	-4.4727
448.7606	5.9982	-4.2923
453.0500	5.9981	-4.1090
457.3805	5.9982	-3.9200
461.7523	5.9985	-3.7305
466.1660	5.9991	-3.5423
470.6218	5.9997	-3.3554
475.1201	6.0005	-3.1716
479.6615	6.0012	-2.9887
484.2463	6.0020	-2.8026
488.8750	6.0030	-2.6148
493.5479	6.0043	-2.4264
498.2654	6.0059	-2.2377
503.0280	6.0078	-2.0549
507.8362	6.0097	-1.8791
512.6902	6.0115	-1.7039
517.5908	6.0134	-1.5285
522.5381	6.0153	-1.3542
527.5327	6.0171	-1.1763
532.5751	6.0193	-0.9957
537.6657	6.0216	-0.8174
542.8049	6.0241	-0.6400
547.9933	6.0268	-0.4630
553.2312	6.0298	-0.2901
558.5192	6.0326	-0.1219
563.8578	6.0355	0.0457
569.2474	6.0384	0.2127
574.6885	6.0412	0.3791
580.1816	6.0440	0.5479
585.7272	6.0470	0.7214
591.3258	6.0502	0.8962
596.9780	6.0536	1.0709
602.6841	6.0574	1.2448
608.4448	6.0614	1.4165
614.2606	6.0656	1.5834
620.1320	6.0698	1.7467
626.0594	6.0739	1.9097
632.0435	6.0781	2.0744
638.0849	6.0824	2.2405
644.1840	6.0869	2.4093
650.3413	6.0918	2.5785
656.5576	6.0969	2.7426
662.8332	6.1021	2.9001
669.1688	6.1072	3.0552
675.5651	6.1122	3.2084
682.0223	6.1170	3.3625
688.5414	6.1219	3.5233
695.1228	6.1269	3.6900
701.7670	6.1325	3.8588
708.4749	6.1383	4.0273
715.2467	6.1446	4.1941
722.0834	6.1512	4.3553
728.9853	6.1580	4.5105
735.9532	6.1647	4.6602
742.9878	6.1712	4.8093
750.0896	6.1777	4.9611
757.2593	6.1843	5.1169
764.4974	6.1910	5.2800
771.8048	6.1983	5.4501
779.1821	6.2063	5.6205
786.6298	6.2149	5.7873
794.1487	6.2241	5.9505
801.7395	6.2339	6.1057
809.4029	6.2439	6.2496
817.1395	6.2539	6.3866
824.9501	6.2639	6.5193
832.8353	6.2739	6.6481
840.7958	6.2838	6.7758
848.8325	6.2937	6.9073
856.9460	6.3042	7.0426
865.1370	6.3152	7.1726
873.4064	6.3266	7.2932
881.7548	6.3381	7.4039
890.1829	6.3499	7.4993
898.6917	6.3611	7.5783
907.2817	6.3716	7.6526
915.9539	6.3818	7.7241
924.7090	6.3914	7.7893
933.5477	6.4006	7.8511
942.4709	6.4094	7.9014
951.4795	6.4173	7.9242
960.5741	6.4228	7.9294
969.7557	6.4261	7.9381
979.0250	6.4272	7.9594
988.3829	6.4264	8.0098
997.8303	6.4247	8.1136
1007.4000	6.4243	8.2603
1017.0000	6.4256	8.4198
1026.7000	6.4283	8.5817
1036.5000	6.4324	8.7406
1046.4000	6.4376	8.8837
1056.4000	6.4429	9.0093
1066.5000	6.4481	9.1299
1076.7000	6.4533	9.2490
1087.0000	6.4583	9.3619
1097.4000	6.4628	9.4692
1107.9000	6.4668	9.5796
1118.5000	6.4703	9.6972
1129.2000	6.4736	9.8214
1140.0000	6.4767	9.9569
1150.9000	6.4801	10.1058
1161.9000	6.4840	10.2620
1173.0000	6.4884	10.4200
1184.2000	6.4933	10.5803
1195.5000	6.4987	10.7401
1206.9000	6.5042	10.8976
1218.5000	6.5100	11.0588
1230.1000	6.5160	11.2260
1241.9000	6.5225	11.4007
1253.8000	6.5298	11.5851
1265.7000	6.5382	11.7703
1277.8000	6.5474	11.9474
1290.0000	6.5572	12.1159
1302.4000	6.5674	12.2728
1314.8000	6.5774	12.4155
1327.4000	6.5867	12.5569
1340.1000	6.5958	12.7127
1352.9000	6.6053	12.8797
1365.8000	6.6154	13.0526
1378.9000	6.6263	13.2338
1392.1000	6.6384	13.4143
1405.4000	6.6514	13.5780
1418.8000	6.6644	13.7264
1432.4000	6.6773	13.8711
1446.1000	6.6903	14.0134
1459.9000	6.7030	14.1491
1473.8000	6.7154	14.2858
1487.9000	6.7277	14.4303
1502.1000	6.7402	14.5790
1516.5000	6.7528	14.7357
1531.0000	6.7660	14.9092
1545.6000	6.7806	15.0920
1560.4000	6.7966	15.2719
1575.3000	6.8139	15.4441
1590.4000	6.8324	15.6022
1605.6000	6.8515	15.7385
1620.9000	6.8704	15.8529
1636.4000	6.8887	15.9572
1652.1000	6.9067	16.0622
1667.8000	6.9244	16.1657
1683.8000	6.9419	16.2763
1699.9000	6.9600	16.3973
1716.1000	6.9790	16.5143
1732.5000	6.9987	16.6175
1749.1000	7.0187	16.7066
1765.8000	7.0387	16.7744
1782.7000	7.0580	16.8190
1799.7000	7.0759	16.8487
1816.9000	7.0923	16.8707
1834.3000	7.1071	16.8945
1851.8000	7.1205	16.9298
