Freq	Ohm	Deg
20.0000	4.3253	33.2723
20.1737	4.3536	33.8000
20.3488	4.3742	34.2453
20.5255	4.4020	34.9041
20.7037	4.4366	34.9688
20.8835	4.4475	34.7449
21.0648	4.4517	35.3818
21.2477	4.4779	36.2384
21.4322	4.5064	36.6592
21.6183	4.5348	36.8981
21.8060	4.5565	37.1408
21.9954	4.5795	37.4337
22.1864	4.5984	37.4663
22.3790	4.6048	38.3107
22.5733	4.6491	39.0164
22.7693	4.6728	39.1248
22.9670	4.7020	39.4771
23.1665	4.7259	39.7174
23.3676	4.7492	40.3391
23.5705	4.7888	40.7784
23.7752	4.8167	41.0448
23.9816	4.8522	41.4065
24.1899	4.8823	41.6662
24.3999	4.9152	41.5686
24.6118	4.9226	41.9891
24.8255	4.9621	42.8905
25.0410	5.0017	43.3195
25.2585	5.0429	43.6273
25.4778	5.0822	43.7280
25.6990	5.1110	43.6414
25.9221	5.1282	44.0937
26.1472	5.1660	45.0205
26.3743	5.2167	45.4577
26.6033	5.2583	45.7822
26.8343	5.3103	45.7800
27.0673	5.3324	45.5910
27.3023	5.3545	46.4721
27.5393	5.4151	47.2785
27.7785	5.4651	47.3748
28.0197	5.5073	47.6606
28.2630	5.5576	47.9090
28.5084	5.5971	47.8182
28.7559	5.6215	48.3485
29.0056	5.6766	49.2497
29.2575	5.7385	49.6217
29.5115	5.7933	49.9113
29.7677	5.8537	50.2231
30.0262	5.9110	49.7810
30.2869	5.9196	50.3011
30.5499	5.9937	51.5756
30.8152	6.0680	51.9004
31.0827	6.1379	51.8098
31.3526	6.1856	51.5910
31.6249	6.2197	52.2693
31.8995	6.2966	53.0490
32.1764	6.3610	53.6193
32.4558	6.4529	54.1616
32.7377	6.5351	53.9415
33.0219	6.5872	53.7060
33.3086	6.6307	54.4735
33.5979	6.7204	55.5479
33.8896	6.8201	56.0179
34.1838	6.9175	56.2944
34.4807	7.0166	56.2717
34.7801	7.0909	55.8299
35.0821	7.1315	56.7253
35.3867	7.2600	57.8477
35.6939	7.3652	58.5446
36.0039	7.5256	58.7087
36.3165	7.6237	58.5276
36.6318	7.7533	58.1244
36.9499	7.8029	58.6234
37.2707	7.9692	60.0636
37.5944	8.1431	59.6715
37.9208	8.2597	58.5475
38.2500	8.3306	57.1967
38.5822	8.3187	56.4949
38.9172	8.3070	58.6947
