Freq	Ohm	Deg
20.0000	9.4914	36.1205
20.1737	9.5510	36.7638
20.3488	9.5948	37.0832
20.5255	9.6202	38.0746
20.7037	9.7115	38.7263
20.8835	9.7431	39.4807
21.0648	9.8583	40.1331
21.2478	9.9074	40.0390
21.4322	9.9514	40.7272
21.6183	10.0234	41.6724
21.8061	10.1198	42.2118
21.9954	10.1971	42.5512
22.1864	10.2786	43.1912
22.3790	10.3855	42.8884
22.5733	10.3734	43.5568
22.7693	10.5064	44.9723
22.9670	10.6149	45.0092
23.1665	10.6938	45.4430
23.3676	10.8090	45.8841
23.5705	10.9008	45.3948
23.7752	10.9011	45.9436
23.9816	11.0076	47.4887
24.1899	11.1507	47.9863
24.3999	11.2619	48.1491
24.6118	11.3754	48.3586
24.8255	11.4694	48.1837
25.0410	11.5059	48.8706
25.2585	11.6357	50.1200
25.4778	11.7836	50.5725
25.6990	11.9153	50.9497
25.9221	12.0666	51.0449
26.1472	12.1678	50.6584
26.3743	12.2128	51.1228
26.6033	12.3206	52.7347
26.8343	12.5385	53.4582
27.0673	12.6917	53.1666
27.3023	12.8133	52.9054
27.5394	12.8715	53.7247
27.7785	13.0570	54.9125
28.0197	13.2311	55.4211
28.2630	13.4306	55.8172
28.5084	13.6140	55.7768
28.7559	13.7585	55.4361
29.0056	13.8277	56.3361
29.2575	14.0553	57.6227
29.5115	14.2666	58.0643
29.7677	14.4988	58.5661
30.0262	14.7427	58.4750
30.2869	14.9112	57.9928
30.5499	15.0123	58.8267
30.8152	15.2634	60.2323
31.0827	15.5452	60.7167
31.3526	15.8136	61.1434
31.6249	16.1243	61.0329
31.8995	16.3294	60.2799
32.1765	16.4383	61.2219
32.4558	16.7636	62.6610
32.7377	17.0833	63.1069
33.0219	17.4316	63.1158
33.3086	17.7025	62.3198
33.5979	17.8152	63.3387
33.8896	18.2240	65.1186
34.1839	18.6310	65.6035
34.4807	19.0640	65.9738
34.7801	19.5008	65.8140
35.0821	19.8576	64.9891
35.3867	20.0395	65.8687
35.6939	20.5281	67.7711
36.0039	21.0811	68.5224
36.3165	21.6788	68.7094
36.6318	22.2382	68.3240
36.9499	22.7157	67.2569
37.2707	22.9351	68.3899
37.5944	23.6487	70.6107
37.9208	24.4017	71.0536
38.2501	25.1759	71.3462
38.5822	26.0092	70.8150
38.9172	26.6411	69.2264
39.2551	26.9482	70.5848
39.5960	27.9693	73.0685
39.9398	29.0337	73.4241
40.2866	30.1690	72.7264
40.6364	31.0361	70.9123
40.9892	31.5034	72.4053
41.3451	32.9010	75.1822
41.7041	34.3921	75.7983
42.0662	36.0630	76.1051
42.4315	37.8476	75.0011
42.7999	39.2703	72.3778
43.1716	39.9935	73.9553
43.5464	42.2888	77.3824
43.9245	44.8249	77.9427
44.3059	47.7178	77.9351
44.6906	50.8481	75.9581
45.0787	53.3542	71.9196
45.4701	54.6309	72.3072
45.8649	57.9333	76.7229
46.2632	62.7930	78.4676
46.6649	68.3253	78.4852
47.0701	74.9549	76.7205
47.4788	81.5138	68.9752
47.8910	83.2012	69.4661
48.3069	92.9936	75.7648
48.7263	104.8327	73.7958
49.1494	117.8022	71.0186
49.5762	134.4446	65.9103
50.0066	151.4291	50.1292
50.4408	153.5392	43.4720
50.8788	173.0183	43.4921
51.3206	192.3845	26.5226
51.7662	195.4690	7.7789
52.2157	194.2590	-5.2500
52.6691	189.3912	-17.5044
53.1264	181.3652	-29.7530
53.5877	169.5872	-43.7060
54.0530	151.1473	-53.8518
54.5223	135.8091	-57.4363
54.9958	123.7729	-54.7108
55.4733	121.7385	-60.5330
55.9550	109.1803	-72.1464
56.4408	98.2707	-75.4711
56.9309	88.6627	-77.4818
57.4252	80.4503	-77.5066
57.9238	74.1192	-71.9705
58.4268	73.3243	-74.0901
58.9341	67.2097	-82.7872
59.4458	61.0576	-81.1789
59.9620	58.2245	-82.5187
60.4826	52.6068	-83.0049
61.0078	50.0997	-76.6524
61.5375	49.1286	-78.3444
62.0719	46.0397	-82.3977
62.6108	43.2637	-82.1035
63.1545	40.8776	-80.1707
63.7029	39.3105	-76.7768
64.2560	38.7123	-78.0348
64.8139	36.7521	-81.1841
65.3767	34.9800	-81.1497
65.9444	33.3277	-80.6102
66.5170	31.8915	-78.8996
67.0945	30.9029	-75.9367
67.6771	30.5630	-75.7323
68.2647	29.7126	-80.1739
68.8575	27.9089	-81.1127
69.4554	26.8537	-78.3848
70.0585	25.9955	-77.1666
70.6668	25.2201	-74.9433
71.2804	24.9591	-75.0504
71.8993	24.1085	-76.6921
72.5236	23.3436	-76.3943
73.1533	22.5829	-75.9002
73.7885	21.8962	-74.4928
74.4292	21.4135	-72.2628
75.0755	21.2119	-72.3372
75.7274	20.6395	-73.6860
76.3849	20.0520	-73.3682
77.0481	19.5177	-72.1827
77.7172	19.1324	-70.1957
78.3920	18.9806	-70.3045
79.0726	18.5101	-71.5156
79.7592	18.0440	-71.2427
80.4518	17.6006	-70.6490
81.1503	17.1943	-69.4908
81.8550	16.9015	-67.6372
82.5657	16.7905	-67.6857
83.2826	16.4200	-68.6464
84.0058	16.0652	-68.2952
84.7352	15.7184	-67.7327
85.4709	15.3991	-66.5937
86.2131	15.1760	-64.8322
86.9617	15.0988	-64.9213
87.7168	14.7915	-65.7583
88.4784	14.5079	-65.1802
89.2467	14.2520	-64.6167
90.0216	13.9937	-63.6708
90.8032	13.8138	-62.0491
91.5917	13.7497	-61.9812
92.3870	13.5143	-62.6070
93.1892	13.2914	-62.1361
93.9983	13.0802	-61.4621
94.8145	12.8993	-60.8768
95.6378	12.7047	-59.5163
96.4682	12.6637	-59.2368
97.3058	12.4499	-59.8313
98.1507	12.2601	-59.3503
99.0030	12.0596	-58.5386
99.8626	11.9101	-56.5799
100.7297	11.9161	-56.1844
101.6044	11.7530	-56.8181
102.4866	11.6064	-56.0482
103.3765	11.4964	-54.9121
104.2741	11.4514	-54.8093
105.1795	11.3044	-55.2334
106.0928	11.1539	-54.7289
107.0140	11.0281	-54.1197
107.9432	10.9017	-53.4193
108.8804	10.8045	-52.2312
109.8259	10.7746	-52.0525
110.7795	10.6473	-52.3591
111.7414	10.5291	-51.8525
112.7116	10.4193	-51.3223
113.6903	10.3121	-50.5830
114.6775	10.2339	-49.4735
115.6732	10.2071	-49.2532
116.6776	10.1040	-49.4669
117.6907	10.0029	-48.9709
118.7126	9.9120	-48.2319
119.7434	9.8453	-47.2441
120.7831	9.8204	-47.0886
121.8319	9.7247	-47.2116
122.8897	9.6416	-46.7690
123.9568	9.5544	-46.2956
125.0331	9.4764	-45.6050
126.1188	9.4152	-44.6298
127.2138	9.3975	-44.3648
128.3184	9.3196	-44.4602
129.4326	9.2478	-44.0178
130.5565	9.1774	-43.5539
131.6901	9.1100	-42.9158
132.8336	9.0601	-42.0362
133.9870	9.0416	-41.7724
135.1504	8.9764	-41.8153
136.3239	8.9120	-41.4044
137.5076	8.8504	-40.9222
138.7015	8.7924	-40.2879
139.9059	8.7504	-39.4695
141.1207	8.7330	-39.1811
142.3460	8.6782	-39.1560
143.5820	8.6222	-38.6967
144.8287	8.5739	-38.0692
146.0863	8.5383	-37.2905
147.3548	8.5274	-37.0252
148.6342	8.4792	-37.0408
149.9248	8.4290	-36.6566
