Freq	dB	Phase
20.0000	69.3380	161.6955
20.1737	69.4940	161.4393
20.3488	69.6501	161.1828
20.5255	69.8062	160.9242
20.7037	69.9624	160.6624
20.8835	70.1186	160.3994
21.0648	70.2749	160.1344
21.2478	70.4312	159.8663
21.4322	70.5876	159.5960
21.6183	70.7440	159.3225
21.8061	70.9004	159.0466
21.9954	71.0569	158.7668
22.1864	71.2133	158.4850
22.3790	71.3699	158.2025
22.5733	71.5265	157.9153
22.7693	71.6831	157.6243
22.9670	71.8398	157.3311
23.1665	71.9965	157.0346
23.3676	72.1532	156.7349
23.5705	72.3100	156.4320
23.7752	72.4668	156.1263
23.9816	72.6236	155.8168
24.1899	72.7805	155.5042
24.3999	72.9374	155.1884
24.6118	73.0944	154.8668
24.8255	73.2512	154.5433
25.0410	73.4082	154.2170
25.2585	73.5652	153.8848
25.4778	73.7221	153.5499
25.6990	73.8791	153.2124
25.9221	74.0362	152.8689
26.1472	74.1932	152.5207
26.3743	74.3501	152.1698
26.6033	74.5071	151.8148
26.8343	74.6641	151.4556
27.0673	74.8212	151.0914
27.3023	74.9781	150.7226
27.5394	75.1350	150.3494
27.7785	75.2919	149.9724
28.0197	75.4489	149.5905
28.2630	75.6057	149.2022
28.5084	75.7625	148.8102
28.7559	75.9193	148.4134
29.0056	76.0759	148.0109
29.2575	76.2326	147.6036
29.5115	76.3891	147.1917
29.7677	76.5456	146.7743
30.0262	76.7020	146.3504
30.2869	76.8582	145.9216
30.5499	77.0144	145.4871
30.8152	77.1704	145.0471
31.0827	77.3263	144.6018
31.3526	77.4821	144.1512
31.6249	77.6379	143.6932
31.8995	77.7933	143.2284
32.1765	77.9486	142.7596
32.4558	78.1038	142.2840
32.7377	78.2587	141.8000
33.0219	78.4134	141.3106
33.3086	78.5679	140.8164
33.5979	78.7222	140.3145
33.8896	78.8762	139.8044
34.1839	79.0299	139.2885
34.4807	79.1834	138.7653
34.7801	79.3365	138.2350
35.0821	79.4893	137.6986
35.3867	79.6418	137.1539
35.6939	79.7938	136.6008
36.0039	79.9455	136.0414
36.3165	80.0968	135.4755
36.6318	80.2477	134.9012
36.9499	80.3981	134.3176
37.2707	80.5480	133.7269
37.5944	80.6974	133.1296
37.9208	80.8464	132.5231
38.2501	80.9947	131.9081
38.5822	81.1425	131.2862
38.9172	81.2897	130.6557
39.2551	81.4362	130.0157
39.5960	81.5820	129.3680
39.9398	81.7272	128.7127
40.2866	81.8716	128.0478
40.6364	82.0153	127.3739
40.9892	82.1581	126.6930
41.3451	82.3002	126.0034
41.7041	82.4414	125.3032
42.0662	82.5816	124.5951
42.4315	82.7210	123.8796
42.7999	82.8593	123.1553
43.1716	82.9968	122.4212
43.5464	83.1331	121.6780
43.9245	83.2683	120.9271
44.3059	83.4024	120.1677
44.6906	83.5354	119.3994
45.0787	83.6671	118.6220
45.4701	83.7976	117.8358
45.8649	83.9267	117.0422
46.2632	84.0547	116.2412
46.6649	84.1812	115.4305
47.0701	84.3063	114.6117
47.4788	84.4300	113.7854
47.8910	84.5521	112.9514
48.3069	84.6728	112.1099
48.7263	84.7919	111.2596
49.1494	84.9092	110.4030
49.5762	85.0251	109.5406
50.0066	85.1392	108.6698
50.4408	85.2516	107.7925
50.8788	85.3623	106.9087
51.3206	85.4711	106.0191
51.7662	85.5781	105.1242
52.2157	85.6833	104.2224
52.6691	85.7865	103.3159
53.1264	85.8879	102.4051
53.5877	85.9873	101.4886
54.0530	86.0847	100.5680
54.5223	86.1801	99.6444
54.9958	86.2735	98.7165
55.4733	86.3648	97.7851
55.9550	86.4541	96.8512
56.4408	86.5413	95.9152
56.9309	86.6264	94.9773
57.4252	86.7095	94.0362
57.9238	86.7903	93.0945
58.4268	86.8691	92.1530
58.9341	86.9458	91.2100
59.4458	87.0203	90.2661
59.9620	87.0927	89.3239
60.4826	87.1630	88.3826
61.0078	87.2312	87.4416
61.5375	87.2973	86.5021
62.0719	87.3612	85.5643
62.6108	87.4231	84.6300
63.1545	87.4829	83.6980
63.7029	87.5407	82.7683
64.2560	87.5964	81.8425
64.8139	87.6501	80.9208
65.3767	87.7019	80.0027
65.9444	87.7517	79.0893
66.5170	87.7995	78.1812
67.0945	87.8455	77.2777
67.6771	87.8895	76.3797
68.2647	87.9318	75.4875
68.8575	87.9722	74.6017
69.4554	88.0108	73.7215
70.0585	88.0477	72.8481
70.6668	88.0829	71.9822
71.2804	88.1165	71.1229
71.8993	88.1484	70.2703
72.5236	88.1788	69.4252
73.1533	88.2076	68.5886
73.7885	88.2349	67.7585
74.4292	88.2607	66.9366
75.0755	88.2851	66.1236
75.7274	88.3082	65.3178
76.3849	88.3299	64.5203
77.0481	88.3502	63.7311
77.7172	88.3694	62.9504
78.3920	88.3873	62.1780
79.0726	88.4040	61.4152
79.7592	88.4196	60.6607
80.4518	88.4341	59.9144
81.1503	88.4475	59.1771
81.8550	88.4599	58.4478
82.5657	88.4713	57.7272
83.2826	88.4818	57.0161
84.0058	88.4913	56.3137
84.7352	88.5000	55.6202
85.4709	88.5079	54.9345
86.2131	88.5149	54.2575
86.9617	88.5212	53.5894
87.7168	88.5268	52.9290
88.4784	88.5315	52.2781
89.2467	88.5357	51.6361
90.0216	88.5392	51.0012
90.8032	88.5421	50.3742
91.5917	88.5443	49.7565
92.3870	88.5461	49.1477
93.1892	88.5473	48.5464
93.9983	88.5480	47.9516
94.8145	88.5482	47.3655
95.6378	88.5479	46.7883
96.4682	88.5473	46.2173
97.3058	88.5461	45.6540
98.1507	88.5446	45.0992
99.0030	88.5428	44.5516
99.8626	88.5406	44.0108
100.7297	88.5380	43.4776
101.6044	88.5352	42.9522
102.4866	88.5321	42.4327
103.3765	88.5286	41.9202
104.2741	88.5250	41.4145
105.1795	88.5210	40.9156
106.0928	88.5168	40.4243
107.0140	88.5125	39.9387
107.9432	88.5079	39.4595
