Freq	Ohm	Deg
20.0000	3.3904	22.2599
20.1737	3.4070	22.2636
20.3488	3.4097	22.4212
20.5255	3.4178	22.5872
20.7037	3.4216	22.3678
20.8835	3.4112	22.3626
21.0648	3.4031	23.1640
21.2478	3.4112	23.9899
21.4322	3.4203	24.4523
21.6183	3.4298	25.2859
21.8061	3.4573	25.9728
21.9954	3.4819	25.7683
22.1864	3.4900	25.6391
22.3790	3.5005	25.9297
22.5733	3.5122	26.0939
22.7693	3.5198	26.3637
22.9670	3.5328	26.7415
23.1665	3.5466	26.8652
23.3676	3.5549	26.9748
23.5705	3.5634	27.2674
23.7752	3.5739	27.5747
23.9816	3.5847	27.8459
24.1899	3.5957	28.1119
24.3999	3.6065	28.3889
24.6118	3.6178	28.7069
24.8255	3.6306	29.0104
25.0410	3.6431	29.2789
25.2585	3.6555	29.5823
25.4778	3.6689	29.9233
25.6990	3.6838	30.2059
25.9221	3.6972	30.4596
26.1472	3.7106	30.8162
26.3743	3.7269	31.2011
26.6033	3.7445	31.4417
26.8343	3.7585	31.7141
27.0673	3.7754	32.0743
27.3023	3.7927	32.3498
27.5394	3.8088	32.6219
27.7785	3.8251	32.9575
28.0197	3.8429	33.2919
28.2630	3.8605	33.6090
28.5084	3.8784	33.9740
28.7559	3.8980	34.3627
29.0056	3.9189	34.7662
29.2575	3.9424	35.0707
29.5115	3.9625	35.3399
29.7677	3.9836	35.7089
30.0262	4.0059	36.0917
30.2869	4.0294	36.4736
30.5499	4.0538	36.8331
30.8152	4.0782	37.2011
31.0827	4.1038	37.5833
31.3526	4.1297	37.9956
31.6249	4.1580	38.4234
31.8995	4.1871	38.8798
32.1765	4.2202	39.2407
32.4558	4.2491	39.6301
32.7377	4.2834	40.1014
33.0219	4.3177	40.5363
33.3086	4.3553	41.0193
33.5979	4.3956	41.5196
33.8896	4.4413	41.7930
34.1839	4.4784	42.0924
34.4807	4.5231	42.5295
34.7801	4.5675	42.7390
35.0821	4.6075	42.9432
35.3867	4.6472	43.2245
35.6939	4.6864	43.4602
36.0039	4.7213	43.7638
36.3165	4.7572	44.3494
36.6318	4.8025	45.0641
36.9499	4.8547	45.7374
37.2707	4.9142	46.1526
37.5944	4.9661	46.5326
37.9208	5.0240	47.0957
38.2501	5.0851	47.6013
38.5822	5.1484	48.0866
38.9172	5.2139	48.5140
39.2551	5.2771	49.0791
39.5960	5.3503	49.7713
39.9398	5.4284	50.3941
40.2866	5.5113	51.1165
40.6364	5.6060	51.9942
40.9892	5.7190	52.4090
41.3451	5.8149	52.6069
41.7041	5.9161	53.1463
42.0662	6.0247	53.6823
42.4315	6.1376	54.2090
42.7999	6.2575	54.7426
43.1716	6.3818	55.3620
43.5464	6.5197	56.0302
43.9245	6.6664	56.6515
44.3059	6.8236	57.4517
44.6906	7.0071	58.3351
45.0787	7.2153	58.4805
45.4701	7.3925	58.4476
45.8649	7.5822	58.8412
46.2632	7.7765	59.5621
46.6649	8.0125	60.3011
47.0701	8.2556	60.8719
47.4788	8.5275	61.5791
47.8910	8.8244	62.4454
48.3069	9.1765	62.9638
48.7263	9.5246	63.4850
