Freq	dB	Phase
20.0000	75.2275	105.1181
20.1737	75.3153	104.9644
20.3488	75.4142	104.9614
20.5255	75.5166	104.8720
20.7037	75.6202	104.7455
20.8835	75.7244	104.5977
21.0648	75.8285	104.4365
21.2478	75.9326	104.2660
21.4322	76.0364	104.0874
21.6183	76.1400	103.9015
21.8061	76.2431	103.7110
21.9954	76.3459	103.5188
22.1864	76.4485	103.3239
22.3790	76.5509	103.1246
22.5733	76.6531	102.9206
22.7693	76.7549	102.7123
22.9670	76.8563	102.5001
23.1665	76.9574	102.2844
23.3676	77.0580	102.0659
23.5705	77.1581	101.8457
23.7752	77.2578	101.6357
23.9816	77.3581	101.4310
24.1899	77.4588	101.2156
24.3999	77.5593	100.9914
24.6118	77.6595	100.7612
24.8255	77.7595	100.5262
25.0410	77.8592	100.2870
25.2585	77.9585	100.0441
25.4778	78.0574	99.7977
25.6990	78.1559	99.5479
25.9221	78.2541	99.2951
26.1472	78.3519	99.0392
26.3743	78.4492	98.7805
26.6033	78.5462	98.5188
26.8343	78.6428	98.2542
27.0673	78.7390	97.9870
27.3023	78.8347	97.7173
27.5394	78.9300	97.4450
27.7785	79.0249	97.1703
28.0197	79.1193	96.8933
28.2630	79.2134	96.6140
28.5084	79.3070	96.3322
28.7559	79.4001	96.0477
29.0056	79.4928	95.7607
29.2575	79.5850	95.4715
29.5115	79.6766	95.1803
29.7677	79.7678	94.8871
30.0262	79.8585	94.5922
30.2869	79.9487	94.2956
30.5499	80.0384	93.9974
30.8152	80.1276	93.6977
31.0827	80.2163	93.3967
31.3526	80.3044	93.0945
31.6249	80.3921	92.7910
31.8995	80.4793	92.4865
32.1765	80.5660	92.1810
32.4558	80.6521	91.8746
32.7377	80.7378	91.5674
33.0219	80.8230	91.2594
33.3086	80.9077	90.9509
33.5979	80.9920	90.6417
33.8896	81.0757	90.3321
34.1839	81.1590	90.0221
34.4807	81.2418	89.7118
34.7801	81.3242	89.4012
35.0821	81.4061	89.0905
35.3867	81.4876	88.7797
35.6939	81.5686	88.4689
36.0039	81.6492	88.1581
36.3165	81.7294	87.8475
36.6318	81.8092	87.5370
36.9499	81.8886	87.2266
37.2707	81.9676	86.9165
37.5944	82.0463	86.6067
37.9208	82.1245	86.2972
38.2501	82.2024	85.9881
38.5822	82.2800	85.6793
38.9172	82.3572	85.3709
39.2551	82.4342	85.0628
39.5960	82.5108	84.7552
39.9398	82.5870	84.4480
40.2866	82.6631	84.1413
40.6364	82.7388	83.8349
40.9892	82.8142	83.5290
41.3451	82.8894	83.2234
41.7041	82.9644	82.9182
42.0662	83.0391	82.6134
42.4315	83.1136	82.3089
42.7999	83.1878	82.0047
43.1716	83.2619	81.7008
43.5464	83.3358	81.3971
43.9245	83.4094	81.0936
44.3059	83.4829	80.7903
44.6906	83.5563	80.4870
45.0787	83.6294	80.1838
45.4701	83.7024	79.8805
45.8649	83.7753	79.5772
46.2632	83.8480	79.2738
46.6649	83.9205	78.9701
47.0701	83.9930	78.6662
47.4788	84.0653	78.3619
47.8910	84.1374	78.0573
48.3069	84.2095	77.7521
48.7263	84.2815	77.4464
49.1494	84.3533	77.1400
49.5762	84.4250	76.8330
50.0066	84.4966	76.5251
50.4408	84.5681	76.2164
50.8788	84.6395	75.9067
51.3206	84.7108	75.5959
51.7662	84.7820	75.2841
52.2157	84.8531	74.9710
52.6691	84.9241	74.6567
53.1264	84.9949	74.3410
53.5877	85.0656	74.0239
54.0530	85.1363	73.7052
54.5223	85.2067	73.3850
54.9958	85.2771	73.0630
55.4733	85.3473	72.7393
55.9550	85.4174	72.4138
56.4408	85.4873	72.0864
56.9309	85.5571	71.7570
57.4252	85.6267	71.4256
57.9238	85.6962	71.0920
58.4268	85.7655	70.7563
58.9341	85.8346	70.4184
59.4458	85.9034	70.0782
59.9620	85.9721	69.7356
60.4826	86.0406	69.3907
61.0078	86.1088	69.0433
61.5375	86.1768	68.6934
62.0719	86.2446	68.3410
62.6108	86.3121	67.9860
63.1545	86.3793	67.6284
63.7029	86.4463	67.2682
64.2560	86.5129	66.9053
64.8139	86.5792	66.5398
65.3767	86.6452	66.1715
65.9444	86.7109	65.8005
66.5170	86.7763	65.4268
67.0945	86.8412	65.0504
67.6771	86.9058	64.6712
68.2647	86.9701	64.2893
68.8575	87.0339	63.9046
69.4554	87.0973	63.5172
70.0585	87.1603	63.1271
70.6668	87.2228	62.7343
71.2804	87.2849	62.3389
71.8993	87.3465	61.9407
72.5236	87.4077	61.5400
73.1533	87.4683	61.1367
73.7885	87.5285	60.7308
74.4292	87.5881	60.3224
75.0755	87.6472	59.9115
75.7274	87.7058	59.4983
76.3849	87.7638	59.0826
77.0481	87.8213	58.6647
77.7172	87.8782	58.2445
78.3920	87.9345	57.8221
79.0726	87.9902	57.3975
79.7592	88.0453	56.9710
80.4518	88.0997	56.5424
81.1503	88.1536	56.1119
81.8550	88.2068	55.6796
82.5657	88.2594	55.2455
83.2826	88.3113	54.8098
84.0058	88.3626	54.3724
84.7352	88.4132	53.9336
85.4709	88.4631	53.4933
86.2131	88.5123	53.0518
86.9617	88.5609	52.6089
87.7168	88.6088	52.1650
88.4784	88.6560	51.7200
89.2467	88.7024	51.2740
90.0216	88.7482	50.8272
90.8032	88.7933	50.3797
91.5917	88.8376	49.9315
92.3870	88.8813	49.4827
93.1892	88.9242	49.0335
93.9983	88.9664	48.5840
94.8145	89.0079	48.1342
95.6378	89.0487	47.6842
96.4682	89.0887	47.2343
97.3058	89.1281	46.7843
98.1507	89.1667	46.3345
99.0030	89.2046	45.8850
99.8626	89.2418	45.4358
100.7297	89.2783	44.9871
101.6044	89.3141	44.5389
102.4866	89.3492	44.0914
103.3765	89.3836	43.6446
104.2741	89.4174	43.1987
105.1795	89.4504	42.7536
106.0928	89.4827	42.3096
107.0140	89.5144	41.8667
107.9432	89.5454	41.4250
108.8804	89.5758	40.9846
109.8259	89.6055	40.5455
110.7795	89.6346	40.1078
111.7414	89.6630	39.6717
112.7116	89.6908	39.2371
113.6903	89.7180	38.8042
114.6775	89.7446	38.3730
115.6732	89.7706	37.9436
116.6776	89.7960	37.5161
117.6907	89.8208	37.0904
118.7126	89.8451	36.6668
119.7434	89.8688	36.2451
120.7831	89.8919	35.8256
121.8319	89.9146	35.4081
122.8897	89.9367	34.9929
123.9568	89.9583	34.5798
125.0331	89.9794	34.1690
126.1188	90.0000	33.7604
127.2138	90.0201	33.3542
128.3184	90.0398	32.9503
129.4326	90.0590	32.5487
130.5565	90.0778	32.1495
131.6901	90.0962	31.7527
132.8336	90.1142	31.3584
133.9870	90.1317	30.9664
135.1504	90.1489	30.5769
136.3239	90.1657	30.1897
137.5076	90.1821	29.8050
138.7015	90.1982	29.4228
139.9059	90.2140	29.0429
141.1207	90.2294	28.6655
142.3460	90.2445	28.2904
143.5820	90.2593	27.9177
144.8287	90.2738	27.5473
146.0863	90.2880	27.1793
147.3548	90.3019	26.8136
148.6342	90.3156	26.4502
149.9248	90.3291	26.0890
151.2266	90.3423	25.7301
152.5397	90.3553	25.3733
153.8642	90.3680	25.0187
155.2002	90.3806	24.6661
156.5478	90.3929	24.3157
157.9071	90.4051	23.9672
159.2782	90.4170	23.6207
160.6612	90.4288	23.2762
162.0563	90.4404	22.9335
163.4634	90.4519	22.5926
164.8827	90.4632	22.2535
166.3144	90.4744	21.9161
167.7585	90.4854	21.5804
169.2152	90.4963	21.2463
170.6844	90.5071	20.9137
172.1665	90.5177	20.5827
173.6614	90.5282	20.2530
175.1693	90.5386	19.9248
176.6903	90.5489	19.5978
178.2245	90.5591	19.2722
179.7720	90.5692	18.9477
181.3330	90.5792	18.6243
182.9075	90.5891	18.3021
184.4957	90.5989	17.9808
186.0976	90.6086	17.6606
187.7135	90.6182	17.3412
189.3434	90.6277	17.0227
190.9875	90.6371	16.7049
192.6458	90.6465	16.3879
194.3186	90.6557	16.0716
196.0059	90.6649	15.7559
197.7078	90.6740	15.4407
199.4245	90.6830	15.1261
201.1561	90.6919	14.8120
202.9027	90.7007	14.4982
204.6645	90.7094	14.1849
206.4416	90.7180	13.8718
208.2341	90.7266	13.5590
210.0422	90.7350	13.2465
