Freq	dB	Phase
20.0000	73.2199	118.9035
20.1737	73.3238	118.4753
20.3488	73.4276	118.0465
20.5255	73.5310	117.6167
20.7037	73.6338	117.1863
20.8835	73.7362	116.7552
21.0648	73.8382	116.3233
21.2478	73.9398	115.8908
21.4322	74.0408	115.4576
21.6183	74.1414	115.0236
21.8061	74.2415	114.5891
21.9954	74.3412	114.1539
22.1864	74.4403	113.7183
22.3790	74.5391	113.2819
22.5733	74.6374	112.8448
22.7693	74.7351	112.4075
22.9670	74.8324	111.9694
23.1665	74.9293	111.5307
23.3676	75.0256	111.0916
23.5705	75.1215	110.6520
23.7752	75.2169	110.2119
23.9816	75.3119	109.7711
24.1899	75.4063	109.3301
24.3999	75.5003	108.8885
24.6118	75.5938	108.4466
24.8255	75.6869	108.0042
25.0410	75.7794	107.5614
25.2585	75.8715	107.1181
25.4778	75.9630	106.6746
25.6990	76.0541	106.2306
25.9221	76.1448	105.7862
26.1472	76.2350	105.3416
26.3743	76.3246	104.8968
26.6033	76.4138	104.4516
26.8343	76.5024	104.0060
27.0673	76.5906	103.5602
27.3023	76.6783	103.1142
27.5394	76.7656	102.6678
27.7785	76.8523	102.2212
28.0197	76.9386	101.7745
28.2630	77.0243	101.3276
28.5084	77.1096	100.8806
28.7559	77.1944	100.4332
29.0056	77.2786	99.9859
29.2575	77.3625	99.5384
29.5115	77.4458	99.0906
29.7677	77.5286	98.6429
30.0262	77.6110	98.1950
30.2869	77.6928	97.7471
30.5499	77.7742	97.2992
30.8152	77.8550	96.8512
31.0827	77.9354	96.4031
31.3526	78.0152	95.9551
31.6249	78.0946	95.5070
31.8995	78.1735	95.0590
32.1765	78.2519	94.6109
32.4558	78.3298	94.1629
32.7377	78.4072	93.7151
33.0219	78.4842	93.2673
33.3086	78.5606	92.8196
33.5979	78.6365	92.3720
33.8896	78.7120	91.9245
34.1839	78.7869	91.4772
34.4807	78.8614	91.0301
34.7801	78.9353	90.5830
35.0821	79.0088	90.1362
35.3867	79.0818	89.6895
35.6939	79.1543	89.2431
36.0039	79.2263	88.7970
36.3165	79.2978	88.3511
36.6318	79.3687	87.9055
36.9499	79.4393	87.4601
37.2707	79.5093	87.0151
37.5944	79.5788	86.5703
37.9208	79.6479	86.1258
38.2501	79.7164	85.6818
38.5822	79.7845	85.2381
38.9172	79.8520	84.7947
39.2551	79.9191	84.3517
39.5960	79.9857	83.9092
39.9398	80.0518	83.4670
40.2866	80.1175	83.0253
40.6364	80.1826	82.5841
40.9892	80.2472	82.1433
41.3451	80.3113	81.7030
41.7041	80.3750	81.2631
42.0662	80.4382	80.8239
42.4315	80.5009	80.3852
42.7999	80.5631	79.9469
43.1716	80.6249	79.5092
43.5464	80.6861	79.0721
43.9245	80.7468	78.6356
44.3059	80.8071	78.1997
44.6906	80.8669	77.7644
45.0787	80.9262	77.3299
45.4701	80.9850	76.8959
45.8649	81.0434	76.4626
46.2632	81.1013	76.0300
46.6649	81.1587	75.5981
47.0701	81.2156	75.1669
47.4788	81.2720	74.7365
47.8910	81.3280	74.3068
48.3069	81.3834	73.8778
48.7263	81.4385	73.4496
49.1494	81.4930	73.0224
49.5762	81.5471	72.5958
50.0066	81.6007	72.1701
50.4408	81.6538	71.7453
50.8788	81.7065	71.3213
51.3206	81.7587	70.8982
51.7662	81.8104	70.4760
52.2157	81.8617	70.0546
52.6691	81.9125	69.6342
53.1264	81.9628	69.2148
53.5877	82.0127	68.7963
54.0530	82.0621	68.3789
54.5223	82.1111	67.9624
54.9958	82.1595	67.5468
55.4733	82.2076	67.1323
55.9550	82.2552	66.7188
56.4408	82.3023	66.3064
56.9309	82.3490	65.8950
57.4252	82.3952	65.4847
57.9238	82.4411	65.0755
58.4268	82.4864	64.6674
58.9341	82.5313	64.2606
59.4458	82.5757	63.8547
59.9620	82.6198	63.4501
60.4826	82.6633	63.0466
61.0078	82.7065	62.6443
61.5375	82.7492	62.2431
62.0719	82.7914	61.8432
62.6108	82.8333	61.4446
63.1545	82.8747	61.0472
63.7029	82.9157	60.6510
64.2560	82.9563	60.2561
64.8139	82.9964	59.8624
65.3767	83.0360	59.4701
65.9444	83.0754	59.0790
66.5170	83.1142	58.6894
67.0945	83.1527	58.3010
67.6771	83.1907	57.9140
68.2647	83.2284	57.5283
68.8575	83.2656	57.1440
69.4554	83.3024	56.7611
70.0585	83.3388	56.3795
70.6668	83.3748	55.9994
71.2804	83.4104	55.6207
71.8993	83.4456	55.2435
72.5236	83.4804	54.8677
73.1533	83.5148	54.4933
73.7885	83.5488	54.1204
74.4292	83.5825	53.7490
75.0755	83.6157	53.3791
75.7274	83.6486	53.0108
76.3849	83.6811	52.6438
77.0481	83.7132	52.2784
77.7172	83.7450	51.9145
78.3920	83.7763	51.5522
79.0726	83.8073	51.1914
79.7592	83.8379	50.8322
80.4518	83.8681	50.4746
81.1503	83.8980	50.1185
81.8550	83.9276	49.7640
82.5657	83.9568	49.4111
83.2826	83.9856	49.0598
84.0058	84.0140	48.7101
84.7352	84.0422	48.3620
85.4709	84.0700	48.0156
86.2131	84.0974	47.6707
86.9617	84.1245	47.3276
87.7168	84.1512	46.9860
88.4784	84.1777	46.6461
89.2467	84.2037	46.3079
90.0216	84.2295	45.9714
90.8032	84.2549	45.6364
91.5917	84.2800	45.3032
92.3870	84.3048	44.9717
93.1892	84.3292	44.6418
93.9983	84.3534	44.3137
94.8145	84.3772	43.9872
95.6378	84.4007	43.6625
96.4682	84.4240	43.3393
97.3058	84.4469	43.0180
98.1507	84.4695	42.6983
99.0030	84.4918	42.3804
99.8626	84.5138	42.0642
100.7297	84.5356	41.7497
101.6044	84.5570	41.4370
102.4866	84.5782	41.1259
103.3765	84.5990	40.8166
104.2741	84.6196	40.5090
105.1795	84.6399	40.2031
106.0928	84.6599	39.8990
107.0140	84.6797	39.5966
107.9432	84.6992	39.2960
108.8804	84.7184	38.9970
109.8259	84.7373	38.6999
110.7795	84.7560	38.4045
111.7414	84.7745	38.1107
112.7116	84.7927	37.8187
113.6903	84.8106	37.5285
114.6775	84.8282	37.2401
115.6732	84.8457	36.9533
116.6776	84.8628	36.6683
117.6907	84.8798	36.3850
118.7126	84.8965	36.1035
119.7434	84.9129	35.8237
120.7831	84.9291	35.5457
121.8319	84.9451	35.2693
122.8897	84.9609	34.9946
123.9568	84.9764	34.7218
125.0331	84.9917	34.4507
126.1188	85.0068	34.1812
127.2138	85.0217	33.9134
128.3184	85.0363	33.6474
129.4326	85.0508	33.3831
130.5565	85.0650	33.1206
131.6901	85.0791	32.8596
132.8336	85.0929	32.6005
133.9870	85.1065	32.3430
135.1504	85.1199	32.0872
136.3239	85.1331	31.8331
137.5076	85.1462	31.5807
138.7015	85.1590	31.3300
139.9059	85.1716	31.0810
141.1207	85.1841	30.8337
142.3460	85.1964	30.5879
143.5820	85.2085	30.3439
144.8287	85.2204	30.1016
146.0863	85.2321	29.8608
147.3548	85.2436	29.6218
148.6342	85.2550	29.3843
149.9248	85.2662	29.1485
151.2266	85.2772	28.9144
152.5397	85.2881	28.6819
153.8642	85.2988	28.4510
155.2002	85.3093	28.2217
156.5478	85.3197	27.9941
157.9071	85.3299	27.7680
159.2782	85.3400	27.5435
160.6612	85.3499	27.3207
162.0563	85.3596	27.0994
163.4634	85.3693	26.8797
164.8827	85.3787	26.6616
166.3144	85.3880	26.4450
167.7585	85.3972	26.2300
169.2152	85.4062	26.0166
170.6844	85.4151	25.8047
172.1665	85.4239	25.5943
173.6614	85.4324	25.3854
175.1693	85.4409	25.1782
176.6903	85.4493	24.9724
178.2245	85.4575	24.7681
179.7720	85.4656	24.5654
181.3330	85.4735	24.3641
182.9075	85.4814	24.1643
184.4957	85.4890	23.9660
186.0976	85.4967	23.7692
187.7135	85.5041	23.5739
189.3434	85.5115	23.3800
190.9875	85.5187	23.1876
192.6458	85.5258	22.9966
194.3186	85.5328	22.8070
196.0059	85.5397	22.6189
197.7078	85.5465	22.4321
199.4245	85.5532	22.2469
201.1561	85.5598	22.0630
202.9027	85.5662	21.8805
204.6645	85.5726	21.6995
206.4416	85.5788	21.5197
208.2341	85.5850	21.3414
210.0422	85.5911	21.1644
211.8660	85.5971	20.9888
213.7056	85.6029	20.8146
215.5612	85.6087	20.6416
217.4330	85.6144	20.4701
219.3209	85.6199	20.2999
221.2253	85.6254	20.1309
223.1462	85.6309	19.9633
225.0837	85.6362	19.7970
227.0381	85.6414	19.6320
229.0095	85.6466	19.4683
230.9980	85.6517	19.3059
233.0038	85.6567	19.1446
235.0269	85.6616	18.9848
237.0677	85.6664	18.8261
239.1261	85.6711	18.6688
241.2024	85.6758	18.5125
243.2968	85.6804	18.3576
245.4093	85.6849	18.2039
247.5402	85.6894	18.0515
249.6896	85.6937	17.9002
251.8577	85.6980	17.7501
254.0445	85.7022	17.6012
256.2504	85.7064	17.4535
258.4754	85.7105	17.3070
260.7197	85.7145	17.1617
262.9836	85.7185	17.0175
265.2671	85.7224	16.8744
267.5704	85.7262	16.7325
269.8937	85.7300	16.5918
272.2372	85.7337	16.4522
274.6010	85.7374	16.3137
276.9853	85.7410	16.1764
279.3904	85.7445	16.0400
281.8163	85.7479	15.9049
284.2633	85.7514	15.7708
286.7316	85.7547	15.6378
289.2213	85.7580	15.5059
291.7326	85.7613	15.3750
294.2657	85.7644	15.2452
296.8208	85.7675	15.1165
299.3981	85.7706	14.9888
301.9978	85.7737	14.8621
304.6200	85.7766	14.7366
307.2650	85.7796	14.6119
309.9330	85.7825	14.4883
312.6241	85.7853	14.3657
315.3386	85.7881	14.2442
318.0767	85.7909	14.1236
320.8386	85.7935	14.0040
323.6244	85.7962	13.8854
326.4344	85.7988	13.7677
329.2688	85.8014	13.6511
332.1279	85.8039	13.5354
335.0117	85.8064	13.4206
337.9206	85.8088	13.3068
340.8548	85.8112	13.1939
343.8144	85.8136	13.0820
346.7998	85.8159	12.9709
349.8110	85.8182	12.8608
352.8484	85.8204	12.7516
355.9122	85.8226	12.6433
359.0026	85.8248	12.5359
362.1198	85.8270	12.4294
365.2641	85.8290	12.3237
368.4357	85.8311	12.2189
371.6348	85.8331	12.1151
374.8617	85.8351	12.0121
378.1166	85.8371	11.9099
381.3998	85.8390	11.8085
384.7115	85.8409	11.7080
388.0519	85.8427	11.6084
391.4214	85.8445	11.5096
394.8201	85.8464	11.4116
398.2483	85.8481	11.3144
401.7063	85.8499	11.2180
405.1943	85.8516	11.1224
408.7126	85.8532	11.0277
412.2614	85.8549	10.9337
415.8411	85.8565	10.8405
419.4518	85.8582	10.7481
423.0939	85.8597	10.6564
426.7676	85.8612	10.5656
430.4732	85.8628	10.4755
434.2110	85.8643	10.3861
437.9813	85.8658	10.2975
441.7842	85.8672	10.2096
445.6202	85.8686	10.1225
449.4896	85.8700	10.0361
453.3925	85.8714	9.9504
457.3293	85.8727	9.8654
461.3002	85.8740	9.7812
465.3057	85.8753	9.6977
