Freq	dB	Phase
20.0000	70.1733	94.5198
20.1737	70.3230	95.5600
20.3488	70.4727	95.9940
20.5255	70.6223	96.1391
20.7037	70.7720	96.1217
20.8835	70.9217	95.9999
21.0648	71.0714	95.8102
21.2478	71.2210	95.5734
21.4322	71.3707	95.2992
21.6183	71.5204	94.9943
21.8061	71.6701	94.6637
21.9954	71.8197	94.3286
22.1864	71.9694	93.9849
22.3790	72.1191	93.6285
22.5733	72.2688	93.2590
22.7693	72.4184	92.8772
22.9670	72.5681	92.4842
23.1665	72.7178	92.0810
23.3676	72.8674	91.6686
23.5705	73.0171	91.2482
23.7752	73.1668	90.8206
23.9816	73.3165	90.5089
24.1899	73.4661	90.1542
24.3999	73.6158	89.7728
24.6118	73.7595	89.3732
24.8255	73.9027	88.9602
25.0410	74.0455	88.5369
25.2585	74.1878	88.1053
25.4778	74.3296	87.6670
25.6990	74.4709	87.2229
25.9221	74.6117	86.7740
26.1472	74.7519	86.3212
26.3743	74.8915	85.8645
26.6033	75.0306	85.4042
26.8343	75.1691	84.9408
27.0673	75.3069	84.4746
27.3023	75.4440	84.0061
27.5394	75.5805	83.5357
27.7785	75.7163	83.0637
28.0197	75.8514	82.5903
28.2630	75.9858	82.1160
28.5084	76.1194	81.6409
28.7559	76.2522	81.1618
29.0056	76.3841	80.6798
29.2575	76.5153	80.1960
29.5115	76.6455	79.7110
29.7677	76.7748	79.2251
30.0262	76.9032	78.7388
30.2869	77.0307	78.2524
30.5499	77.1572	77.7661
30.8152	77.2827	77.2803
31.0827	77.4072	76.7950
31.3526	77.5307	76.3106
31.6249	77.6532	75.8271
31.8995	77.7746	75.3449
32.1765	77.8950	74.8639
32.4558	78.0142	74.3844
32.7377	78.1324	73.9065
33.0219	78.2495	73.4304
33.3086	78.3654	72.9561
33.5979	78.4802	72.4838
33.8896	78.5939	72.0135
34.1839	78.7065	71.5454
34.4807	78.8179	71.0796
34.7801	78.9282	70.6162
35.0821	79.0374	70.1555
35.3867	79.1454	69.6974
35.6939	79.2522	69.2421
36.0039	79.3580	68.7896
36.3165	79.4626	68.3400
36.6318	79.5661	67.8933
36.9499	79.6684	67.4495
37.2707	79.7697	67.0088
37.5944	79.8699	66.5710
37.9208	79.9691	66.1362
38.2501	80.0672	65.7045
38.5822	80.1642	65.2757
38.9172	80.2603	64.8499
39.2551	80.3553	64.4270
39.5960	80.4494	64.0070
39.9398	80.5426	63.5899
40.2866	80.6348	63.1756
40.6364	80.7262	62.7640
40.9892	80.8167	62.3552
41.3451	80.9064	61.9489
41.7041	80.9953	61.5452
42.0662	81.0834	61.1439
42.4315	81.1708	60.7449
42.7999	81.2575	60.3481
43.1716	81.3436	59.9534
43.5464	81.4290	59.5606
43.9245	81.5139	59.1697
44.3059	81.5982	58.7804
44.6906	81.6820	58.3926
45.0787	81.7654	58.0062
45.4701	81.8483	57.6210
45.8649	81.9308	57.2368
46.2632	82.0130	56.8534
46.6649	82.0949	56.4707
47.0701	82.1765	56.0884
47.4788	82.2578	55.7063
47.8910	82.3390	55.3243
48.3069	82.4199	54.9420
48.7263	82.5008	54.5593
49.1494	82.5815	54.1760
49.5762	82.6622	53.7918
50.0066	82.7428	53.4065
50.4408	82.8235	53.0197
50.8788	82.9041	52.6314
51.3206	82.9849	52.2411
51.7662	83.0657	51.8488
52.2157	83.1466	51.4540
52.6691	83.2276	51.0565
53.1264	83.3087	50.6561
53.5877	83.3901	50.2525
54.0530	83.4716	49.8454
54.5223	83.5533	49.4346
54.9958	83.6351	49.0197
55.4733	83.7173	48.6006
55.9550	83.7996	48.1769
56.4408	83.8821	47.7483
56.9309	83.9649	47.3147
57.4252	84.0480	46.8757
57.9238	84.1312	46.4311
58.4268	84.2147	45.9806
58.9341	84.2984	45.5240
59.4458	84.3823	45.0610
59.9620	84.4663	44.5914
60.4826	84.5506	44.1150
61.0078	84.6351	43.6315
61.5375	84.7197	43.1407
62.0719	84.8044	42.6424
62.6108	84.8893	42.1363
63.1545	84.9742	41.6224
63.7029	85.0593	41.1004
64.2560	85.1443	40.5702
64.8139	85.2294	40.0315
65.3767	85.3144	39.4843
65.9444	85.3994	38.9284
66.5170	85.4843	38.3636
67.0945	85.5691	37.7899
67.6771	85.6537	37.2071
68.2647	85.7382	36.6152
68.8575	85.8224	36.0141
69.4554	85.9064	35.4037
70.0585	85.9900	34.7839
70.6668	86.0734	34.1549
71.2804	86.1563	33.5164
71.8993	86.2388	32.8686
72.5236	86.3209	32.2113
73.1533	86.4024	31.5448
73.7885	86.4834	30.8689
74.4292	86.5639	30.1837
75.0755	86.6437	29.4893
75.7274	86.7228	28.7858
76.3849	86.8013	28.0733
77.0481	86.8790	27.3518
77.7172	86.9560	26.6214
78.3920	87.0322	25.8824
79.0726	87.1075	25.1348
79.7592	87.1819	24.3788
80.4518	87.2555	23.6145
81.1503	87.3281	22.8421
81.8550	87.3998	22.0617
82.5657	87.4704	21.2737
83.2826	87.5401	20.4781
84.0058	87.6087	19.6751
84.7352	87.6762	18.8651
85.4709	87.7427	18.0481
86.2131	87.8081	17.2244
86.9617	87.8723	16.3942
87.7168	87.9354	15.5578
88.4784	87.9974	14.7154
89.2467	88.0582	13.8672
90.0216	88.1178	13.0135
90.8032	88.1762	12.1545
91.5917	88.2335	11.2904
92.3870	88.2896	10.4215
93.1892	88.3445	9.5481
93.9983	88.3981	8.6703
94.8145	88.4507	7.7885
95.6378	88.5020	6.9028
96.4682	88.5521	6.0135
