Freq	Ohm	Deg
20.0000	7.8289	32.7481
20.1737	7.8767	33.2353
20.3488	7.9128	33.4686
20.5255	7.9429	33.7764
20.7037	7.9710	34.2063
20.8835	8.0051	34.6928
21.0648	8.0431	34.9614
21.2477	8.0654	35.4499
21.4322	8.1135	36.0430
21.6183	8.1568	36.3235
21.8060	8.1960	36.6870
21.9954	8.2406	37.1364
22.1864	8.2917	37.3485
22.3790	8.3256	37.5431
22.5733	8.3649	37.8855
22.7693	8.4012	38.2479
22.9670	8.4433	38.7502
23.1665	8.4969	39.1124
23.3676	8.5428	39.3544
23.5705	8.5892	39.7378
23.7752	8.6448	39.9663
23.9816	8.6863	39.9184
24.1899	8.7070	40.2578
24.3999	8.7523	40.8186
24.6118	8.7970	41.1686
24.8255	8.8415	41.6365
25.0410	8.8978	42.2410
25.2585	8.9704	42.5425
25.4778	9.0243	42.7534
25.6990	9.0884	43.0251
25.9221	9.1434	43.0118
26.1472	9.1765	43.1615
26.3743	9.2160	43.6927
26.6033	9.2723	44.1869
26.8343	9.3277	44.5611
27.0673	9.3850	45.1196
27.3023	9.4634	45.6024
27.5393	9.5371	45.8600
27.7785	9.6091	46.0518
28.0197	9.6712	46.2623
28.2630	9.7340	46.5849
28.5084	9.7987	46.9786
28.7559	9.8714	47.3089
29.0056	9.9376	47.6619
29.2575	10.0144	48.0348
29.5115	10.0869	48.3587
29.7677	10.1638	48.7246
30.0262	10.2410	49.1155
30.2869	10.3248	49.5382
30.5499	10.4118	50.1590
30.8152	10.5329	50.5932
31.0827	10.6387	50.5624
31.3526	10.7239	50.6650
31.6249	10.8142	50.9449
31.8995	10.9075	50.9938
32.1765	10.9735	51.0773
32.4558	11.0433	51.5586
32.7377	11.1341	52.0738
33.0219	11.2293	52.4441
33.3086	11.3245	52.8769
33.5979	11.4326	53.3951
33.8896	11.5541	53.7122
34.1839	11.6624	53.9625
34.4807	11.7767	54.2986
34.7801	11.8906	54.6464
35.0821	12.0121	54.9761
35.3867	12.1306	55.2710
35.6939	12.2515	55.5968
36.0039	12.3729	55.9864
36.3165	12.5052	56.3556
36.6318	12.6331	56.7944
36.9499	12.7814	57.3873
37.2707	12.9514	57.6883
37.5944	13.0992	57.8495
37.9208	13.2489	58.2284
38.2500	13.4113	58.6181
38.5822	13.5759	58.9969
38.9172	13.7514	59.4848
39.2551	13.9503	59.7583
39.5960	14.1269	59.9299
39.9398	14.3124	60.2205
40.2866	14.4965	60.5110
40.6364	14.6881	60.8490
40.9892	14.8858	61.1753
41.3451	15.0879	61.4909
41.7041	15.2925	61.8851
42.0662	15.5140	62.3652
42.4315	15.7528	62.8620
42.7999	16.0133	63.3562
43.1716	16.2971	63.5790
43.5464	16.5557	63.7157
43.9245	16.8250	63.9861
44.3059	17.0968	64.2622
44.6906	17.3789	64.6029
45.0787	17.6762	64.9398
45.4701	17.9828	65.2702
45.8649	18.3034	65.6011
46.2632	18.6327	65.9917
46.6649	18.9889	66.5185
47.0700	19.3878	67.0256
47.4788	19.8191	67.0858
47.8910	20.1943	67.2284
48.3069	20.6281	67.6092
48.7263	21.0656	67.7745
49.1494	21.5070	68.1048
49.5762	21.9965	68.5405
50.0066	22.5224	68.7080
50.4408	23.0282	68.8938
50.8788	23.5783	69.3214
51.3206	24.1773	69.7793
51.7662	24.8358	70.2505
52.2157	25.5672	70.2892
52.6691	26.2439	70.2054
53.1264	26.9685	70.4114
53.5877	27.7362	70.5864
54.0530	28.5464	70.7668
54.5223	29.4112	70.8921
54.9957	30.3083	70.9577
55.4733	31.2430	71.2346
55.9549	32.2937	71.6727
56.4408	33.4553	72.1183
56.9309	34.7657	72.6479
57.4252	36.2851	72.4860
57.9238	37.7177	71.9797
58.4268	39.2585	71.8720
58.9341	40.9276	71.8182
59.4458	42.7747	71.6310
59.9620	44.7409	71.2672
60.4826	46.8592	70.8950
61.0078	49.1617	70.4846
61.5375	51.6726	69.9033
62.0719	54.3336	69.8630
62.6108	57.6865	70.0072
63.1545	61.5597	68.5711
